Organisation Name (A),Department (B),Service Cat Label (C ),Purpose of Spend (D),Expenditure CIPFA Sub Group (E ),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,FST CONSUMABLES LIMITED,A0000004, 05/10/2017,PCO0283265,8.38,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,FST CONSUMABLES LIMITED,A0000004, 05/10/2017,PCO0283265,19.50,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,FST CONSUMABLES LIMITED,A0000004, 05/10/2017,PCO0283265,37.78,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,FST CONSUMABLES LIMITED,A0000004, 05/10/2017,PCO0283265,46.64,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,APSE,A0000021, 26/10/2017,PCO0283754,259.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,0002,BALMERS GM LIMITED,A0000198, 12/10/2017,PCO0283482,2.80,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARNES JB LIMITED,A0000202, 12/10/2017,PCO0283470,7.14,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 12/10/2017,PCO0283479,11.97,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 12/10/2017,PCO0283480,17.40,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 12/10/2017,PCO0283539,19.99,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 12/10/2017,PCO0283480,33.45,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 26/10/2017,PCO0283746,39.98,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 26/10/2017,PCO0283746,53.90,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 12/10/2017,PCO0283476,79.90,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 12/10/2017,PCO0283480,189.95,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,BARNES JB LIMITED,A0000202, 05/10/2017,OPS0283323,6.23,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,BARNES JB LIMITED,A0000202, 05/10/2017,OPS0283323,34.61,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 19/10/2017,COR0283606,23.52,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 26/10/2017,COR0283779,115.44,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 19/10/2017,COR0283679,1507.36,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 05/10/2017,COR0283357,1557.19,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 19/10/2017,COR0283679,602.95,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 05/10/2017,COR0283357,623.47,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 05/10/2017,COR0283357,784.11,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 19/10/2017,COR0283679,784.11,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 05/10/2017,COR0283357,365.89,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 19/10/2017,COR0283679,365.89,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BOC GASES LTD,A0000386, 12/10/2017,PCO0283484,11.15,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,CB EXCAVATORS LTD,A0000396, 19/10/2017,PCO0283620,800.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,CB EXCAVATORS LTD,A0000396, 19/10/2017,PCO0283620,2450.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,CB EXCAVATORS LTD,A0000396, 19/10/2017,PCO0283620,2570.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,CB EXCAVATORS LTD,A0000396, 19/10/2017,PCO0283620,1520.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,CB EXCAVATORS LTD,A0000396, 26/10/2017,PCO0283753,1935.00,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,CB EXCAVATORS LTD,A0000396, 05/10/2017,HED0283238,68.00,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,CB EXCAVATORS LTD,A0000396, 12/10/2017,HED0283506,100.00,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,CB EXCAVATORS LTD,A0000396, 05/10/2017,HED0283238,400.00,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,CB EXCAVATORS LTD,A0000396, 05/10/2017,HED0283238,700.00,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,CB EXCAVATORS LTD,A0000396, 12/10/2017,HED0283507,185.00,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,,Paid in the Year,PD03,CB EXCAVATORS LTD,A0000396, 19/10/2017,HED0283598,450.00,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,,Paid in the Year,PD03,CB EXCAVATORS LTD,A0000396, 19/10/2017,HED0283597,7661.50,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK SERV LT,A0000458, 19/10/2017,EST0283648,399.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,2102,BRIGGS & DUXBURY LTD,A0000459, 12/10/2017,PCO0283478,56.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 19/10/2017,PCO0283615,210.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 19/10/2017,PCO0283615,2.92,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 19/10/2017,PCO0283615,8.76,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 19/10/2017,PCO0283615,15.34,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 19/10/2017,PCO0283615,5.84,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Other Equipment,4003,CSTS LIMITED,A0000587, 26/10/2017,HED0283775,133.50,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Premises Related Expense,Bldgs : R & M : Abnormal,2002,MARTIN COLLINS JOINERY & GLAZING,A0000623, 12/10/2017,ENV0283518,370.00,N,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,Other Expenses,4705,MARTIN COLLINS JOINERY & GLAZING,A0000623, 05/10/2017,PBC0283242,110.00,N,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,,Other Income : Non-VATable,9303,REDACTED - PERSONAL DATA,A0000638, 12/10/2017,PBC0283439,166.24,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,4705,CARRO-STEP PRINT SERVICES,A0000853, 26/10/2017,DAL0283770,320.00,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,DEWHURST DECORATING SUPPLIES,A0000879, 19/10/2017,AAS0283718,23.70,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,DEWHURST DECORATING SUPPLIES,A0000879, 19/10/2017,REG0283449,70.98,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 12/10/2017,PCO0283481,37.98,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 05/10/2017,PCO0283258,216.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 05/10/2017,OPS0283276,6.40,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 12/10/2017,OPS0283536,12.77,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 05/10/2017,OPS0283308,12.80,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 12/10/2017,OPS0283536,39.40,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 05/10/2017,PCO0283283,39.82,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 05/10/2017,OPS0283276,56.50,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 12/10/2017,OPS0283574,75.96,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 05/10/2017,PCO0283289,75.96,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 12/10/2017,OPS0283536,90.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,,Stock : Purchases,pj01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 12/10/2017,PCO0283481,113.94,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 12/10/2017,OPS0283536,136.80,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 12/10/2017,OPS0283536,144.09,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 12/10/2017,OPS0283536,192.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 12/10/2017,OPS0283536,265.86,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Costs,Capital : Payments,CD14,FORBES SOLICITORS,A0001117, 31/10/2017,AAS0283981,25000.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,3105,FREIGHT TRANSPORT ASSOCIATION,A0001124, 19/10/2017,OPS0283703,48.60,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Subscriptions & Donations,4706,FOULRIDGE CANAL CRUISES LTD,A0001134, 12/10/2017,DAL0283448,567.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,0002,GIBSONS GARDEN MACHINERY LTD,A0001201, 12/10/2017,PCO0283541,86.25,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,GIBSONS GARDEN MACHINERY LTD,A0001201, 12/10/2017,PCO0283468,30.38,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,JEWSON LIMITED,A0001323, 19/10/2017,AAS4005688,-23.70,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,JEWSON LIMITED,A0001323, 19/10/2017,OPS0283708,30.95,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,J HARGREAVES,A0001359, 26/10/2017,PCO0283759,25.00,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,4004,KILLGERM CHEMICALS LTD,A0001624, 19/10/2017,ENV0283673,18.90,N,N/A,N,N/A
