Body Name,ONS Body Code,Service Label,Service Code,Service Division,Service Division Code,Organisational Unit,Expenditure Category,Expenditure Code,CIPFA detailed expenditure type,GLCode,CIPFA detailed expenditure code,Narrative,Date,Transaction Number,Net Amount,Capital and Revenue,SupplierNameEdit,SupplierNo
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Parking On-Street,YT8,TTS Highways (OSY),Third Party Payments,500,Carriageway Markings,Y8250.55590,55590,Road marking maintenance at various locations within the Borough, 15/03/2013,P2 626510,"£4,338.84",REV,Eurovia Infrastructure Ltd,949196
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Parking On-Street,YT8,TTS Highways (OSY),Third Party Payments,500,Carriageway Markings,Y8250.55590,55590,Road marking maintenance at various locations within the Borough, 15/03/2013,P2 626511,"£2,847.17",REV,Eurovia Infrastructure Ltd,949196
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Children With Disabilities,E43,FCS Children with Disabilities (OSF),Third Party Payments,500,P & V Fostering,S1751.54005,54005,"Futures for Children Placement fee for one disabled child, School term February 2013", 01/03/2013,P2 630456,"£3,044.80",REV,Futures for Children Ltd,981729
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Public Lighting,YT3,TTS Alan Moore-Lighting (OSY),Premises Expenses,200,Sign Maintenance,Y7256.21000,21000,SIGN & POST MAINTENANCE 2012-13 PART 3, 01/03/2013,P2 631439,"£3,290.37",REV,Eurovia Infrastructure Ltd,949196
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,WM&L-Holland Park Theatre,YA2,ELR OHP General (OSY),Supplies & Services,400,Stationery Purchase,L0309.41700,41700,cartridges, 01/03/2013,P2 631440,£786.94,REV,Arthur C Abbott Ltd,1055443
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Traffic Section,YT5,TTS Alan Moore-Lighting (OSY),Third Party Payments,500,Traffic Schemes,Y7130.55390,55390,ERECT SCHOOL SIGNS & REPLACE 60mM POSTS & ERECT CYCLE HOOPS, 01/03/2013,P2 631459,"£1,475.90",REV,Eurovia Infrastructure Ltd,949196
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Parking On-Street,YT8,TTS Alan Moore-Lighting (OSY),Third Party Payments,500,Meter Bays & Posts,Y8300.55990,55990,REPLACEMENT OF RESIDENTS SIGNS VARIOUS SITES SEE MAPS, 01/03/2013,P2 631460,"£8,370.00",REV,Eurovia Infrastructure Ltd,949196
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,WM&L-Operations - Cleansing,YW5,ELR Refuse & Cleansing (OSY),Third Party Payments,500,Animal Warden Contract,Y2305.55290,55290,Animal Warden Contract, 01/03/2013,P2 631537,"£3,108.04",REV,SDK (Kilsyth) Ltd,602146
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Human Resources,C04,COS Learning and Development (OSC),Supplies & Services,400,Annual Programme,P4421.42515,42515,Influencing Others at Work - RBKC staff training, 01/03/2013,P2 631747,£740.00,REV,Payment to an individual or sole trader,609038
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Finance (OSS),Third Party Payments,500,P&V Residential,S6123.54060,54060,01/02/13 - 28/02/13 Resi & Day Care Fees, 01/03/2013,P2 631785,"£3,502.32",REV,Carefutures,600075
The Royal Borough of Kensington and Chelsea,00AW,Housing Services,HOS,Homelessness & Housing Advice,H07,HOS Temp Accommodation (OSS),Third Party Payments,500,PLA Accommod - Stat Homeless,H6400.54714,54714,"PLA 01-31/01/2013, no VAT", 01/03/2013,P2 631808,"£2,184.57",REV,R@W Logistics Ltd,1211426
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6123.54135,54135,Flambard Rd (Outreach) 1.2.13-21.2.13 *******, 01/03/2013,P2 631996,"£1,176.00",REV,Voyage Ltd,600504
