ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,05/07/2017,NEIGHBOURHOODS AND ENVIRONMENT,DENNIS EAGLE LTD,05/07/2017,541.16 ,VEHICLE MAINTENANCE,V001083276
ROCHDALE BOROUGH COUNCIL,04/07/2017,NEIGHBOURHOODS AND ENVIRONMENT,SOLON SECURITY LIMITED,04/07/2017,1220.70 ,SECURITY,V001089822
ROCHDALE BOROUGH COUNCIL,06/07/2017,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,06/07/2017,3511.61 ,GAS,V001120337
ROCHDALE BOROUGH COUNCIL,07/07/2017,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,07/07/2017,-598.12 ,RESIDENTIAL LONG TERM,V001120610
ROCHDALE BOROUGH COUNCIL,11/07/2017,PROPERTY AND HIGHWAYS,HCL SAFETY LIMITED,11/07/2017,800.00 ,TRAINING,V001121865
ROCHDALE BOROUGH COUNCIL,07/07/2017,PHYSICAL DIS & OLDER PEOPLE,ASTRA SIGNS LTD,07/07/2017,685.00 ,PURCHASE OF FURNITURE AND EQUIPMENT,V001124957
ROCHDALE BOROUGH COUNCIL,07/07/2017,PHYSICAL DIS & OLDER PEOPLE,ASTRA SIGNS LTD,07/07/2017,1100.00 ,PURCHASE OF FURNITURE AND EQUIPMENT,V001124957
ROCHDALE BOROUGH COUNCIL,07/07/2017,PROPERTY AND HIGHWAYS,F BRIERLEY & SON LIMITED,07/07/2017,1970.00 ,TRANSACTIONS-EXPENDITURE,V001124973
ROCHDALE BOROUGH COUNCIL,06/07/2017,NEIGHBOURHOODS AND ENVIRONMENT,CORPS,06/07/2017,7825.54 ,SECURITY,V001128310
ROCHDALE BOROUGH COUNCIL,12/07/2017,NEIGHBOURHOODS AND ENVIRONMENT,ECO FUELS SERVICES LTD,12/07/2017,705.00 ,PROPERTY - WORKS ELEMENT,V001129666
ROCHDALE BOROUGH COUNCIL,12/07/2017,NEIGHBOURHOODS AND ENVIRONMENT,AEBI SCHMIDT UK LIMITED,12/07/2017,696.80 ,VEHICLE MAINTENANCE,V001131774
ROCHDALE BOROUGH COUNCIL,12/07/2017,NEIGHBOURHOODS AND ENVIRONMENT,IMPERIAL POLYTHENE PRODUCTS LTD,12/07/2017,710.36 ,EQUIPMENT - GENERAL,V001132419
ROCHDALE BOROUGH COUNCIL,05/07/2017,NEIGHBOURHOODS AND ENVIRONMENT,MIDLAND SOFTWARE LTD,05/07/2017,2782.93 ,SOFTWARE,V001132717
ROCHDALE BOROUGH COUNCIL,04/07/2017,LEARNING DIS & MENTAL HEALTH,SALFORD CITY COUNCIL,04/07/2017,4937.00 ,SUBSCRIPTIONS,V001134834
ROCHDALE BOROUGH COUNCIL,11/07/2017,NEIGHBOURHOODS AND ENVIRONMENT,CORPS,11/07/2017,7825.54 ,SECURITY,V001134881
ROCHDALE BOROUGH COUNCIL,05/07/2017,EARLY HELP AND SCHOOLS,OLDHAM COLLEGE,05/07/2017,22102.83 ,OTHER EST - SEN PROVISION,V001134898
ROCHDALE BOROUGH COUNCIL,21/07/2017,NEIGHBOURHOODS AND ENVIRONMENT,ENTERPRISE MANCHESTER PARTNERSHIP LTD,21/07/2017,878.00 ,CONTRACTED SERVICES,V001135006
ROCHDALE BOROUGH COUNCIL,06/07/2017,ECONOMY DIRECTORATE,PLANET DATA SOLUTIONS,06/07/2017,695.00 ,REPAIRS & ALTS OF BUILDINGS,V001135036
ROCHDALE BOROUGH COUNCIL,05/07/2017,NEIGHBOURHOODS AND ENVIRONMENT,JAMES HART (CHORLEY) LTD,05/07/2017,650.00 ,VEHICLE MAINTENANCE,V001135120
ROCHDALE BOROUGH COUNCIL,05/07/2017,NEIGHBOURHOODS AND ENVIRONMENT,JAMES HART (CHORLEY) LTD,05/07/2017,650.00 ,VEHICLE MAINTENANCE,V001135120
ROCHDALE BOROUGH COUNCIL,04/07/2017,PROPERTY AND HIGHWAYS,TRANSPORT FOR GREATER MANCHESTER,04/07/2017,1315.16 ,ROADWORKS,V001135159
ROCHDALE BOROUGH COUNCIL,07/07/2017,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,07/07/2017,4082.02 ,CONSULTANT FEES,V001135232
ROCHDALE BOROUGH COUNCIL,06/07/2017,PUBLIC HEALTH,PENNINE CARE NHS,06/07/2017,327779.00 ,PH PENNINE CARE CONTRACT,V001135271
ROCHDALE BOROUGH COUNCIL,07/07/2017,PUBLIC HEALTH,LINK4LIFE (CHARITY),07/07/2017,1500.00 ,PUBLICITY,V001135481
ROCHDALE BOROUGH COUNCIL,07/07/2017,LEARNING DIS & MENTAL HEALTH,HANDSALE LTD,07/07/2017,850.00 ,NURSING LONG TERM,V001136002
ROCHDALE BOROUGH COUNCIL,07/07/2017,LEARNING DIS & MENTAL HEALTH,HANDSALE LTD,07/07/2017,-1018.00 ,RESIDENTIAL LONG TERM,V001136306
