Body Name,Body,Service Label    ,Service Code,Service Division Label,Service Division Code,Organisational Unit,Expenditure Category,Expenditure Code,CIPFA Detailed Expenditure Type,CIPFA Detailed Expenditure Code,Date,Transaction Number,Net Amount, Capital and Revenue,Supplier Name,Supplier_ID
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Resources and Enabling,Supplies and Services,1023/34112,Income Processing Charges,34112,07/12/2017,inv0042720,810.71,General Fund,allpay Limited,20775
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Corp and Dem,1A7,Corporate Management,1701,Resources and Enabling,Supplies and Services,1701/34018,Treasury Consultancy Fee,34018,07/12/2017,inv0042645,6750.00,General Fund,Capita Treasury Solutions Limited,17541
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Service Units,2A3,Direct Service Service Unit,2302,Resources and Enabling,Supplies and Services,2861/35104,Software Charges,35104,07/12/2017,inv0042731,720.00,Control Holding and SU Accnts,Computer Aided Development Corporation,17914
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Service Units,2A3,Direct Service Service Unit,2302,Resources and Enabling,Supplies and Services,2862/35104,Software Charges,35104,07/12/2017,inv0042731,240.00,Control Holding and SU Accnts,Computer Aided Development Corporation,17914
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Service Units,2A3,Direct Service Service Unit,2302,Resources and Enabling,Supplies and Services,2864/35104,Software Charges,35104,07/12/2017,inv0042731,480.00,Control Holding and SU Accnts,Computer Aided Development Corporation,17914
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Cultural and Related Services,1A2,Recreation and Sport,1203,Resources and Enabling,Premises,1122/11003,Energy - Gas (Inc. Mecogas),11003,07/12/2017,inv0042634,48.54,General Fund,Corona Energy Retail 4 Limited t/as Corona Energy,31105
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Housing Services,1A6,Homelessness,1602,Resources and Enabling,Premises,1619/11003,Energy - Gas (Inc. Mecogas),11003,07/12/2017,inv0042639,196.99,General Fund,Corona Energy Retail 4 Limited t/as Corona Energy,31105
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Resources and Enabling,Premises,1914/11003,Energy - Gas (Inc. Mecogas),11003,07/12/2017,inv0042641,169.37,General Fund,Corona Energy Retail 4 Limited t/as Corona Energy,31105
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Resources and Enabling,Premises,1922/11003,Energy - Gas (Inc. Mecogas),11003,07/12/2017,inv0042640,29.06,General Fund,Corona Energy Retail 4 Limited t/as Corona Energy,31105
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Resources and Enabling,Premises,1923/11003,Energy - Gas (Inc. Mecogas),11003,07/12/2017,inv0042635,147.69,General Fund,Corona Energy Retail 4 Limited t/as Corona Energy,31105
