Body Name,Body,Service Label    ,Service Code,Service Division Label,Service Division Code,Organisational Unit,Expenditure Category,Expenditure Code,CIPFA Detailed Expenditure Type,CIPFA Detailed Expenditure Code,Date,Transaction Number,Net Amount, Capital and Revenue,Supplier Name,Supplier_ID
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Agency Arrangements,3A3,Other Agencies,3302,Customer Service,Supplies and Services,3242/35303,Postage by Bulk,35303,01/06/17,inv0039238,2856.40,Partnerships and Agencies,Adare Limited,17824
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Agency Arrangements,3A3,Other Agencies,3302,Customer Service,Supplies and Services,3242/35104,Software Charges,35104,01/06/17,inv0039146,500.00,Partnerships and Agencies,Halarose Ltd,18126
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Capital,5A1,Housing Services,5601,Delivery & Front Line Services,Supplies and Services,5677/38028,Misc. - Loans for Housing,38028,01/06/17,inv0039296,3922.73,Capital,Alec Quarton,19563
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Capital,5A1,ICT Hardware and Software,5181,Environment,Supplies and Services,5147/35105,Computer Equipment,35105,01/06/17,inv0039258,4200.00,Capital,Razorblue Ltd,18068
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Capital,5A1,ICT Hardware and Software,5181,Environment,Supplies and Services,5147/35105,Computer Equipment,35105,01/06/17,inv0039258,1200.00,Capital,Razorblue Ltd,18068
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Corp and Dem,1A7,Corporate Management,1701,Management Team,Supplies and Services,1702/34107,Hired Services - General,34107,01/06/17,inv0039257,18301.66,General Fund,iESE,27576
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Corp and Dem,1A7,Corporate Management,1701,Management Team,Supplies and Services,1702/34107,Hired Services - General,34107,01/06/17,inv0039323,1478.26,General Fund,iESE,27576
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Corp and Dem,1A7,Corporate Management,1701,Management Team,Supplies and Services,1702/34107,Hired Services - General,34107,01/06/17,inv0039256,6439.81,General Fund,iESE,27576
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Delivery & Front Line Services,Premises,1914/14001,Water Rates And Accounts,14001,01/06/17,inv0039292,90.11,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Delivery & Front Line Services,Premises,1914/14002,Environmental Service Charge,14002,01/06/17,inv0039292,83.14,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Delivery & Front Line Services,Premises,1915/11001,Energy - Solid Fuel,11001,01/06/17,inv0039292,15.20,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Delivery & Front Line Services,Premises,1915/11002,Energy-Electricy,11002,01/06/17,inv0039292,5.92,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Delivery & Front Line Services,Premises,1919/14001,Water Rates And Accounts,14001,01/06/17,inv0039291,346.62,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Delivery & Front Line Services,Premises,1919/14002,Environmental Service Charge,14002,01/06/17,inv0039291,237.74,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Delivery & Front Line Services,Premises,1922/14001,Water Rates And Accounts,14001,01/06/17,inv0039291,21.60,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Delivery & Front Line Services,Premises,1922/14002,Environmental Service Charge,14002,01/06/17,inv0039291,20.14,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Delivery & Front Line Services,Premises,1923/14001,Water Rates And Accounts,14001,01/06/17,inv0039291,135.61,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Delivery & Front Line Services,Premises,1923/14002,Environmental Service Charge,14002,01/06/17,inv0039291,97.16,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Customer Service,Supplies and Services,1021/34107,Hired Services - General,34107,01/06/17,inv0039314,256.69,General Fund,Meritec Limited,31510
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Customer Service,Supplies and Services,1021/34107,Hired Services - General,34107,01/06/17,inv0039317,285.64,General Fund,Meritec Limited,31510
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Customer Service,Supplies and Services,1021/35104,Software Charges,35104,01/06/17,inv0039254,1253.14,General Fund,Northgate Public Services (UK) Ltd,18250
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Cultural and Related Services,1A2,Open Spaces,1202,Delivery & Front Line Services,Premises,1112/14001,Water Rates And Accounts,14001,01/06/17,inv0039291,405.54,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Cultural and Related Services,1A2,Recreation and Sport,1203,Delivery & Front Line Services,Premises,1122/14001,Water Rates And Accounts,14001,01/06/17,inv0039291,24.11,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Cultural and Related Services,1A2,Recreation and Sport,1203,Delivery & Front Line Services,Premises,1122/14002,Environmental Service Charge,14002,01/06/17,inv0039291,11.41,General Fund,Yorkshire Water Services Ltd,17526
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Current Assets,6A2,Inventories,6221,Delivery & Front Line Services,Balance Sheet Detail Codes,6135/A4002,Stock Receipts(Purchases),A4002,01/06/17,inv0039153,179.00,Balance Sheet,PPS Ltd,17808
