School,Number of pupils on roll,No. with English as an additional language,% with English as an additional language
All Saints' CE (VA) J & I School,211,18,8.5
Ash Green Community Primary School,447,7,1.6
Bailiffe Bridge J & I School,203,8,3.9
Barkisland CE (VA) Primary School,182,1,0.5
Bowling Green J & I School,159,0,0
Carr Green Primary School,368,7,1.9
Castle Hill Primary School,285,1,0.4
Castlefields Infant School,162,24,14.8
Central Street Infant & Nursery School,96,2,2.1
Christ Church (Pellon) CE (VC) Primary School,180,40,22.2
Christ Church CE (VA) Junior School (Sowerby Bridge),106,2,1.9
Cliffe Hill Community Primary School,213,4,1.9
Colden J & I School,119,0,0
Copley Primary School,232,3,1.3
"Cornholme J, I & N School",220,8,3.6
Cragg Vale J & I School,65,0,0
Cross Lane Primary and Nursery School,329,53,16.1
Dean Field Community Primary School,223,8,3.6
"Elland CE (VA) J, I & N School",238,17,7.1
Ferney Lee Primary School,220,56,25.5
Hebden Royd CE (VA) Primary School,142,4,2.8
"Heptonstall J, I & N School",114,0,0
Highbury School,72,7,9.7
Holywell Green Primary School,240,2,0.8
Lee Mount Primary School,393,27,6.9
Lightcliffe CE (VA) Primary School,422,11,2.6
"Ling Bob J, I & N School",402,85,21.1
Longroyde Junior School,254,35,13.8
Luddenden CE School,217,4,1.8
Midgley School,106,1,0.9
Moorside Community Primary School,291,13,4.5
New Road Primary School,121,2,1.7
Norland CE (VC) J & I School,93,0,0
Northowram Primary School,468,1,0.2
Old Town Primary School,103,0,0
Parkinson Lane Community Primary School,521,513,98.5
"Rawson J, I & N School",375,29,7.7
Ripponden J & I School,235,0,0
Riverside Junior School,156,1,0.6
Salterhebble J & I School,209,24,11.5
Savile Park Primary School,242,159,65.7
Shade Primary School,215,2,0.9
Shelf J & I School,309,2,0.6
Sowerby Village CE (VC) Primary School,164,1,0.6
St Andrew's CE (VA) Infant School (Brighouse),178,4,2.2
St Andrew's CE (VA) Junior School (Brighouse),223,5,2.2
St Augustine's CE (VA) J & I School (Halifax),190,175,92.1
St Chad's CE (VA) Primary School,212,0,0
St Joseph's Catholic Primary School (Brighouse),243,6,2.5
St Joseph's Catholic Primary School (Halifax),183,12,6.6
St Joseph's RC Primary School (Todmorden),125,30,24
St Mary's Catholic Primary School (Halifax),274,105,38.3
St Mary's CE (VC) J & I School (Sowerby Bridge),96,0,0
St Michael & All Angels CE Primary School,208,0,0
St Patrick's Catholic Primary School (Elland),109,6,5.5
Stubbings Infant School,95,2,2.1
Todmorden CE (VA) J & I School,263,15,5.7
Triangle CE (VC) Primary School,185,2,1.1
Tuel Lane Infant School,151,5,3.3
Walsden St Peter's CE (VC) Primary School,161,0,0
Warley Road Primary School,643,530,82.4
Warley Town School,128,6,4.7
West Vale Primary School,180,2,1.1
Withinfields Primary School,351,8,2.3
Wood Bank School,73,24,32.9
Woodhouse Primary School,420,30,7.1
Calderdale (Incl special schools),"14,813","2,149",14.5
Calderdale (Excl special schools),"14,668","2,118",14.4
Note:,,,
Academy Data is not available.,,,
