OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,18-Apr,PA360242780INV-113627,Projector,CITY DEVELOPMENT,203- Operational Furniture And Equipment,,14/02/2017,,,,,"œ7,332.60",,"A V PARTS MASTER LTD, Devonshire Place, New Road, CROWTHORNE, RG45 6NA",,b) Micro,,Paul Footitt,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,18-Apr,AC028742787LCCTV16-001,Citywide Leaflet Distribution,CITY DEVELOPMENT,267- Publication And Promotion,,21/02/2017,,,,,"œ10,548.00",,"ACE LEAFLET DISTRIBUTION & PRINT LTD, 96 Oldfield Lane, Wortley, LEEDS, LS12 4BR",,Other/Not known,,Richard Tinker,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,18-Apr,GA3888427765238767507,Elland Road Phase 2 and CCTV Camera,ENVIRONMENT & HOUSING,265- Other Hired And Contracted Services,,10/02/2017,,,,,"œ16,939.32",,"ADI GLOBAL, Units 25-27 Transpennine Estate, NULL, ROCHDALE, OL11 2PX",,e) Large,,Nigel Webber,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,18-Apr,FA00244276928290740,Kirkgate Market - Refurbishment,CITY DEVELOPMENT,,,03/02/2017,,,,,"œ7,000.00",,"AECOM LIMITED, Aecom House 63-77 Victoria Street, NULL, ST ALBANS, AL1 3ER",,e) Large,,Chris Coulson,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,18-Apr,AG481042783HOSPITAL DISCHARGE S,Hospital Discharge,ENVIRONMENT & HOUSING,514- Supporting Ppl - Block Gross Chargeable,,17/02/2017,,,,,"œ6,643.30",,"AGE UK LEEDS ENTERPRISES, Bradbury Building, Mark Lane, LEEDS, LS2 8JA",,c) Small,,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,18-Apr,AI993842783M-000004-A5,Assessment works carried out on Hunslet and Victoria Mills,CITY DEVELOPMENT,,,17/02/2017,,,,,"œ19,298.33",,"AIREBANK DEVELOPMENTS LTD, ",,Other/Not known,,Mark Mills,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,18-Apr,"AI988842787Q2,3,42016-17",Aireborough Supported Activities 2016,CITIZENS AND COMMUNITIES,230- 'Well Being' Large Grants Projects,,21/02/2017,,,,,"œ6,394.00",,"AIREBOROUGH SUPPORTED ACTIVITIES SCHEME, Ivy Bank, Ellar Ghyll, OTLEY, LS21 3DN",,Other/Not known,,Baksho Uppal,Grant
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,18-Apr,AL03384276716310,Annual License Renewal for the Evolutive Database,CITY DEVELOPMENT,214- Computer Software & Equipment,,01/02/2017,,,,,"œ11,970.00",,"ALCIUM SOFTWARE LTD, 6 Rotunda Business Centre, Thorncliffe Road, SHEFFIELD, S35 2PG",,b) Micro,,Simon Brereton,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,18-Apr,ZZ48544277406FEB-05MAR,Residential Care,ADULT SOCIAL CARE,580- Residential,,08/02/2017,,,,,"œ32,854.05",,"ANCHOR TRUST, Primrose Court 06005, Orchard Way   Guiseley, LEEDS, LS20 9EP",,e) Large,,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,18-Apr,AN224042776233150,Youth Service,CHILDRENS SERVICES,411- Legal Disbursements,,10/02/2017,,,,,"œ10,434.70",,"ANGUS WITHINGTON, 2 Harcourt Buildings, Temple, LONDON, EC4Y 9DB",,Other/Not known,,Kate Kearns,Non-influenceable
