OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,PE095142181608932,Vehicle Leasing,ENVIRONMENT & HOUSING,,,26/06/2015,,,,,"£159,314.60",0,"Pentagon Corporate Fleet, Norbert Dentressngle Storage Depot,Jubilee House   Cat And Fiddle Lane, WEST HALLAM      DERBY, DE7 6HE",,Other/Not known,,Carl Snowden,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,ST2679421602295,Waste Management,ENVIRONMENT & HOUSING,234-Recycling & Reuse Charges,,05/06/2015,,,,,"£46,491.97",0,"SJB Recycling Limited, Mount View,Standard Way, NORTHALLERTON, DL6 2YD",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,GR372742171S7610,Core Funding Scheme,ENVIRONMENT & HOUSING,227-Non-Recurring Grants,,16/06/2015,,,,,"£45,842.75",0,"GROUNDWORK LEEDS, Environmental & Business Services,Merlyn-Rees Avenue, MORLEY  LEEDS, LS27 9SL",,d) Medium,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,RU003242160636496,ICT Agency Fees,CENTRAL & CORPORATE,8-Agency Staff,,05/06/2015,,,,,"£41,193.56",0,"Rullion IT Plus Limited, Po Box 47,Trafalgar House, ALTRINCHAM  CHESHIRE, WA14 1FG",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,CA2938421676003077892,Housing Benefit Changes,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,12/06/2015,,,,,"£38,080.00",0,"CAPITA BUSINESS SERVICES LTD, 71 Victoria Street,Westminster, LONDON, SW1H 0XA",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,PA1893421633740,Landscaping Works ,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,08/06/2015,,,,,"£29,920.90",0,"Parkers Landscapes & Construction Ltd, 20 Burley Road,Menston, ILKLEY  WEST YORKSHI, LS29 6PG",,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,RO110242160SIMI077101,Foster Care Placements,CHILDRENS SERVICES,507-General External Residential Placements,,05/06/2015,,,,,"£28,504.50",0,"Rosedale Childrens Services Ltd, 6th Floor Metropolitan House,3 Darkes Lane, POTTERS BAR, EN6 1AG",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,IM867342163EV013086,Payment for the Warsaw Philharmonic Orchestra,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,08/06/2015,,,,,"£28,000.00",0,"IMG ARTISTS (UK) LTD, The Light Box 111 Power Road, LONDON, W4 5PY",,d) Medium,,Matthew Sims,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,WA04234216015476,Dewsbury Road Nursery Library Places,CHILDRENS SERVICES,191-Repairs & Adapts - Buildings,,05/06/2015,,,,,"£27,409.35",0,"WALTER WEST BUILDERS LTD, Bank Street,Highgate, DEWSBURY, WF12 7DH",,c) Small,,Frank Rounding,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,AI23544216028378,tree works for parcel 25,ENVIRONMENT & HOUSING,265-Other Hired And Contracted Services,,05/06/2015,,,,,"£26,960.00",0,"Aire Valley Tree Services Ltd, The Old Smithy Lee Lane East,Horsforth, LEEDS, LS18 5RE",,c) Small,,John Stevens,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,CO4855421745395,Works to the Oakwood Clock,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,19/06/2015,,,,,"£26,020.55",0,"M D CONSTRUCTION (BFD) LTD, Westfield Farm Westgate Hill Street,Tong, BRADFORD, BD4 0SL",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,AS564642167905066,Barriers etc for Tour De Yorkshire,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,12/06/2015,,,,,"£25,247.96",0,"ASHTEAD PLANT HIRE COMPANY LTD, 102 Dalton Avenue,Birchwood Park, WARRINGTON, WA3 6YE",,e) Large,,Ian Cairns,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,GR28634216030306,Traffic Management for Tour de Yorkshire,CITY DEVELOPMENT,277-Bought In Professional Services,,05/06/2015,,,,,"£25,012.00",0,"GREEN LIGHT TRAFFIC MANAGEMENT LTD, Unit 25 Dewsbury Mills,Thornhill Road, DEWSBURY, WF12 9QE",,c) Small,,Craig Shackleton,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,PR3252421601354324876,Health & Social Care Integration Review,ADULT SOCIAL CARE,259-Consultancy Services,,05/06/2015,,,,,"£25,000.00",0,"Pricewaterhousecoopers Llp, Hays Galleria,1 Hays Lane, LONDON, SE1 2RD",,e) Large,,John Crowther,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,GE983542173GEN28578,ICT Agency Fees,CENTRAL & CORPORATE,8-Agency Staff,,18/06/2015,,,,,"£24,300.00",0,"Triad Resourcing, 37 Sunningdale House,Caldecotte Business Park, MILTON KEYNES, MK7 8LF",,d) Medium,,,Other
