Business Name,Address Line 1,Address Line 2,Address Line 3,Postcode,Business Type ID,Business Type Description,Food Hygiene Rating Scheme ID,Food Hygiene Rating Scheme Type,Hygiene Score,Structural Score,Confidence In Management Score,Rating Value,Rating Date,New Rating Pending,Local Authority Business ID,Local Authority Code,Local Authority Name,Local Authority Email Address,Local Authority Website,Ward Code,Ward Name,Longitude,Latitude,Last Uploaded,Location,Organisation URI
Brewdog,,113 Bayham Street,London,NW1 0AG,1,Restaurant/Cafe/Canteen,760591,FHRS,10,5,10,3,07/05/2015,False,70206,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,-0.141022,51.538331,15/04/2018,"(51.538331, -0.141022)",http://opendatacommunities.org/id/london-borough-council/camden
Dukan 41,,41 Greville Street,London,EC1N 8PJ,1,Restaurant/Cafe/Canteen,947371,FHRS,10,15,5,2,14/02/2017,False,183302,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.108925,51.51939,15/04/2018,"(51.51939, -0.108925)",http://opendatacommunities.org/id/london-borough-council/camden
Graysons Resturants,,1 Midland Road,London,NW1 1AT,1,Restaurant/Cafe/Canteen,1022434,FHRS,0,0,0,5,12/12/2017,False,181999,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,15/04/2018,,http://opendatacommunities.org/id/london-borough-council/camden
Lunch Club,Jacqueline House,52 Fitzroy Road,London,NW1 8UA,5,Hospitals/Childcare/Caring Premises,639815,FHRS,5,10,10,3,05/03/2014,False,65446,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,-0.156038,51.539509,15/04/2018,"(51.539509, -0.156038)",http://opendatacommunities.org/id/london-borough-council/camden
Maria Fidelis Roman Catholic,Maria Fidelis Convent School,34 Phoenix Road,London,NW1 1TA,7845,School/college/university,423987,FHRS,0,0,0,5,17/01/2017,False,1763,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000143,St Pancras and Somers Town,-0.13209,51.530615,15/04/2018,"(51.530615, -0.13209)",http://opendatacommunities.org/id/london-borough-council/camden
Hampstead Kiosk,Pitch Outside Hampstead Underg,Hampstead High Street,London,,7846,Mobile caterer,632472,FHRS,5,5,10,4,28/01/2014,False,59451,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,15/04/2018,,http://opendatacommunities.org/id/london-borough-council/camden
Chalk Farm Foodbank,Chalk Farm Baptist Church,Berkley Road,London,NW1 8YS,4613,Retailers - other,947376,FHRS,5,5,0,5,02/02/2017,False,56413,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,-0.15647,51.541324,15/04/2018,"(51.541324, -0.15647)",http://opendatacommunities.org/id/london-borough-council/camden
Euro Food & Wine,,3-16 Woburn Place,London,WC1H 0LS,4613,Retailers - other,424752,FHRS,5,0,5,5,28/02/2017,False,32867,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.126156,51.523425,15/04/2018,"(51.523425, -0.126156)",http://opendatacommunities.org/id/london-borough-council/camden
Gallery Diner,University Of London Union,Malet Street,London,WC1E 7HY,1,Restaurant/Cafe/Canteen,424815,FHRS,10,0,10,4,11/05/2015,False,35389,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.13116,51.522696,15/04/2018,"(51.522696, -0.13116)",http://opendatacommunities.org/id/london-borough-council/camden
Samarkand,,33 Charlotte Street,London,W1T 1RR,1,Restaurant/Cafe/Canteen,998761,FHRS,5,5,5,5,14/03/2017,False,182230,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.135579,51.518962,15/04/2018,"(51.518962, -0.135579)",http://opendatacommunities.org/id/london-borough-council/camden
