Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Seq No,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Thomson Classification,Thomson Desc.,Contract
,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,ALERT -IT CARE ALARMS,Redacted,Not yet available,Not yet available,Not yet available,02/10/2015,22882678,1,2702.1,Nil,Adaptations,Revenue,Adult Services,CAT04,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,ALERT -IT CARE ALARMS,Redacted,Not yet available,Not yet available,Not yet available,23/10/2015,22898185,1,1113.5,Nil,Adaptations,Revenue,Adult Services,CAT04,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,05/10/2015,22868017,1,810,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,23/11/2015,22907422,1,730,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,23/12/2015,22907172,1,580,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,19/11/2015,22907175,1,833,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,16/10/2015,22887239,1,503,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,19/10/2015,22888544,1,1141.6,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,10/11/2015,22897447,1,1111.5,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,06/10/2015,22880728,1,1070,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,09/12/2015,22897489,1,1900,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,02/10/2015,22880731,1,1658,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,06/10/2015,22880727,1,933,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,17/11/2015,22905374,1,675,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,17/11/2015,22905383,1,2400,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,17/11/2015,22905395,1,713,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,17/11/2015,22909134,1,530,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,01/12/2015,22905391,1,980,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,23/11/2015,22901475,1,2050,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,05/10/2015,22878798,1,2020,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/12/2015,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,05/10/2015,22878958,1,1005,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
