Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,15/06/2016,AON45332,,Building Maintenance & Works Framework,,GENERIC,,,Building Maintenance & Works Framework,FM-BUILDING MAINTENANCE,,,,,01/02/2015,31/01/2017,,31/01/2019,,Estimated,�0,1-2 CALL DRAINAGE & GROUNDWORK LTD,,,1529798,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,15/06/2016,AXN49202,,Venue hire and any associated catering,,GENERIC,,,Venue hire and any associated catering,"VENUE HIRE, BUFFETS & EVENT CATERING",,,,,02/06/2016,,,,,Estimated,�0,12TH KINGS LYNN SCOUT GROUP,,,1030790,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,15/06/2016,ALN45450A,,Recycling credits,,ETD,,,Recycling credits,WASTE-RECYCLING CREDITS,,,,,01/03/2015,,,,150000,Estimated,�0,1ST DERSINGHAM SCOUT & GUIDE GROUPS,,,80240,,Y,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,15/06/2016,AXN41218,,Shop consumables,,COMMUNITY SERVICES,,,Shop consumables,RETAIL-GOODS FOR RESALE,,,,,01/04/2013,30/09/2016,,30/09/2016,50000,Estimated,�0,3D DISPLAYS LIMITED,,,65570,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,15/06/2016,BON40201N,,Multi provider Framework Agreement for the Provision of Training for the Early years and Childcare Workforce,,RESOURCES,,,Multi provider Framework Agreement for the Provision of Training for the Early years and Childcare Workforce,HR-TRAINING,,,,,05/07/2012,04/07/2016,,04/07/2016,500000,Estimated,�0,4 TRAINING & CONSULTANCY LTD,,,997840,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,15/06/2016,BON44787,,CF0443 4Children Lots 31 & 32 Children's Centres,,CHILDREN,,,CF0443 4Children Lots 31 & 32 Children's Centres,CHILDREN'S-CHILDREN'S CENTRES,,,,,01/10/2012,31/03/2019,,31/03/2019,3458144,Estimated,�0,4CHILDREN (TRADING) LIMITED,gb/02433565,,80253,,Y,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,15/06/2016,APN48402,,Unexploded ordnance surveys for the Northern Distributor Road,,ETD,,,Unexploded ordnance surveys for the Northern Distributor Road,HIGHWAYS-PROFESSIONAL SERVICES,,,,,27/08/2015,12/04/2018,,12/04/2018,161870,Estimated,�0,6 ALPHA ASSOCIATES LTD,,,1530793,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,15/06/2016,BAN10454,,Care Home and Care Homes with Nursing for Adults April 2012,,COMMUNITY SERVICES,,,Care Home and Care Homes with Nursing for Adults April 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,01/04/2012,,,,0,Estimated,�0,"A, S & C CROPLEY T/A POINT HOUSE",,,78561,,,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,15/06/2016,BAN43426,,Spot Purchased Day Care For Adults (Point House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Point House),ADULT CARE-DAY/COMMUNITY/WORK SUPPORT,,,,,01/01/2000,,,,,Estimated,�0,"A, S & C CROPLEY T/A POINT HOUSE",,,78561,,,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,15/06/2016,BAN10627,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,ADULT CARE-NURSING & RESIDENTIAL,,,,,01/04/2012,,,,,Estimated,�0,MR & MRS A BUTCHERS T/A INWOOD HOUSE,,,586494,,,,Procurement Part B Team,partb@norfolk.gov.uk,
