"vehTypeID","ClassID","EU_Class","Make and Model Desc","Body Type Desc 1","Propulsion Type Desc","Wheel Plan Desc","BodyTypeDesc2","GVW","EngineCC","GVW_Mod","EngineCC_mod","PassSeats","KerbWt","OPClassID","SubClassID","WtID","FuelID","EngineID"
466,1,"M1","AUDI A6 E S LINE TDI",,"DIESEL","2 AXLE RIGID BODY",,"0","1968",2000,1968,,,1,1,1,2,2
4753,1,"M1","SEAT LEON FR TECHNOLOGY TDI",,"DIESEL","2 AXLE RIGID BODY",,"1930","1968",1930,1968,,,1,1,1,2,2
19668,1,"M1","FIAT GRANDE PUNTO ACTIVE 77","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","1368",,1368,,,1,1,1,1,1
22234,1,"M1","NISSAN MICRA INSPIRATION 16V","CARS","PETROL","2 AXLE RIGID BODY","3 Door Hatchback","NULL","998",,998,,,1,1,1,1,1
31935,1,"M1","ALFA ROMEO 156 JTD VELOCE","CARS","DIESEL","2 AXLE RIGID BODY","Estate","0","2387",,2387,,,1,1,1,2,3
32083,1,"M1","AUDI A1 SPORT TFSI","CARS","PETROL","2 AXLE RIGID BODY","3 Door Hatchback","1550","1390",1550,1390,,,1,1,1,1,1
32089,1,"M1","AUDI A1 SPORT TFSI S-A","CARS","PETROL","2 AXLE RIGID BODY","3 Door Hatchback","1575","1390",1575,1390,,,1,1,1,1,1
32174,1,"M1","AUDI A3 S LINE TDI QUATTRO S-A","CARS","DIESEL","2 AXLE RIGID BODY","3 Door Hatchback","1955","1968",1955,1968,,,1,1,1,2,2
32180,1,"M1","AUDI A3 S LINE TDI S-A","CARS","DIESEL","2 AXLE RIGID BODY","3 Door Hatchback","1810","1598",1810,1598,,,1,1,1,2,2
32184,1,"M1","AUDI A3 S LINE TDI S-A","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","1880","1968",1880,1968,,,1,1,1,2,2
32242,1,"M1","AUDI A3 SE TECHNIK ULTRA TDI","CARS","DIESEL","2 AXLE RIGID BODY","3 Door Hatchback","1740","1598",1740,1598,,,1,1,1,2,2
32281,1,"M1","AUDI A3 SPORT FSI","CARS","PETROL","2 AXLE RIGID BODY","3 Door Hatchback","0","1984",,1984,,,1,1,1,1,2
32308,1,"M1","AUDI A3 SPORT TDI","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","1865","1968",1865,1968,,,1,1,1,2,2
32310,1,"M1","AUDI A3 SPORT TDI","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","1880","1598",1880,1598,,,1,1,1,2,2
32344,1,"M1","AUDI A3 SPORT TFSI","CARS","PETROL","2 AXLE RIGID BODY","Convertible","0","1798",,1798,,,1,1,1,1,2
32536,1,"M1","AUDI A4 SE TDI","CARS","DIESEL","2 AXLE RIGID BODY","Estate","0","1986",,1986,,,1,1,1,2,2
32550,1,"M1","AUDI A4 SE TDI QUATTRO","CARS","DIESEL","2 AXLE RIGID BODY","Estate","2170","1968",2170,1968,,,1,1,1,2,2
32691,1,"M1","AUDI A5 S5 TFSI QUATTRO AUTO","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","2295","2995",2295,2995,,,1,1,1,1,3
32694,1,"M1","AUDI A5 SE TDI","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","0","1968",,1968,,,1,1,1,2,2
32780,1,"M1","AUDI A6 S LINE BLK ED TDI ULTRA S-A","CARS","DIESEL","2 AXLE RIGID BODY","Estate","2355","1968",2355,1968,,,1,1,1,2,2
32789,1,"M1","AUDI A6 S LINE TDI","CARS","DIESEL","2 AXLE RIGID BODY","4 Door Saloon","2155","1968",2155,1968,,,1,1,1,2,2
32912,1,"M1","AUDI Q3 SE TDI QUATTRO","CARS","DIESEL","2 AXLE RIGID BODY","Estate","2135","1968",2135,1968,,,1,1,1,2,2
32923,1,"M1","AUDI Q3 SE TFSI S-A","CARS","PETROL","2 AXLE RIGID BODY","Estate","2005","1395",2005,1395,,,1,1,1,1,1
32986,1,"M1","AUDI RS4 FSI QUATTRO AUTO","CARS","PETROL","2 AXLE RIGID BODY","Estate","2345","4163",2345,4163,,,1,1,1,1,3
33052,1,"M1","AUDI TT QUATTRO (225 BHP)","CARS","PETROL","2 AXLE RIGID BODY","Convertible","0","1781",,1781,,,1,1,1,1,2
33053,1,"M1","AUDI TT QUATTRO (225 BHP)","CARS","PETROL","2 AXLE RIGID BODY","Coupe","0","1781",,1781,,,1,1,1,1,2
33060,1,"M1","AUDI TT QUATTRO TDI","CARS","DIESEL","2 AXLE RIGID BODY","Convertible","0","1968",,1968,,,1,1,1,2,2
33228,1,"M1","BMW 118I SPORT","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","1499",,1499,,,1,1,1,1,2
33278,1,"M1","BMW 216D SPORT","CARS","DIESEL","2 AXLE RIGID BODY","Estate","0","1496",,1496,,,1,1,1,2,2
33336,1,"M1","BMW 318 Ci","CARS","PETROL","2 AXLE RIGID BODY","Convertible","0","1995",,1995,,,1,1,1,1,2
33441,1,"M1","BMW 320D EFFICIENTDYNAMICS","CARS","DIESEL","2 AXLE RIGID BODY","4 Door Saloon","0","1995",,1995,,,1,1,1,2,2
33464,1,"M1","BMW 320D M SPORT","CARS","DIESEL","2 AXLE RIGID BODY","4 Door Saloon","0","1995",,1995,,,1,1,1,2,2
33496,1,"M1","BMW 320D SE AUTO 181","CARS","DIESEL","2 AXLE RIGID BODY","Convertible","0","2000",,2000,,,1,1,1,2,3
33617,1,"M1","BMW 330CD M SPORT","CARS","DIESEL","2 AXLE RIGID BODY","Convertible","0","2993",,2993,,,1,1,1,2,3
33627,1,"M1","BMW 330D M SPORT HIGHLINE A","CARS","DIESEL","2 AXLE RIGID BODY","Coupe","0","2996",,2996,,,1,1,1,2,3
33669,1,"M1","BMW 335I M SPORT TOURING A","CARS","PETROL","2 AXLE RIGID BODY","Estate","0","2979",,2979,,,1,1,1,1,3
33681,1,"M1","BMW 420D M SPORT AUTO","CARS","DIESEL","2 AXLE RIGID BODY","Coupe","0","1995",,1995,,,1,1,1,2,2
33692,1,"M1","BMW 420D XDRIVE M SPORT","CARS","DIESEL","2 AXLE RIGID BODY","Coupe","0","1995",,1995,,,1,1,1,2,2
33706,1,"M1","BMW 430D GRAN COUPE M SPORT AUTO","CARS","DIESEL","2 AXLE RIGID BODY","Coupe","0","2993",,2993,,,1,1,1,2,3
33719,1,"M1","BMW 435D XDRIVE M SPORT AUTO","CARS","DIESEL","2 AXLE RIGID BODY","Coupe","0","2993",,2993,,,1,1,1,2,3
33743,1,"M1","BMW 520D M SPORT TOURING AUTO","CARS","DIESEL","2 AXLE RIGID BODY","Estate","0","1995",,1995,,,1,1,1,2,2
33759,1,"M1","BMW 520D SE TOURING","CARS","DIESEL","2 AXLE RIGID BODY","Estate","0","1995",,1995,,,1,1,1,2,2
33800,1,"M1","BMW 530D M SPORT","CARS","DIESEL","2 AXLE RIGID BODY","4 Door Saloon","0","2993",,2993,,,1,1,1,2,3
33836,1,"M1","BMW 640D M SPORT AUTO","CARS","DIESEL","2 AXLE RIGID BODY","Coupe","0","2993",,2993,,,1,1,1,2,3
33888,1,"M1","BMW M3","CARS","PETROL","2 AXLE RIGID BODY","Convertible","0","3246",,3246,,,1,1,1,1,3
33928,1,"M1","BMW X1 SDRIVE18D SPORT","CARS","DIESEL","2 AXLE RIGID BODY","Estate","0","1995",,1995,,,1,1,1,2,2
33946,1,"M1","BMW X1 XDRIVE20D M SPORT","CARS","DIESEL","2 AXLE RIGID BODY","Estate","0","1995",,1995,,,1,1,1,2,2
33950,1,"M1","BMW X1 XDRIVE20D SPORT AUTO","CARS","DIESEL","2 AXLE RIGID BODY","Estate","0","1995",,1995,,,1,1,1,2,2
34000,1,"N1 iii","BMW X5 D AUTO","CARS","DIESEL","2 AXLE RIGID BODY","Estate","0","2926",2750,2926,,2035,1,1,2,2,3
34023,1,"N1 iii","BMW X5 XDRIVE30D M SPORT AUTO","CARS","DIESEL","2 AXLE RIGID BODY","Estate","0","2993",2750,2993,,2035,1,1,2,2,3
34160,1,"M1","CITROEN AX SPREE","CARS","PETROL","2 AXLE RIGID BODY","3 Door Hatchback","NULL","954",,954,,,1,1,1,1,1
34168,2,"N1 i","CITROEN BERLINGO 600 HDI LX 75","GOODS","DIESEL","2 AXLE RIGID BODY","Car Derived Van","1730","1598",1730,1598,,1126,3,3,3,2,4
34180,,"N1","CITROEN BERLINGO 625 ENTERPRISE HDI","GOODS","DIESEL","2 AXLE RIGID BODY","Panel Van","0","1560",1990,1560,,1320,3,4,3,2,4
34200,,"N1","CITROEN BERLINGO 850 ENTERPRISE HDI","GOODS","DIESEL","2 AXLE RIGID BODY","Panel Van","0","1560",2195,1560,,1299,3,4,3,2,4
34215,1,"M1","CITROEN BERLINGO M-S FORTE","CARS","PETROL","2 AXLE RIGID BODY","Estate","0","1360",,1360,,,1,1,1,1,1
34232,1,"M1","CITROEN BERLINGO M-SPACE XTR BLUEHDI","CARS","DIESEL","2 AXLE RIGID BODY","Multi Purpose Vehicle","0","1560",,1560,,,1,1,1,2,2
34261,1,"M1","CITROEN C1 FLAIR PURETECH","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","1199",,1199,,,1,1,1,1,1
34281,1,"M1","CITROEN C1 VTR","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","998",,998,,,1,1,1,1,1
34283,1,"M1","CITROEN C1 VTR+","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","998",,998,,,1,1,1,1,1
34289,1,"M1","CITROEN C2 DESIGN","CARS","PETROL","2 AXLE RIGID BODY","3 Door Hatchback","0","1124",,1124,,,1,1,1,1,1
34314,1,"M1","CITROEN C3 DESIRE","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","1360",,1360,,,1,1,1,1,1
34374,1,"M1","CITROEN C3 VTR+ E-HDI","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","0","1560",,1560,,,1,1,1,2,2
34461,1,"M1","CITROEN C4 PICASSO 7 VTR+ HDI","CARS","DIESEL","2 AXLE RIGID BODY","Multi Purpose Vehicle","0","1560",,1560,,,1,1,1,2,2
34599,1,"M1","CITROEN DS3 DSTYLE","CARS","PETROL","2 AXLE RIGID BODY","3 Door Hatchback","0","1598",,1598,,,1,1,1,1,2
34681,4,"N1 iii","CITROEN RELAY 35 L4H2 HEAVY HDI","GOODS","DIESEL","2 AXLE RIGID BODY","Panel Van","0","2198",3500,2198,,2060,3,5,3,2,4
34729,1,"M1","CITROEN XSARA X","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","1360",,1360,,,1,1,1,1,1
34738,1,"M1","DACIA DUSTER LAUREATE DCI","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","1844","1461",1844,1461,,,1,1,1,2,2
34795,6,"N3","DAF TRUCKS FADCF85 . 340","GOODS","DIESEL","MULTI AXLE RIGID","Tipper","32000","12600",32000,12600,,,4,6,10,2,4
34830,6,"N3","DAF TRUCKS Missing","GOODS","DIESEL","2 AXLE RIGID BODY","Box Van","18000","6700",18000,6700,,,4,6,7,2,4
34855,6,"N3","DAF TRUCKS Missing","GOODS","DIESEL","2 AXLE RIGID BODY","Insulated Van","18000","6692",18000,6692,,,4,6,7,2,4
34880,6,"N3","DAF TRUCKS Missing","GOODS","DIESEL","3 AXLE & 3-AXLE ARTIC","Tractor","44000","12900",44000,12900,,,4,7,15,2,4
34913,,"N1","DAIHATSU FOURTRAK TDL","GOODS","DIESEL","2 AXLE RIGID BODY","Light 4 by 4 Utilities","3499","2765",3499,2765,,1780,3,5,3,2,4
34920,1,"M1","DAIHATSU SIRION SE","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","1450","1298",1450,1298,,,1,1,1,1,1
34967,7,"M1","Ducati M 1000 S","MOTORCYCLES, MOPEDS & SCOOTERS","PETROL","2 WHEEL","Motorcycle","0","992",,992,,,6,12,3,1,9
34996,1,"M1","FIAT 500 COLOUR THERAPY","CARS","PETROL","2 AXLE RIGID BODY","3 Door Hatchback","0","1242",,1242,,,1,1,1,1,1
34999,1,"M1","FIAT 500 LOUNGE","CARS","PETROL","2 AXLE RIGID BODY","3 Door Hatchback","0","1242",,1242,,,1,1,1,1,1
35012,1,"M1","FIAT 500 POP STAR","CARS","PETROL","2 AXLE RIGID BODY","3 Door Hatchback","0","1242",,1242,,,1,1,1,1,1
35067,1,"M1","FIAT BRAVO DYNAMIC 120 T-JET","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","1368",,1368,,,1,1,1,1,1
35115,4,"N1 iii","FIAT DUCATO 14 MWB","GOODS","DIESEL","2 AXLE RIGID BODY","Motor Home/Caravan","NULL","2500",3000,2500,,1900,3,5,3,2,4
35195,1,"M1","FIAT GRANDE PUNTO DYNAMIC","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","1368",,1368,,,1,1,1,1,1
35217,6,"N2","FIAT Missing","GOODS","DIESEL","3 AXLE RIGID BODY","Motor Home/Caravan","4500","2800",4500,2800,,,4,6,4,2,4
35232,1,"M1","FIAT PANDA DYNAMIC","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","1242",,1242,,,1,1,1,1,1
35323,3,"N1 ii","FIAT SCUDO COMF 90 M-JET SWB","GOODS","DIESEL","2 AXLE RIGID BODY","Panel Van","0","1560",2661,1560,,1661,3,4,3,2,4
35375,1,"M1","FORD C-MAX STYLE","CARS","PETROL","2 AXLE RIGID BODY","Multi Purpose Vehicle","0","1798",,1798,,,1,1,1,1,2
35416,1,"M1","FORD C-MAX ZETEC TDCI","CARS","DIESEL","2 AXLE RIGID BODY","Multi Purpose Vehicle","1915","1560",1915,1560,,,1,1,1,2,2
35423,1,"M1","FORD ECOSPORT TITANIUM TURBO","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","1730","998",1730,998,,,1,1,1,1,1
35441,1,"M1","FORD ESCORT LX DIESEL","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","NULL","1753",,1753,,,1,1,1,2,2
35467,1,"M1","FORD FIESTA EDGE","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","1242",,1242,,,1,1,1,1,1
35468,1,"M1","FORD FIESTA EDGE","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","1495","1242",1495,1242,,,1,1,1,1,1
35499,1,"M1","FORD FIESTA FREESTYLE","CARS","PETROL","2 AXLE RIGID BODY","3 Door Hatchback","0","1242",,1242,,,1,1,1,1,1
35514,1,"M1","FORD FIESTA LX","CARS","PETROL","2 AXLE RIGID BODY","3 Door Hatchback","0","1242",,1242,,,1,1,1,1,1
35525,1,"M1","FORD FIESTA LX AUTO","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","1596",,1596,,,1,1,1,1,2
35530,1,"M1","FORD FIESTA SILVER","CARS","PETROL","2 AXLE RIGID BODY","3 Door Hatchback","0","1242",,1242,,,1,1,1,1,1
35539,1,"M1","FORD FIESTA ST-2 TURBO","CARS","PETROL","2 AXLE RIGID BODY","3 Door Hatchback","1575","1596",1575,1596,,,1,1,1,1,2
35573,1,"M1","FORD FIESTA STYLE TDCI","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","0","1399",,1399,,,1,1,1,2,1
35621,1,"M1","FORD FIESTA TITANIUM X TDCI","CARS","DIESEL","2 AXLE RIGID BODY","3 Door Hatchback","1570","1560",1570,1560,,,1,1,1,2,2
35645,1,"M1","FORD FIESTA ZETEC","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","1495","1388",1495,1388,,,1,1,1,1,1
35646,1,"M1","FORD FIESTA ZETEC","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","1530","1242",1530,1242,,,1,1,1,1,1
35654,1,"M1","FORD FIESTA ZETEC 82","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","1242",,1242,,,1,1,1,1,1
35663,1,"M1","FORD FIESTA ZETEC AUTO","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","1388",,1388,,,1,1,1,1,1
35664,1,"M1","FORD FIESTA ZETEC AUTO","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","1530","1388",1530,1388,,,1,1,1,1,1
35672,1,"M1","FORD FIESTA ZETEC CLIMATE","CARS","PETROL","2 AXLE RIGID BODY","3 Door Hatchback","0","1242",,1242,,,1,1,1,1,1
35673,1,"M1","FORD FIESTA ZETEC CLIMATE","CARS","PETROL","2 AXLE RIGID BODY","3 Door Hatchback","0","1388",,1388,,,1,1,1,1,1
35682,1,"M1","FORD FIESTA ZETEC ECONETIC TDCI","CARS","DIESEL","2 AXLE RIGID BODY","3 Door Hatchback","1560","1560",1560,1560,,,1,1,1,2,2
35703,1,"M1","FORD FIESTA ZETEC TDCI","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","1575","1499",1575,1499,,,1,1,1,2,2
35707,1,"M1","FORD FIESTA ZETEC TURBO","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","1555","998",1555,998,,,1,1,1,1,1
35798,1,"M1","FORD FOCUS LX","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","1596",,1596,,,1,1,1,1,2
35838,1,"M1","FORD FOCUS SPORT TDCI","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","0","1753",,1753,,,1,1,1,2,2
35866,1,"M1","FORD FOCUS STYLE 100","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","1596",,1596,,,1,1,1,1,2
35909,1,"M1","FORD FOCUS TITANIUM TD 109","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","0","1560",,1560,,,1,1,1,2,2
35954,1,"M1","FORD FOCUS ZETEC","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","1596",,1596,,,1,1,1,1,2
35962,1,"M1","FORD FOCUS ZETEC","CARS","PETROL","2 AXLE RIGID BODY","Estate","1820","1596",1820,1596,,,1,1,1,1,2
35964,1,"M1","FORD FOCUS ZETEC 100","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","1596",,1596,,,1,1,1,1,2
35969,1,"M1","FORD FOCUS ZETEC 105","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","1825","1596",1825,1596,,,1,1,1,1,2
35970,1,"M1","FORD FOCUS ZETEC 105","CARS","PETROL","2 AXLE RIGID BODY","Estate","1825","1596",1825,1596,,,1,1,1,1,2
35991,1,"M1","FORD FOCUS ZETEC CLIMATE T","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","1596",,1596,,,1,1,1,1,2
35993,1,"M1","FORD FOCUS ZETEC CLIMATE TDCI","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","0","1753",,1753,,,1,1,1,2,2
36102,1,"N1 ii","FORD GALAXY TITANIUM X AUTO","CARS","PETROL","2 AXLE RIGID BODY","Multi Purpose Vehicle","0","1999",2600,1999,,1685,1,1,2,1,2
36186,1,"M1","FORD KUGA TITANIUM TDCI","CARS","DIESEL","2 AXLE RIGID BODY","Estate","0","1997",,1997,,,1,1,1,2,2
