Body,Body name,Service label,Service division label,Expenditure category,Detailed expenditure type,Detailed Expenditure Code,Date paid,Transaction Number,Net Amount,Capital or revenue,Supplier name
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,14-Jan-2011,1101-00001,870.83,R,A & A ELECTRICAL DISTRIBUTORS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,21-Jan-2011,1101-00002,850.80,R,A ANDREWS & SONS (MARBLES & TILES)
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Materials,205,28-Jan-2011,1101-00003,680.80,R,A ANDREWS & SONS (MARBLES & TILES)
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Streetscene Environmental Services,Supplies and Services,Other Hired And Contracted Services,265,14-Jan-2011,1101-00004,3536.00,R,A APPLEYARD
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,21-Jan-2011,1101-00005,1176.00,R,A BUSH (ENGINEERING SERVICES) LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,04-Jan-2011,1101-00006,685.70,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,04-Jan-2011,1101-00007,1259.90,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,04-Jan-2011,1101-00008,891.60,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,04-Jan-2011,1101-00009,434.95,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,04-Jan-2011,1101-00010,861.92,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,04-Jan-2011,1101-00011,567.40,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,04-Jan-2011,1101-00012,1322.60,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,07-Jan-2011,1101-00013,821.51,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,07-Jan-2011,1101-00014,670.10,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,18-Jan-2011,1101-00015,1318.10,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,18-Jan-2011,1101-00016,945.40,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,18-Jan-2011,1101-00017,2149.03,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,24-Jan-2011,1101-00018,1733.65,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,24-Jan-2011,1101-00019,973.37,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,24-Jan-2011,1101-00020,848.95,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,24-Jan-2011,1101-00021,444.75,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,24-Jan-2011,1101-00022,622.06,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,24-Jan-2011,1101-00023,516.77,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,24-Jan-2011,1101-00024,1476.50,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,24-Jan-2011,1101-00025,2366.41,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,24-Jan-2011,1101-00026,487.97,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,24-Jan-2011,1101-00027,2101.29,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Employees,Temporary Staff-Basic,009,24-Jan-2011,1101-00028,920.00,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Employees,Temporary Staff-Basic,009,24-Jan-2011,1101-00029,920.00,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Employees,Temporary Staff-Basic,009,24-Jan-2011,1101-00030,920.00,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,31-Jan-2011,1101-00031,565.00,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,31-Jan-2011,1101-00032,432.40,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Hired And Contracted Services,265,31-Jan-2011,1101-00033,561.00,R,A D Simpson Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Early Years Service,Third Party Payments,Services Rendered By Voluntary Sector,505,07-Jan-2011,1101-00034,13051.13,R,A E SPEIGHT
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Highways,Supplies and Services,Other Hired And Contracted Services,265,28-Jan-2011,1101-00035,732.42,R,A E YATES LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Highways,Supplies and Services,Other Hired And Contracted Services,265,28-Jan-2011,1101-00036,2054.42,R,A E YATES LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Highways,Supplies and Services,Other Hired And Contracted Services,265,28-Jan-2011,1101-00037,883.84,R,A E YATES LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Director Of Childrens Services,Supplies and Services,Other Hired And Contracted Services,265,20-Jan-2011,1101-00038,2221.65,R,A J  Bailey
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,21-Jan-2011,1101-00039,11979.24,R,A J H  Pump Supply & Repair Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Libraries Arts & Heritage,Supplies and Services,Publication And Promotion,267,04-Jan-2011,1101-00040,600.00,R,A J PARASKOS
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Other Hired And Contracted Services,265,20-Jan-2011,1101-00041,560.00,R,A Y CREATIVE SERVICES
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Housing Needs,Transport,Public Transport Expenses,310,28-Jan-2011,1101-00042,2175.00,R,A ZOOM TAXIS
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Economic Development,Supplies and Services,Other Hired And Contracted Services,265,13-Jan-2011,1101-00043,946.00,R,AA Media Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential Care Emi,571,19-Jan-2011,1101-00044,1189.60,R,ABBEY LEA RESIDENTIAL CARE HOME
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Residential,580,19-Jan-2011,1101-00045,1174.20,R,Abbeydale Care Home
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Early Years Service,Third Party Payments,Services Rendered By Other Organisations,511,06-Jan-2011,1101-00046,3091.06,R,ABC DAYCARE
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Early Years Service,Third Party Payments,Services Rendered By Other Organisations,511,07-Jan-2011,1101-00047,4808.31,R,ABC NURSERY AT LUFC
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Economic Development,Supplies and Services,Other Hired And Contracted Services,265,24-Jan-2011,1101-00048,3466.74,R,ABDN
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Regeneration,Supplies and Services,'Well Being' Large Grants Projects,230,12-Jan-2011,1101-00049,2500.00,R,Aberford Parish Plan
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,04-Jan-2011,1101-00050,4500.00,C,ABLE BATHING & BUILDING CONTRACTORS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,07-Jan-2011,1101-00051,4400.00,C,ABLE BATHING & BUILDING CONTRACTORS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,07-Jan-2011,1101-00052,2650.00,C,ABLE BATHING & BUILDING CONTRACTORS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,07-Jan-2011,1101-00053,2940.00,C,ABLE BATHING & BUILDING CONTRACTORS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,07-Jan-2011,1101-00054,4400.00,C,ABLE BATHING & BUILDING CONTRACTORS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,07-Jan-2011,1101-00055,4400.00,C,ABLE BATHING & BUILDING CONTRACTORS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,07-Jan-2011,1101-00056,4970.00,C,ABLE BATHING & BUILDING CONTRACTORS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,07-Jan-2011,1101-00057,4400.00,C,ABLE BATHING & BUILDING CONTRACTORS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,07-Jan-2011,1101-00058,4400.00,C,ABLE BATHING & BUILDING CONTRACTORS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,18-Jan-2011,1101-00059,1500.00,C,ABLE BATHING & BUILDING CONTRACTORS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,18-Jan-2011,1101-00060,4510.00,C,ABLE BATHING & BUILDING CONTRACTORS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,31-Jan-2011,1101-00061,4400.00,C,ABLE BATHING & BUILDING CONTRACTORS LTD
