OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,AI235442898870,Forestry work on various allotment sites,Environment & Housing,265 - Other Hired And Contracted Services,,12-Jun-17,,,,,"�15,770.00",,Aire Valley Tree Services Ltd,,,c) Small,Maxine Sutcliffe,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,ZZ48544291426JUN-23JUL,Residential Care,Adults and Health,580 - Residential,,28-Jun-17,,,,,"�8,909.53",,ANCHOR TRUST,,,e) Large,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,BA02204290513301,Install & remove 68 lamppost banners for the Leeds Triathlon,City Development,267 - Publication And Promotion,,19-Jun-17,,,,,"�7,412.00",,Bay Media Ltd,,,c) Small,Steven Baker,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,BS02944291694772335,Membership Subscription to BFI,Communities and Environment,226 - Memberships,,30-Jun-17,,,,,"�6,018.00",,BSI Standards Limited,,,e) Large,Katrina Pickering,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,BU3767428945546,"Extra Questionnaires, Bespoke reporting of data by district, 2017/18 Membership of the NHT CQC Efficiency Network,  and NHT Public Satisfaction Survey ",City Development,265 - Other Hired And Contracted Services,,08-Jun-17,,,,,"�14,595.00",,BUILDING SOFTWARE LIMITED,,,b) Micro,Richard Tinker,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,ZZ33354291426JUN-23JUL,Residential Care,Adults and Health,570 - Nursing Home,,28-Jun-17,,,,,"�35,812.63",,Burley House - Embracing Independent,,,Other/Not known,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,CA28044290100101/LCC,Consultancy Support for Regional Moderation & Assurance of BCF Fund Plans,Adults and Health,259 - Consultancy Services,,15-Jun-17,,,,,"�5,240.25",,Campbell Charles Partnership Ltd,,,Other/Not known,Gillian Bell,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,CA2142429006077034355,Managed ICT Solution for 17/18 01/04/17 - 31/03/18,Children and Families,214 - Computer Software & Equipment,,14-Jun-17,,,,,"�11,987.78",,Capita Managed It Solutions Ltd,,,e) Large,Nabila Morris,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,CA0024428884819,Home Care,Adults and Health,568 - Home Care,,02-Jun-17,,,,,"�5,043.50",,Care Unique Limited,,,b) Micro,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,MA578442901140144,Door Access Systems,Environment & Housing,265 - Other Hired And Contracted Services,,15-Jun-17,,,,,"�10,184.47",,Careline Security Ltd,,,d) Medium,Phil Rigby,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,CA569642915E22/052017,Home Care,Adults and Health,568 - Home Care,,29-Jun-17,,,,,"�62,116.40",,CAREMARK (LEEDS),,,b) Micro,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,ZZ33494291426JUN-23JUL,Residential Care,Adults and Health,570 - Nursing Home,,28-Jun-17,,,,,"�8,381.16",,Castle Rise Care Home,,,Other/Not known,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,ZZ33534291426JUN-23JUL,Residential Care,Adults and Health,570 - Nursing Home,,28-Jun-17,,,,,"�8,480.00",,Cherington,,,Other/Not known,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,CL00364290831570,Remaining balance for design and manufacture of exhibit case for Life On Earth Gallery and Display cases for Kirkstall Abbey Visitor Centre as discussed with Katherine Baxter (balance of payment),City Development,203 - Operational Furniture And Equipment,,22-Jun-17,,,,,"�23,089.69",,Click Netherfield Limited,,,d) Medium,Edwige Moutault,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,CO14044291350406558,Joint Service Centre ,Civic Enterprise Leeds,142 - National Non-Domestic Rates,,27-Jun-17,,,,,"�17,164.29",,Community Health Partnerships,,,Other/Not known,Carl Sawyer,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,CO165442895106809,Home Care,Adults and Health,568 - Home Care,,09-Jun-17,,,,,"�16,651.16",,COMPLETE CARE AGENCY,,,b) Micro,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,CR0271428930000263838,Extra care provision at Hampton Crescent,Adults and Health,561 - Payments To Voluntary Organisations,,07-Jun-17,,,,,"�20,818.33",,Creative Support Ltd,,,e) Large,David Peel,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,CR083142913I0120617,Specialist consultacy on Air Quality on Public Health,City Development,N/A,,27-Jun-17,,,,,"�6,250.00",,CrispAir,,,Other/Not known,Kate Kearns,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,CR064942915340040-007267,Storage and Return of Leeds Gallery Art Works,City Development,277 - Bought In Professional Services,,29-Jun-17,,,,,"�5,461.25",,Crown Fine Art,,,Other/Not known,Yvonne hardman,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,CO038142913721,Compact Grade Laminate Cubicles,Environment & Housing,265 - Other Hired And Contracted Services,,27-Jun-17,,,,,"�6,175.00",,Db Contracting Services Ltd,,,b) Micro,Mandy Grace,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,DC027042914024,Theming works on parks attractions,Communities and Environment,N/A,,28-Jun-17,,,,,"�18,500.00",,DCR Theming Limited,,,Other/Not known,Maria Akers,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,DE10504290054043801,Residential care Placement cost at Dene Court Exeter,Adults and Health,580 - Residential,,14-Jun-17,,,,,"�8,404.28",,DEVON COUNTY COUNCIL,,,Other/Not known,Brian Ratner,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,PR04304290917055202,ProPrint Academy Class G; ProPrint EDO Email / Fax option Class G,Communities and Environment,214 - Computer Software & Equipment,,23-Jun-17,,,,,"�6,314.00",,Document Output Solutions Uk Limited,,,Other/Not known,Deborah Russell,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,DO32084291619107,Vanity Unit,Environment & Housing,205 - Operational Materials,,30-Jun-17,,,,,"�7,516.88",,DOORS CUBICLES AND BOARDS (LEEDS) LTD,,,d) Medium,Mandy Grace,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,DU0559429095029,For the construction of 6 non turf cricket pitches and 7 year maintenance schedule,Communities and Environment,N/A,,23-Jun-17,,,,,"�49,830.00",,DURA-SPORT LTD,,,c) Small,Michael Kinnaird,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Jul-17,FO0261428878794,Platform Lift,Environment & Housing,265 - Other Hired And Contracted Services,,01-Jun-17,,,,,"�19,845.00",,E A Foulds Limited,,,c) Small,Mandy Grace,Quotes
