Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/09/2016,AON45332,,Building Maintenance & Works Framework,,GENERIC,,,Building Maintenance & Works Framework,FM-BUILDING MAINTENANCE,,,,,01/02/2015,31/01/2017,,31/01/2019,,Estimated,,1-2 CALL DRAINAGE & GROUNDWORK LTD,,,1529798,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/09/2016,AXN49202,,Venue Hire And Any Associated Catering,,GENERIC,,,Venue Hire And Any Associated Catering,"VENUE HIRE, BUFFETS & EVENT CATERING",,,,,02/06/2016,,,,,Estimated,,12TH KINGS LYNN SCOUT GROUP,,,1030790,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/09/2016,ALN45450A,,Recycling Credits,,ETD,,,Recycling Credits,WASTE-RECYCLING CREDITS,,,,,01/03/2015,31/03/2016,,,150000,Estimated,,1ST DERSINGHAM SCOUT & GUIDE GROUPS,,,80240,,YES,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/09/2016,AXN41218,,Shop Consumables,,COMMUNITY SERVICES,,,Shop Consumables,RETAIL-GOODS FOR RESALE,,,,,01/04/2013,30/09/2016,,,50000,Estimated,,3D DISPLAYS LIMITED,,,65570,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/09/2016,BON44787,,Cf0443 4Children Lots 31 & 32 Children's Centres,,CHILDREN,,,Cf0443 4Children Lots 31 & 32 Children's Centres,CHILDREN'S-CHILDREN'S CENTRES,,,,,01/10/2012,31/03/2019,,31/03/2019,3458144,Estimated,,4CHILDREN (TRADING) LIMITED,gb/02433565,,80253,,YES,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/09/2016,AXN42087,,Promotional Goods,,COMMUNITY SERVICES,,,Promotional Goods,"COMMUNICATIONS-DESIGN, PRINT, ETC",,,,,01/09/2013,01/09/2017,,,50000,Estimated,,4IMPRINT DIRECT LIMITED,,,117425,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/09/2016,APN49787,,Unexploded Ordnance Surveys At Rackheath For The Northern Distributor Road,,ETD,,,Unexploded Ordnance Surveys At Rackheath For The Northern Distributor Road,HIGHWAYS-PROFESSIONAL SERVICES,,,,,27/08/2015,12/04/2018,,12/04/2018,120165,Estimated,,6 ALPHA ASSOCIATES LTD,,,1530793,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/09/2016,APN48402,,Unexploded Ordnance Surveys Near The Airport Etc-For The Northern Distributor Road,,ETD,,,Unexploded Ordnance Surveys Near The Airport Etc-For The Northern Distributor Road,HIGHWAYS-PROFESSIONAL SERVICES,,,,,27/08/2015,12/04/2018,,12/04/2018,161111,Estimated,,6 ALPHA ASSOCIATES LTD,,,1530793,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/09/2016,AUN44682,,Radio Advertising,,RESOURCES,,,Radio Advertising,ADVERTISING,,,,,01/04/2014,01/04/2018,,01/04/2018,50000,Estimated,,99.9 RADIO NORWICH LIMITED,5234082,,123780,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/09/2016,BAN10454,,Care Home And Care Homes With Nursing For Adults April 2012,,COMMUNITY SERVICES,,,Care Home And Care Homes With Nursing For Adults April 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,01/04/2012,,,,0,Estimated,,"A, S & C CROPLEY T/A POINT HOUSE",,,78561,,,,Procurement Part B Team,partb@norfolk.gov.uk,
