OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/06/2016,AA0585424899706,Decorating,CENTRAL & CORPORATE,,,29/04/2016,,,,," 6,847.00 ",,"AALCO LEEDS, C/O The Credit Centre Nautica, Navigation Park Water Meeting Road, BOLTON, LS11 8JQ",,Other/Not known,,Mandy Grace,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/06/2016,AA2445424858661-9485,Assistive Technology - Stairclimbers,LEEDS COMMUNITY EQUIP STORE POOLED BUDGT,,,25/04/2016,,,,," 20,300.00 ",,"AAT (GB) LTD, Community Enterprise Centre, Office 3 Well Street, CEFN MAWR, WREXHAM, LL14 3YD",,d) Medium,,Bethany Perrier,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/06/2016,AC400542489143094,Fencing Works,ENVIRONMENT & HOUSING,,,29/04/2016,,,,," 17,707.00 ",,"ACE ENGINEERS (MORLEY) LTD, Low Moor Mills, Albert Road, MORLEY  LEEDS, LS27 8LD",,c) Small,,Sarah Spencer,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/06/2016,AN251642473LDS_02A,SEN Consultancy,CHILDRENS SERVICES,,,13/04/2016,,,,," 5,400.00 ",,"ANNE SCARBOROUGH, 4 James Street, Oakworth, KEIGHLEY, BD22 7PE",,Other/Not Known,,Carol Nightingale,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/06/2016,AP036142466176152,Supply of Vehicle,CHILDRENS SERVICES,,,06/04/2016,,,,," 11,444.00 ",,"APRITE (GB) LIMITED T/A WEST WAY NISSAN., 127 Chester Road, Streetly, BIRMINGHAM, B74 2HE",,Other/Not Known,,Tracey Richardson,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/06/2016,AS093342481543829,Waste Disposal,ENVIRONMENT & HOUSING,,,21/04/2016,,,,," 42,160.21 ",,"ASSOCIATED WASTE MANAGEMENT LIMITED, St Bernards Mill Gelderd Road, Gildersome Morley, LEEDS, LS27 7NA",,d) Medium,,Chloe Ashworth,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/06/2016,AS380042488SLINV/00001517,Horticultural Training,ENVIRONMENT & HOUSING,,,28/04/2016,,,,," 12,587.50 ",,"ASKHAM BRYAN COLLEGE, Askham Bryan, NULL, YORK, YO23 3FR",,Other/Not known,,Charlie Staniforth,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/06/2016,AU015742479150180052,Supply of Coffee Machine,ENVIRONMENT & HOUSING,,,19/04/2016,,,,," 7,500.00 ",,"PELICAN ROUGE COFFEE SOLUTIONS LTD, Apollo House Odyssey Business Park, West End Road, RUISLIP, HA4 6QD",,d) Medium,,Melanie Flesher,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/06/2016,BA1092424717357,Engineering Works,CENTRAL & CORPORATE,,,11/04/2016,,,,," 55,517.00 ",,"F. BAMFORD (ENGINEERING) LTD, Ajax Works, Whitehill, STOCKPORT, SK4 1NT",,c) Small,,Mandy Grace,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/06/2016,BA1349424732379,PEP Housing Worker,STRATEGIC LANDLORD,,,13/04/2016,,,,," 17,142.55 ",,"BARCA - LEEDS, 259 Upper Town Street, Bramley, LEEDS, LS13 3JT",,c) Small,,Gurmeet Virdi,Waiver
