Organisation Name (A),Dept (B),Service Cat Label (C),Purpose of Spend (D),Expenditure CIPFA Sub Group Label (E),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Human Resources,Supplies and Services,Seminars etc All Costs,46,10 EIGHTY LIMITED,A0090349, 02/06/2016,PER0271676,150,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,A & M TODD & SON LIMITED,A0018148, 02/06/2016,EST0271659,1188,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,A BINNS & CO,A0057121, 09/06/2016,PCO0271811,740,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,A BINNS & CO,A0057121, 09/06/2016,PCO0271811,750,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,A BINNS & CO,A0057121, 09/06/2016,PCO0271811,1000,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Capital Costs,Capital : Legal Fees,CD,A2A COURIERS NORTH WEST LIMITED,A0090436, 02/06/2016,DAL0271706,120,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,ACCESS & SURVEILLANCE BY BLAKEYS LTD,A0012870, 23/06/2016,COR0272383,587.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,44,ACS LTD,A0090312, 09/06/2016,AAS0271858,950,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,23,AGE UK LANCASHIRE,A0089644, 23/06/2016,AAS0272166,27.83,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Supplies and Services,Seminars etc All Costs,46,AGORA PUBLICATIONS LTD,A0051850, 09/06/2016,PER0271875,84.78,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Supplies and Services,Seminars etc All Costs,46,AGORA PUBLICATIONS LTD,A0051850, 09/06/2016,PER0271876,84.78,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ALD AUTOMOTIVES,A0025555, 24/06/2016,AAS0272732,10,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ALD AUTOMOTIVES,A0025555, 24/06/2016,AAS0272733,244.87,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,44,ALLPAY LIMITED,A0084372, 09/06/2016,AAS0271865,21.21,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,44,ALLPAY LIMITED,A0084372, 09/06/2016,AAS0271868,23.37,N,N/A,N,N/A
