year,type,area,surname,forename,partyname,votes,SpoiltPapers,elected,electorate
2012,LOCAL,KILLINGBECK AND SEACROFT,CHAPMAN,Harriet,Liberal Democrats,223,,,16905
2012,LOCAL,KILLINGBECK AND SEACROFT,HAYES,Elizabeth Mary,Conservative Party [The],439,,,16905
2012,LOCAL,KILLINGBECK AND SEACROFT,HYDE,Graham,Labour Party [The],3240,,ELECTED,16905
2012,LOCAL,KILLINGBECK AND SEACROFT,KELLY,Sam,English Democrats Party,487,,,16905
2012,LOCAL,ROTHWELL,ALLEN,Bernie,English Democrats Party,120,,,15839
2012,LOCAL,ROTHWELL,DANIEL,David,United Kingdom Independence Party,366,,,15839
2012,LOCAL,MORLEY SOUTH,BEVERLEY,Chris,English Democrats Party,811,,,16825
2012,LOCAL,MORLEY SOUTH,ELLIOTT,Judith Mary,Morley Borough Independents,2690,,ELECTED,16825
2012,LOCAL,MORLEY SOUTH,MCKEE,John Vincent,Conservative Party [The],376,,,16825
2012,LOCAL,MORLEY SOUTH,ROSE,Kathryn,Labour Party [The],1507,,,16825
2012,LOCAL,CITY AND HUNSLET,AZIZ,Jahangir,Liberal Democrats,357,,,21340
2012,LOCAL,CITY AND HUNSLET,NASH,Elizabeth Anne,Labour Party [The],2402,,ELECTED,21340
2012,LOCAL,CITY AND HUNSLET,SEEPUJAK,Neil Amal,Green Party [The],331,,,21340
2012,LOCAL,CITY AND HUNSLET,WHARTON,Matthew Peter,Conservative Party [The],473,,,21340
2012,LOCAL,BEESTON AND HOLBECK,GABRIEL,Angela,Labour Party [The],2389,,ELECTED,15548
2012,LOCAL,BEESTON AND HOLBECK,GIBSON,Ian,English Democrats Party,298,,,15548
2012,LOCAL,BEESTON AND HOLBECK,LAING,Rory,Liberal Democrats,113,,,15548
2012,LOCAL,BEESTON AND HOLBECK,SMITH,David Michael,Green Party [The],256,,,15548
2012,LOCAL,BEESTON AND HOLBECK,WINFIELD,Robert James William,Conservative Party [The],443,,,15548
2012,LOCAL,BEESTON AND HOLBECK,WOODHOUSE,Wilfred,United Kingdom Independence Party,349,,,15548
2012,LOCAL,HORSFORTH,BINNS,Andrea Kay,Green Party [The],317,,,17124
2012,LOCAL,HORSFORTH,HARDCASTLE,Richard,Conservative Party [The],1725,,,17124
