ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,year,type,area,Surname,Forename,Description,Votes,Elected,Electorate
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Adel and Wharfedale,Anderson,Caroline Helen,The Conservative Party Candidate,5534,Elected,15957
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Adel and Wharfedale,Carter,Emma Louise,Green Party,693,,15957
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Adel and Wharfedale,Henley,Mark,Labour Party,2236,,15957
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Adel and Wharfedale,Kebede,Cheryl Lee,Liberal Democrats,2611,,15957
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Adel and Wharfedale,Steele,Malcolm,UK Independence Party (UKIP),929,,15957
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Alwoodley,Cohen,Dan,The Conservative Party Candidate,6472,Elected,17897
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Alwoodley,Dowling,Simon,Liberal Democrats,698,,17897
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Alwoodley,Jackson,Brian,Alliance for Green Socialism - Save NHS,97,,17897
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Alwoodley,McGuire,Carl Peter,UK Independence Party (UKIP),943,,17897
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Alwoodley,Moss,Miriam Leontine,Green Party,471,,17897
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Alwoodley,White,Keith Michael,Labour Party,3907,,17897
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Ardsley and Robin Hood,Atkin,Timothy Adam,The Conservative Party Candidate,3582,,17476
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Ardsley and Robin Hood,Bishop-Rowe,Victoria,Liberal Democrats,373,,17476
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Ardsley and Robin Hood,Daniel,David,UK Independence Party (UKIP),2238,,17476
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Ardsley and Robin Hood,Dunn,Jack,Labour Party,4301,Elected,17476
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Ardsley and Robin Hood,Omidiran,Jude,Green Party,399,,17476
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Armley,Caldwell,Dave,UK Independence Party (UKIP),2040,,17512
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Armley,Crawley,Nick,Green Party,1108,,17512
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Armley,Glover,Christine Amy,Liberal Democrats,381,,17512
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Armley,McKenna,Jim,Labour Party,4612,Elected,17512
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Armley,Morgan,Shane Gary,The Conservative Party Candidate,1314,,17512
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Armley,O'Keefe,Carole,Trade Unionist and Socialist Coalition,103,,17512
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Beeston and Holbeck,Cousens,Amy Beth,Trade Unionist and Socialist Coalition,119,,15216
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Beeston and Holbeck,Gagen,Kathryn Elizabeth,Liberal Democrats,200,,15216
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Beeston and Holbeck,Jaynes,Emma Alicia,Green Party,480,,15216
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Beeston and Holbeck,Ogilvie,Adam,Labour Party,4335,Elected,15216
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Beeston and Holbeck,Roberts,Tony,UK Independence Party (UKIP),1876,,15216
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Beeston and Holbeck,Winfield,Robert James William,The Conservative Party Candidate,1158,,15216
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Bramley and Stanningley,Bisson,Kate,Green Party,791,,16264
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Bramley and Stanningley,Glover,Serena Samantha,Liberal Democrats,389,,16264
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Bramley and Stanningley,Heselwood,Julie Caroline,Labour Party,4267,Elected,16264
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Bramley and Stanningley,Murgatroyd,Anne,UK Independence Party (UKIP),2103,,16264
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Bramley and Stanningley,Nancolas,Alexander Sebastian,The Conservative Party Candidate,1708,,16264
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Bramley and Stanningley,Pattison,Kevin Michael,Trade Unionist and Socialist Coalition,60,,16264
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Burmantofts and Richmond Hill,Ellis,James,Trade Unionist and Socialist Coalition,150,,15417
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Burmantofts and Richmond Hill,Hollingsworth,David Ewan,Liberal Democrats,737,,15417
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Burmantofts and Richmond Hill,Holloran,Geoff,UK Independence Party (UKIP),1622,,15417
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Burmantofts and Richmond Hill,Khan,Asghar,Labour Party,4222,Elected,15417
