establishmentname,establishmentaddressline1,establishmentaddressline2,establishmentaddressline3,establishmentaddressline4,postcode,rating,latitude,longitude,inspectiondate
Heyn Group,,,1 Corry Place,Belfast,BT3 9AH,5,375525,334581,23/08/2012
Rosemary Lunch Club,Rosemary Presbyterian Church,,26-36 North Circular Road,Belfast,BT15 5HD,5,378213,332938,21/10/2014
John Ross & Co Auctioneers,,,37 Montgomery Street,Belfast,BT1 4NX,4,373992,334055,19/03/2015
The Maverick/Boom Box,,,108 Donegall Street,Belfast,BT1 2GX,5,374852,333733,11/03/2014
Maverick,,,1 Union Street,,BT1 2JF,4,378435,281262,13/02/2014
Windsor Recreation & Social Cl,1,,2A Edinburgh Street,Belfast,BT9 7DS,4,372319,332725,29/05/2013
The Chester Inn,Chester Inn,,466 Antrim Road,Belfast,BT15 5GE,4,377498,333122,03/10/2014
The Sportsman,,,473-475 Crumlin Road,Belfast,BT14 7GA,5,,,03/04/2013
City Hibernians Club,,,31A Little Donegall Street,Belfast,BT1 2JD,4,374796,333710,13/06/2014
Forthriver Bowling & Tennis Club,Forthriver Bowling & Tennis Cl,,104A Woodvale Road,Belfast,BT13 3BU,5,375458,331603,09/12/2012
Shawsbridge Sports Association,,,123 Milltown Road,Belfast,BT8 7XP,,368982,332906,04/01/2015
Muriels Cafe Bar,,,12 Church Lane,Belfast,BT1 4QN,5,374409,334127,02/11/2015
MCGLONES,,,131-133 Kingsway,Belfast,BT17 9NS,4,368909,329347,16/01/2015
The Corner House,Henry Joy's Pub,,167-177 Oldpark Road,Belfast,BT14 6QP,2,375908,332609,22/10/2014
Ewarts Bowling Club,,,17 Somerdale Park,Belfast,BT14 7HD,4,376075,331117,17/07/2014
Ligoniel Working Mens Club,Ligoniel Working Mens Club,,186A Ligoniel Road,Belfast,BT14 8DT,3,377353,330052,06/08/2015
DUNMURRY INN,,Dunmurry,195 Kingsway,,BT17 9SB,5,368772,329090,13/01/2015
McEnaney's,,,1 Glen Road,Belfast,BT11 8BA,5,372542,330709,16/12/2014
LAUREL GLEN,"Licensed House, Laurel Glen Shopping Centre",,208 Stewartstown Road,Belfast,BT17 0AH,4,369776,327987,08/02/2012
Linfield Football Club - Temporary Clubhouse,,,235 Donegall Avenue,Belfast,BT12 6LU,5,372461,332365,25/10/2014
DUNMURRY RECREATION & FOOTBALL CLUB,,Dunmurry,23 Ashley Park,,BT17 9EH,5,368691,328686,10/08/2012
McKennas,,,25-29 Garmoyle Street,Belfast,BT15 1DY,5,375372,334407,19/02/2015
Ardoyne Working Mens Club,,,26 Elmfield Street,Belfast,BT14 7FG,3,375863,331737,18/11/2015
The Stadium Bar,,,346-348 Shankill Road,Belfast,BT13 3AB,5,374844,332057,20/11/2014
Ollies,,,35-39 Waring Street,Belfast,BT1 2DY,4,374524,334098,07/03/2012
The Harp Bar,,,35 Hill Street,Belfast,BT1 2LB,5,374619,334013,21/11/2013
