Organisation Name (A),Department (B),Service Cat Label (C ),Purpose of Spend (D),Expenditure CIPFA Sub Group (E ),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,A  ROLLINSON & SON (BUILDERS) LTD,A0002297, 16/03/2017,HMR0278541,14553.73,N,N/A,N,2425.62
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,A BINNS & CO,A0057121, 29/03/2017,PCO0278991,200,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,A BINNS & CO,A0057121, 29/03/2017,PCO0278991,320,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,A BINNS & CO,A0057121, 29/03/2017,PCO0278897,160,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,A BINNS & CO,A0057121, 29/03/2017,PCO0278897,460,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,A BINNS & CO,A0057121, 29/03/2017,PCO0278991,500,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,A BINNS & CO,A0057121, 29/03/2017,PCO0278991,390,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,,Tax Deducted,PD05,A BINNS & CO,A0057121, 02/03/2017,PCO0278371,640,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Indirect Employee Expenses,Emp : Medical Expenses,1236,ACB COUNCELLING SERVICES,A0091135, 29/03/2017,PER0278987,240,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ALD AUTOMOTIVES,A0025555, 24/03/2017,AAS0278926,244.87,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,ALERT FIRE AND SECURITY LIMITED,A0052065, 23/03/2017,EST0278843,195.53,N,N/A,N,N/A
