ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,10/02/2017,NEIGHBOURHOODS AND ENVIRONMENT,10TH ROCHDALE SCOUT GROUP,10/02/2017,770.00 ,ACTIVITIES,V001094610
ROCHDALE BOROUGH COUNCIL,07/02/2017,PROPERTY AND HIGHWAYS,7 PDS,07/02/2017,1150.00 ,TRANSACTIONS-EXPENDITURE,V001089045
ROCHDALE BOROUGH COUNCIL,08/02/2017,PHYSICAL DIS & OLDER PEOPLE,A1 PLUMBING  AND HEATING,08/02/2017,1565.00 ,MINOR BUILDING WORKS,V001092661
ROCHDALE BOROUGH COUNCIL,08/02/2017,PHYSICAL DIS & OLDER PEOPLE,A1 PLUMBING  AND HEATING,08/02/2017,3135.00 ,MINOR BUILDING WORKS,V001092661
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,ABBEYWOOD TOTTINGTON LIMITED,03/02/2017,629.56 ,RESIDENTIAL LONG TERM,V001091475
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,ABBEYWOOD TOTTINGTON LIMITED,17/02/2017,629.56 ,RESIDENTIAL LONG TERM,V001096559
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,ABBOTSFORD CARE LTD,03/02/2017,504.64 ,RESIDENTIAL LONG TERM,V001090969
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,ABBOTSFORD CARE LTD,03/02/2017,504.64 ,RESIDENTIAL LONG TERM,V001090970
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,ABBOTSFORD CARE LTD,03/02/2017,504.64 ,RESIDENTIAL LONG TERM,V001090971
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,ABBOTSFORD CARE LTD,03/02/2017,504.64 ,RESIDENTIAL LONG TERM,V001090972
