Organisation Name,Dept,Service Cat Label,Expenditure CIPFA Sub Group Label,Purpose of Spend,Supplier,Supplier Reference,Pay Date,Net Amount,Transaction Number,Grant to VCSE?,Charity Number,Card Transaction,Irrecoverable VAT
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3204,Tyres,ATS EUROMASTER LTD,A0000009, 22/10/2015,�33.66,PCO0265726,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3204,Tyres,ATS EUROMASTER LTD,A0000009, 22/10/2015,�121.60,PCO0265726,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,4705,Other Expenses,APSE,A0000021, 08/10/2015,�40.00,PCO0265369,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 29/10/2015,�13.20,PCO0265872,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 29/10/2015,�44.12,PCO0265872,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 29/10/2015,�162.00,PCO0265872,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 22/10/2015,�33.63,PCO0265728,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 22/10/2015,�33.63,PCO0265728,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,BARNES JB LIMITED,A0000202, 29/10/2015,�7.16,PCO0265877,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,BARNES JB LIMITED,A0000202, 08/10/2015,�30.88,PCO0265374,No,N/A,N,N/A
