DEPARTMENT,ENTITY,DATE PAID,EXPENSE TYPE,EXPENSE AREA,SUPPLIER NAME,TRANSACTION NUMBER,AMOUNT
Department of Health,Whittington NHS Trust,01/07/2014,Electricity,Environment,Edf Energy,654910,-93456.47
Department of Health,Whittington NHS Trust,01/07/2014,Electricity,Environment,Edf Energy,654910,-2529.1
Department of Health,Whittington NHS Trust,01/07/2014,Electricity,Environment,Edf Energy,654910,-88.91
Department of Health,Whittington NHS Trust,01/07/2014,Electricity,Environment,Edf Energy,654885,93451.57
Department of Health,Whittington NHS Trust,01/07/2014,Electricity,Environment,Edf Energy,654885,2528.98
Department of Health,Whittington NHS Trust,01/07/2014,Electricity,Environment,Edf Energy,654885,88.91
Department of Health,Whittington NHS Trust,01/07/2014,Electricity,Environment,Edf Energy,654900,93456.47
Department of Health,Whittington NHS Trust,01/07/2014,Electricity,Environment,Edf Energy,654900,2529.1
Department of Health,Whittington NHS Trust,01/07/2014,Electricity,Environment,Edf Energy,654900,88.91
Department of Health,Whittington NHS Trust,01/07/2014,Hardware Purchases,Technical Services,Insight Direct (Uk) Ltd,651443,46790.34
Department of Health,Whittington NHS Trust,01/07/2014,Rates-General,Trust Headquarters -Goswell Rd,London Borough Of Islington,653168,25602
Department of Health,Whittington NHS Trust,01/07/2014,Rates-General,Estates Management,London Borough Of Islington,653165,108934
Department of Health,Whittington NHS Trust,01/07/2014,Rents,Estates Management,Metrus Property Advisors Ltd,649963,61096
Department of Health,Whittington NHS Trust,01/07/2014,Blood Transfusion Service,Blood Recharge,Nhs Blood And Transplant,647667,100448.25
Department of Health,Whittington NHS Trust,01/07/2014,Patients Clothing,Bladder & Bowel,Sca Hygiene Products Uk Ltd,649787,30000
Department of Health,Whittington NHS Trust,01/07/2014,Stock-Pharmacy,Balance Sheet,The Royal Free London Nhs Ft,654519,54549.17
Department of Health,Whittington NHS Trust,03/07/2014,Laundry Service,Laundry,Berendsen Uk Ltd,650760,53753.37
Department of Health,Whittington NHS Trust,03/07/2014,External Contract Estates/Facilities,Generic Workers,Buzz Housekeeping Services,651745,21786.57
