Publisher Label,Publisher URI,Organisationname,OrganisationCode,Effectivedate,ContractReferencenumber,OpenContractingID,TitleoftheAgreement,Contracttype,Serviceresponsible,ServiceCategorylabel,ServicecategoryURI,Descriptionofgoodsandservices,Procurementclassification,CPVlabel,CPVcode,Proclasslabel,Proclasscode,Contractstartdate,Enddate,Reviewdate,Lastextensiondate,Contractvalue,Fixedorestimatedcost,IrrecoverableVAT,SupplierName,Supplierregisteredcompanynumber,Supplierregisteredcharitynumber,OthersupplierID,SMEsupplier,VCSEsupplier,VCSEsuppliertype,Nominatedcontactpointname,Nominatedcontactpointemail,NominatedcontactpointURL
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Feb 2018,124,,Agricultural technical report,,Planning & Sustainability,,,Agricultural technical report,,,01/05/2017,30/04/2020,01/09/2019,,"�18,000.00",,,,,,RSK ADAS ltd,,,,,,,,Alastair.Nicholson@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Feb 2018,126,,Agricultural Technical Reports,,Planning & Sustainability,,,Agricultural Technical Reports,,,01/05/2017,30/04/2020,01/08/2019,,"�18,000.00",,,,,,Wardell Armstrong LLP,,,,,,,,Alastair.Nicholson@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Feb 2018,127,,Agricultural technical reports,,Planning & Sustainability,,,Agricultural technical reports,,,01/05/2017,30/04/2020,01/08/2019,,"�18,000.00",,,,,,Acorus Rural Major Projects & Estates Services,,,,,,,,Alastair.Nicholson@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Feb 2018,125,,Agricultural Technical reports,,Planning & Sustainability,,,Agricultural Technical reports,,,01/05/2017,30/04/2020,01/09/2019,,"�18,000.00",,,,,,Bourne Rural Planning Consultancy Ltd,,,,,,,,Alastair.Nicholson@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Feb 2018,81,,Air Quality Equipment Maintenance,,Environment,,,Air Quality Equipment Maintenance,,,01/01/2018,31/12/2018,30/11/2018,,"�3,940.00",,,,,,ESU1,,,,,,,,julian.smith@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Feb 2018,61,,Alarm Maintenance at Saunderton Lodge,,"HR, ICT/CSC & SSS",,,Alarm Maintenance at Saunderton Lodge,,,22/12/2017,21/11/2018,31/10/2018,,�400.00,,,,,,Chubb Ltd,,,,,,,,Graham.Weston@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Feb 2018,33,,ANPR for car parks,,Environment,,,ANPR for car parks,,,26/02/2013,26/02/2018,,26/02/2020,"�335,000.00",,,,,,APT Control Ltd - Veri-Park,,,,,,,,Robin.Evans@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Feb 2018,52,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,01/11/2014,31/10/2018,01/07/2018,,"�400,000.00",,,,,,R Watts & Sons,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Feb 2018,49,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,01/11/2014,31/10/2018,01/07/2018,,"�400,000.00",,,,,,Gristwood & Toms Ltd,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Feb 2018,50,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,01/11/2014,31/10/2018,01/07/2018,,"�400,000.00",,,,,,High Elms Tree Surgery Ltd,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
