Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Seq No,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Thomson Classification,Thomson Desc.,Contract
,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,ALERT -IT CARE ALARMS,Redacted,,Not yet available,Not yet available,24/03/2017,23274819,1,1060.1,Nil,Adaptations,Revenue,Adult Services,CAT04,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,ALERT -IT CARE ALARMS,Redacted,,Not yet available,Not yet available,06/01/2017,23218074,1,735.54,Nil,Adaptations,Revenue,Adult Services,CAT04,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,,Not yet available,Not yet available,02/02/2017,23235739,1,850,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,,Not yet available,Not yet available,21/02/2017,23252649,1,530,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,,Not yet available,Not yet available,06/03/2017,23255484,1,770,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,,Not yet available,Not yet available,31/03/2017,23285230,1,715,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,,Not yet available,Not yet available,04/01/2017,23216318,1,555,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,,Not yet available,Not yet available,12/01/2017,23214886,1,650,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,,Not yet available,Not yet available,10/01/2017,23214867,1,650,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,,Not yet available,Not yet available,10/01/2017,23214880,1,580,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,,Not yet available,Not yet available,06/01/2017,23214810,1,750,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,,Not yet available,Not yet available,06/01/2017,23214883,1,640,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,,Not yet available,Not yet available,06/01/2017,23214884,1,500,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,CHILTERN INVADEX (UK) LTD,Redacted,474248,Not yet available,Not yet available,20/01/2017,23152951,1,905,Nil,Adaptations,Revenue,Adult Services,CAT04,Disability Equipment - Mnfrs & Suppliers,25800,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,CHILTERN INVADEX (UK) LTD,Redacted,474248,Not yet available,Not yet available,28/03/2017,23272497,1,735.3,Nil,Adaptations,Revenue,Adult Services,CAT04,Disability Equipment - Mnfrs & Suppliers,25800,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,CHILTERN INVADEX (UK) LTD,Redacted,474248,Not yet available,Not yet available,21/03/2017,23272277,1,715.31,Nil,Adaptations,Revenue,Adult Services,CAT04,Disability Equipment - Mnfrs & Suppliers,25800,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,CHILTERN INVADEX (UK) LTD,Redacted,474248,Not yet available,Not yet available,28/02/2017,23255433,1,726.8,Nil,Adaptations,Revenue,Adult Services,CAT04,Disability Equipment - Mnfrs & Suppliers,25800,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,95579,Not yet available,Not yet available,13/02/2017,23237691,1,784,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,95579,Not yet available,Not yet available,10/01/2017,23216608,1,1128.8,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,95579,Not yet available,Not yet available,20/02/2017,23249875,1,836,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,95579,Not yet available,Not yet available,10/02/2017,23237709,1,836.8,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,95579,Not yet available,Not yet available,09/03/2017,23264708,1,1102.84,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,95579,Not yet available,Not yet available,08/03/2017,23266937,1,819.2,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,95579,Not yet available,Not yet available,18/01/2017,23216602,1,803,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,95579,Not yet available,Not yet available,10/03/2017,23264331,1,895.8,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,95579,Not yet available,Not yet available,13/01/2017,23216611,1,863.8,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,,Not yet available,Not yet available,30/03/2017,23285019,1,580.5,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,,Not yet available,Not yet available,28/03/2017,23275449,1,655,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,,Not yet available,Not yet available,20/02/2017,23235880,1,2023.92,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,,Not yet available,Not yet available,01/03/2017,23254849,1,585,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
