ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,Election year,Election type,Ward name,Surname,Forename,Description,Votes,Elected,Electorate
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Elmet and Rothwell,BROOKS,Dave,Green Party,1261,,79143
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Elmet and Rothwell,GOLTON,Stewart,Liberal Democrats,2640,,79143
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Elmet and Rothwell,KING,Veronica Marie,Labour Party,19488,,79143
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Elmet and Rothwell,SHELBROOKE,Alec,The Conservative Party,27978,Elected,79143
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Elmet and Rothwell,SPIVEY,Paul,UK Independence Party (UKIP),6430,,79143
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds Central,BENN,Hilary James,Labour Party,24758,Elected,81799
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds Central,HAYTON,Michael,Green Party,3558,,81799
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds Central,KITCHING,Liz,Trade Unionist and Socialist Coalition,330,,81799
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds Central,SENIOR,Luke,UK Independence Party (UKIP),7082,,81799
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds Central,SPRIGGS,Emma Janet,Liberal Democrats,1529,,81799
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds Central,FARIS-WILSON,Nicola,The Conservative Party,7791,,81799
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds East,BISSON,Kate,Green Party,1117,,64754
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds East,BURGON,Richard,Labour Party,20530,Elected,64754
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds East,MANIATT,Mark Stephen,UK Independence Party (UKIP),7256,,64754
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds East,SANDERSON,Ed,Liberal Democrats,1296,,64754
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds East,STEPHENSON,Ryan,The Conservative Party,7997,,64754
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds North East,CARTER,Emma,Green Party,2541,,69097
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds North East,CHOUDHRY,Aqila,Liberal Democrats,2569,,69097
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds North East,FOOTE,Celia Elizabeth,Alliance for Green Socialism - Save NHS,451,,69097
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds North East,HAMILTON,Fabian,Labour Party,23137,Elected,69097
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds North East,HENDON,Warren,UK Independence Party (UKIP),3706,,69097
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds North East,WILSON,Simon,The Conservative Party,15887,,69097
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds North West,BUXTON,Bob,A Voice for the Region,143,,61974
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds North West,DAVIES,Mike,Alliance for Green Socialism - Save NHS,79,,61974
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds North West,FLANAGAN,Mark John,Demanding a New Vision for Politics,24,,61974
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds North West,GOODALL,Tim,Green Party,3042,,61974
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds North West,METCALFE,Julian,UK Independence Party (UKIP),2997,,61974
