Body Name,Body,Service Label    ,Service Code,Service Division Label,Service Division Code,Organisational Unit,Expenditure Category,Expenditure Code,CIPFA Detailed Expenditure Type,CIPFA Detailed Expenditure Code,Date,Transaction Number,Net Amount, Capital and Revenue,Supplier Name,Supplier_ID
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Control Accounts,2A1,Debtors Control,2104,Corporate Management,Holding Account Detail Codes,2034/H0202,Debtors System Cheque Refunds,H0202,28/02/18,inv0034199,-500,Control Holding and SU Accnts,Taylor Wimpey UK Ltd,29601
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Corp and Dem,1A7,Corporate Management,1701,Management Team,Supplies and Services,1702/34107,Hired Services - General,34107,01/02/18,inv0043597,2505,General Fund,ACAS,17780
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Elections,1104,Resources and Enabling,Supplies and Services,1032/33002,Printing & Stationery,33002,15/02/18,inv0043799,400,General Fund,Adare Limited,17824
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Elections,1104,Resources and Enabling,Supplies and Services,1032/33002,Printing & Stationery,33002,15/02/18,inv0043797,649.52,General Fund,Adare Limited,17824
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Elections,1104,Corporate Management,Supplies and Services,1032/33002,Printing & Stationery,33002,15/02/18,inv0043782,200,General Fund,Adare Limited,17824
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Resources and Enabling,Supplies and Services,2261/35303,Postage by Bulk,35303,15/02/18,inv0043798,694.61,Control Holding and SU Accnts,Adare Limited,17824
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Resources and Enabling,Supplies and Services,1023/34112,Income Processing Charges,34112,15/02/18,inv0043844,667.01,General Fund,allpay Limited,20775
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Housing Services,1A6,Housing Strategy,1606,Delivery & Front Line Services,Supplies and Services,1651/34013,Survey & Valuation Fees,34013,22/02/18,inv0044011,625,General Fund,Boulton Cooper Stephensons,31573
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Housing Services,1A6,Homelessness,1602,Delivery & Front Line Services,Premises,1617/11003,Energy - Gas (Inc. Mecogas),11003,22/02/18,inv0044020,37.75,General Fund,British Gas,20083
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Housing Services,1A6,Homelessness,1602,Delivery & Front Line Services,Premises,1617/11003,Energy - Gas (Inc. Mecogas),11003,22/02/18,inv0044022,286.39,General Fund,British Gas,20083
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Housing Services,1A6,Homelessness,1602,Delivery & Front Line Services,Premises,1617/11003,Energy - Gas (Inc. Mecogas),11003,22/02/18,inv0044021,264.62,General Fund,British Gas,20083
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Housing Services,1A6,Homelessness,1602,Delivery & Front Line Services,Premises,1618/11002,Energy-Electricy,11002,15/02/18,inv0043913,114.95,General Fund,British Gas Business,17264
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Housing Services,1A6,Homelessness,1602,Delivery & Front Line Services,Premises,1618/11002,Energy-Electricy,11002,15/02/18,inv0043912,720.7,General Fund,British Gas Business,17264
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Cultural and Related Services,1A2,Recreation and Sport,1203,Resources and Enabling,Premises,1122/11003,Energy - Gas (Inc. Mecogas),11003,22/02/18,inv0044017,249.53,General Fund,British Gas Business,17264
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Cultural and Related Services,1A2,Recreation and Sport,1203,Resources and Enabling,Premises,1123/11003,Energy - Gas (Inc. Mecogas),11003,22/02/18,inv0044016,29.22,General Fund,British Gas Business,17264
