Propref,Property Description,Ratepayer,Rv,Liability Start,Reliefs Granted
29004700,Workshop And Premises,Iredales Ltd,11000,04/01/90,SBR
29008002,Hairdressing Salon (And Premises),,3000,10/01/01,SBR
29016700,Warehouse And Premises,Vulkan Industries Ltd,25500,04/01/90,SBR
29016701,Warehouse And Premises,Treka Bus Ltd,66500,01/16/10,
29020703,Warehouse And Premises,Openview Security Solutions Ltd,33250,01/29/15,SBR
29020705,Garage And Premises,Eclipse Specialist Cars Ltd,11000,01/08/14,SBR
29020707,Factory and Premises,Arkoni Ltd,78500,01/05/07,
29020712,Warehouse And Premises,Total Polyfilm Ltd,107000,07/01/04,
29020714,Cafe and Premises,,1300,10/31/13,SBR
29020715,Warehouse And Premises,Owens-Corning Veil U.K. Ltd,159000,04/01/90,
29020716,Offices and Premises,Abzorb Services Ltd,50500,12/23/11,SBR
29020718,Concrete Batching Plant And Premises,Readymix (Huddersfield) Ltd,36250,12/16/00,SBR
29020719,Motor Auction and Premises,British Car Auctions Ltd,710000,04/01/90,
29020720,Workshop And Premises,,2550,11/01/14,SBR
29020721,Factory and Premises,Halco (Brighouse) Ltd,182000,09/01/16,
29020722,Factory and Premises,Halifax Rack & Screw Co Ltd,95500,04/01/90,
29020723,Factory and Premises,Kirkdale Industrial Training Services Ltd,118000,08/17/98,MCR
29020725,Workshop And Premises,Dawsonrentalsweepers,58000,04/01/10,
29020726,Factory and Premises,Aflex Hose Ltd,99000,08/02/11,
29020727,Warehouse And Premises,Clipper Logistics Group Ltd,310000,02/09/98,
29020731,Factory and Premises,Total Polyfilm Ltd,118000,04/01/90,
29020737,Workshop And Premises,Crossling Bancroft Ltd,50000,12/01/03,SBR
29020738,Workshop And Premises,Northern Commercials (Mirfield) Ltd,135000,10/18/97,
29020743,Vehicle Repair Workshop And Premises,Central Garage Arc Ltd,37250,08/01/13,SBR
29020746,Communication Station and Premises,Everything Everywhere Ltd,12250,01/10/17,EX
29020747,Warehouse And Premises,Screwfix Direct Ltd,24000,09/17/12,SBR
29020749,Warehouse And Premises,Wolseley U.K Ltd,19500,05/10/04,SBR
29020750,Warehouse And Premises,Power Saver Electrical Supplies Ltd,18750,06/07/04,SBR
29020751,Warehouse And Premises,Arkoni Ltd,33500,11/22/17,SBR
29020753,Warehouse And Premises,Tn Robinson Ltd,21000,02/11/15,SBR
29020754,Warehouse And Premises,James Hargreaves (Plumbers Merchants) Ltd,28500,04/01/05,SBR
29020758,Warehouse And Premises,Dyson Insulations Ltd,135000,02/20/06,
29020762,Land Used For Storage and Premises,Enterprise Plc,70500,10/01/06,
29020763,Warehouse And Premises,Performance Glass Processing  Ltd,33250,12/05/15,SBR
29020771,Factory and Premises,Hurst Joinery Projects Ltd,48500,08/31/05,SBR
29020774,Factory and Premises,Mey-Tech Ltd,140000,07/07/14,
29020775,Car Park and Premises,British Car Auctions Ltd,24750,06/01/08,DUR SBR
29020776,Offices and Premises,Bankstone Ltd,48250,06/01/10,DUR SBR
29020777,Workshop And Premises,Denford Machine Tools Ltd,77500,01/04/11,
29020779,Warehouse And Premises,Express Catering Supplies Ltd,24750,06/22/12,SBR
29020780,Warehouse And Premises,Blind Fashions Ltd,42250,10/01/13,SBR
29020783,Warehouse And Premises,Alliance Valves & Piping Supplies Mnfg Ltd (In Liquidation),24500,06/08/15,SBR
29020786,Land Used For Storage and Premises,Northern Commercials (Mirfield) Ltd,25000,04/01/10,DUR SBR
29020787,Workshop And Premises,Score (Europe ) Ltd,162000,04/01/10,
29020788,Communication Station and Premises,Mobile Broadband Network Ltd,6300,01/13/11,SBR
29020789,Factory and Premises,T E V Ltd,150000,01/01/14,
29020790,Warehouse And Premises,Medequip Assistive Technology Ltd,60000,05/27/14,
29020791,Factory and Premises,Kent Introl Ltd,173000,04/01/10,
29020792,Factory and Premises,Kent Introl Ltd,128000,04/01/10,
29028700,Factory and Premises,W B White Foundry Ltd,54500,06/01/91,
29028701,Cafe and Premises,,2550,02/27/10,SBR
29032002,Offices and Premises,Rapid Fire Extinguishers Ltd,3350,09/01/95,SBR
29032005,Offices and Premises,,4000,08/01/16,SBR
29032702,Workshop And Premises,,4000,10/06/03,SBR
29032704,Workshop And Premises,Thompson & Hudson Wire Machinery,1900,05/31/16,SBR
29032705,Warehouse And Premises,Hothouse Partnerships Ltd,11750,04/01/11,
29032710,Scout Hut And Premises,,1700,04/01/90,DCR MCR
29032712,Land Used For Storage and Premises,,4150,11/02/16,SBR
29032715,Factory and Premises,Flemings Seals Ltd,30750,04/01/90,SBR
29032718,Civic Amenity Site And Premises,Suez Recyclng And Recovery Uk Ltd,24000,08/01/08,SBR
29032719,Garage And Premises,Suez Recyclng And Recovery Uk Ltd,11750,04/01/10,SBR
29032720,Store And Premises,Suez Recyclng And Recovery Uk Ltd,3200,04/01/10,SBR
29032721,Store And Premises,,1825,08/09/14,SBR
29032722,Workshop And Premises,V S Engineering Ltd,5000,02/03/16,SBR
29032724,Workshop And Premises,,3000,05/01/14,SBR
29032725,Warehouse And Premises,,4850,09/07/04,SBR
29032726,Store And Premises,,1250,04/01/16,SBR
29032729,Workshop And Premises,,6200,04/01/05,SBR
29032731,Workshop And Premises,,5500,06/01/12,SBR
29032734,Workshop And Premises,,2250,08/01/14,SBR
29032736,Factory and Premises,Rolla Ltd,46500,04/11/08,SBR
29032739,Workshop And Premises,Food 4 Thought Catering Ltd,6400,02/01/11,SBR
29032740,Workshop And Premises,,5800,04/05/11,SBR
29032741,Workshop And Premises,MH7 Precision Engineering Ltd,12500,10/19/15,SBR
29032742,Workshop And Premises,Thompson & Hudson Wire Machinery,8900,10/19/15,SBR
29036700,Workshop And Premises,,2350,04/01/90,SBR
29044700,Car Park and Premises,Calderdale Mbc,11750,04/01/90,SBR
29044701,Factory and Premises,Aflex Hose Ltd,28000,03/15/94,SBR
29044703,Workshop And Premises,Heat Works Ltd,34250,04/01/17,ER
29044704,Warehouse And Premises,M P Smith & Co Ltd,74000,04/01/02,
29048001,Shop and Premises,Ladbrokes Betting & Gaming Ltd,28500,10/18/06,SBR
29048002,Office and Premises,,21000,04/01/90,SBR
29048004,Shop and Premises,,17000,04/01/08,DUR SBR
29048005,Restaurant and Premises,,21250,07/27/05,DUR SBR
29048007,Shop and Premises,,10750,04/01/90,SBR
29048009,Shop and Premises,,9300,11/05/16,SBR
29048011,Shop and Premises,Simply Sweets (Brighouse) Ltd,7800,11/21/14,SBR
29048013,Dry Cleaners & Premises,Parnham Ltd,14500,02/28/11,SBR
29048014,Shop and Premises,,6400,11/21/17,SBR
29048016,Shop and Premises,,7800,05/01/14,SBR
29048017,Shop and Premises,,14250,09/01/06,DUR SBR
29048020,Shop and Premises,,8300,05/15/09,SBR
29048021,Shop and Premises,,8300,03/27/09,SBR
29048024,Shop and Premises,,13750,12/27/16,SBR
29048026,Shop and Premises,Halifax Plc,20250,10/11/93,SBR
29048027,Shop and Premises,Done Brothers [Cash Betting] Ltd,18750,11/30/12,SBR
29048033,Shop and Premises,Ryecorn Wholefoods Ltd,8900,08/19/11,SBR
29048039,Shop and Premises,,4550,08/08/09,SBR
29048041,Shop and Premises,,4500,12/02/95,SBR
29048043,Shop and Premises,,9400,08/27/11,SBR
29048045,Shop and Premises,Overgate Hospice,8300,09/01/95,DCR DUR MCR
29048049,Shop and Premises,Overgate Hospice,7800,03/01/11,DCR DUR MCR
29048051,Shop and Premises,,5700,04/24/01,SBR
29048053,Shop and Premises,,9300,10/31/16,SBR
29048057,Shop and Premises,,7200,05/01/15,SBR
29048702,Betting Shop And Premises,,10500,06/27/12,SBR
29048704,Shop and Premises,,6600,08/02/12,SBR
29048705,Public House and Premises,,14750,11/15/17,SBR DBR
29048710,Hairdressing Salon and Premises,,3400,07/30/00,SBR
29048711,Tattoo Parlour,,2950,05/02/14,SBR
29048712,Store And Premises,,990,06/13/16,EX
29048715,Cafe and Premises,,4500,11/02/02,SBR
29048723,Cafe and Premises,,6700,12/16/15,SBR
29048724,Store And Premises,,860,01/31/08,EX
29048727,Hairdressing Salon and Premises,Ed Taylor Limited,9700,03/07/12,SBR
29048728,Offices and Premises,,10250,06/19/10,SBR
29048730,Workroom And Premises,,2600,09/01/07,EX
29048732,Store And Premises,Overgate Hospice,930,06/25/07,DCR MCR
29048735,Offices and Premises,Bower & Child Ltd (1985) Retirement & Death Benefit Scheme,1375,07/27/13,EX
29048736,Offices and Premises,Bower & Child Ltd (1985) Retirement & Death Benefit Scheme,2100,07/27/13,EX
29048737,Offices and Premises,,2400,04/01/12,SBR
29048738,Offices and Premises,,25500,08/01/15,EX
29052003,Shop And Premises,,2550,04/01/16,SBR
29052007,Garage And Premises,,4050,04/01/90,SBR
29052029,Workshop And Premises,Bsmw Products Ltd,2125,03/01/93,SBR
29052045,Shop and Premises,,4600,02/28/16,SBR
29052095,Offices and Premises,,3550,04/01/90,SBR
29052700,Factory and Premises,Anthony Piccioni,28000,07/28/16,SBR
29052701,Workshop And Premises,,23000,04/03/07,SBR
29052702,Factory and Premises,H W Architectural Ltd,131000,04/01/90,
29052703,Factory and Premises,Venturian Property Holdings Ltd,65000,02/01/17,ER
29052704,Workshop And Premises,Bsmw Products Ltd,9900,04/01/90,SBR
29052705,Factory and Premises,,15750,09/12/11,SBR
29052710,Workshop And Premises,Control Valve Services Ltd,25750,05/02/12,SBR
29052711,Warehouse And Premises,Avocet Dye & Chemical Co Ltd,39250,01/01/92,SBR
29052713,Workshop And Premises,R H & G Travis & Sons Ltd,4900,04/01/90,SBR
29052715,Advertising Right and Premises,Jc Decaux Uk Ltd,1225,04/01/96,SBR
29052716,Advertising Right and Premises,Jc Decaux Uk Ltd,590,04/01/98,SBR
29052717,Store And Premises,,2250,04/01/12,EX
29052719,Offices and Premises,,11250,04/01/12,ER
29052720,Warehouse And Premises,G A Valves Sales Ltd,41250,09/15/93,SBR
29052721,Factory and Premises,Golden Anderson Uk Ltd,10500,02/11/14,SBR
29052722,Offices and Premises,,2225,03/01/13,EX
29052725,Offices and Premises,,5000,04/01/12,ER
29052730,Workshop And Premises,,3100,01/01/04,SBR
29052731,Workshop And Premises,Engineering & Pipework Services Ltd,17250,07/11/11,SBR
29052733,Workshop And Premises,Traffic Management Technologies Limited,5600,03/20/16,SBR
29052734,Warehouse And Premises,Howdens Joinery Properties Ltd.,45000,12/08/03,SBR
29052735,Offices,Hepworth International Ltd,3200,03/07/16,SBR
29052736,Offices and Premises,,3150,01/01/04,SBR
29052739,Workshop And Premises,Alco Valves Group Ltd,46500,07/07/13,SBR
29052743,Warehouse And Premises,Trinity Property Maintenance Ltd,7400,11/02/09,SBR
29052744,Warehouse And Premises,Little Yorkshire Pie Company Ltd,8700,06/05/15,SBR
29052745,Warehouse And Premises,Ethan Blake Amenities Ltd,4700,03/07/14,SBR
29052747,Offices,Birds Royd Property Co Ltd,1700,04/22/15,EX
29052748,Office,,920,05/01/11,SBR
29052751,Warehouse And Premises,Enviraclad Ltd,11750,09/01/17,SBR
29052752,Warehouse And Premises,Amaryllis Ltd,47000,08/22/07,SBR
29052753,Offices and Premises,,14500,01/01/15,ER
29052754,Offices and Premises,Royd Developments Ltd,8700,06/30/12,SBR
29052755,Offices and Premises,Impetus Technologies Ltd,11000,04/01/11,SBR
29052756,Warehouse And Premises,,4650,01/05/16,SBR
29052760,Showroom And Premises,Parking Ventilation Equipment Ltd,11750,05/16/14,SBR
29052761,Factory and Premises,Severn Unival Ltd,252500,04/11/13,
29052764,Workshop And Premises,Ramsdens Legal Services Ltd,23750,09/02/16,SBR
29052765,Offices and Premises,Ramsdens Legal Services Ltd,13500,09/02/16,SBR
29052766,Workshop And Premises,Manzana Contracts (Uk) Ltd,37750,11/01/15,SBR
29052767,Workshop And Premises,G R Booth Ltd,57000,07/01/15,
29052769,Offices And Premises,Hastings O'Loughlin Financial Servuces Ltd,14750,01/01/16,DUR SBR
29052770,Offices And Premises,Manrochem Ltd,28750,01/01/16,DUR SBR
29056701,Communication Station and Premises,Tefonica O2 (Uk) Ltd,13500,04/01/95,SBR
29056709,Communication Station and Premises,Vodafone Ltd,12750,05/01/03,SBR
29056713,Store,Blackshaw Holdings Ltd,2000,10/01/06,EX
29056720,Store And Premises,Blackshaw Holdings Ltd,1350,09/18/12,EX
29056726,Offices and Premises,Blackshaw Holdings Ltd,1975,10/03/07,EX
29056727,Offices and Premises,Brosnans Ltd,20000,05/22/06,SBR
29056728,Bowling Club And Premises,Bailiff Bridge Bowling Club,660,04/01/09,SBR
29056733,Day Nursery and Premises,Blackshaw (Phoenix) Ltd,25250,10/15/17,SBR
29056734,Offices and Premises,Blackshaw Holdings Ltd,1550,09/01/08,EX
29056736,Offices and Premises,Blackshaw Holdings Ltd,1950,07/01/16,EX
29056741,Offices and Premises,Blackshaw Holdings Ltd,1975,03/01/14,EX
29056742,Offices and Premises,Blackshaw Holdings Ltd,1975,03/01/14,EX
29056749,Offices and Premises,Blackshaw Holdings Ltd,1975,01/15/14,EX
