Department Family,Entity,Date,Expenses Type,Expense Area,Supplier,Transaction Number, Total 
Department of Health,The Christie NHS Foundation Trust,26/10/2017,Drugs Cooling System,18 Capital,AIRFLOW COOLING LTD T/A CHESHIRE REFRIGE,564253,"£28,459.20"
Department of Health,The Christie NHS Foundation Trust,26/10/2017,Drugs,011 Drugs,ALCURA UK LIMITED,564661,"£86,956.00"
Department of Health,The Christie NHS Foundation Trust,26/10/2017,Drugs,011 Drugs,ALCURA UK LIMITED,564666,"-£60,435.75"
Department of Health,The Christie NHS Foundation Trust,26/10/2017,Drugs,011 Drugs,ALCURA UK LIMITED,564663,"£2,567,212.25"
Department of Health,The Christie NHS Foundation Trust,12/10/2017,PET Scans - Aug-17,14 Christie Medical Physics,ALLIANCE MEDICAL LTD,563964,"£34,378.37"
Department of Health,The Christie NHS Foundation Trust,05/10/2017,Drugs,14 Christie Medical Physics,ALLIANCE MEDICAL RADIOPHARMACY LIMITED,563961,"£38,699.16"
Department of Health,The Christie NHS Foundation Trust,12/10/2017,Drugs,14 Christie Medical Physics,ALLIANCE MEDICAL RADIOPHARMACY LIMITED,564534,"£36,820.56"
Department of Health,The Christie NHS Foundation Trust,19/10/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,563598,"£432,996.00"
Department of Health,The Christie NHS Foundation Trust,05/10/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,563042,"£25,617.79"
Department of Health,The Christie NHS Foundation Trust,05/10/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,563043,"£49,644.00"
Department of Health,The Christie NHS Foundation Trust,05/10/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,562862,"£360,136.90"
Department of Health,The Christie NHS Foundation Trust,12/10/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,563036,"£405,096.83"
Department of Health,The Christie NHS Foundation Trust,05/10/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,563037,"£432,160.67"
Department of Health,The Christie NHS Foundation Trust,05/10/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,563046,"£364,411.87"
Department of Health,The Christie NHS Foundation Trust,02/10/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,565951,"£336,207.60"
