Organisation Name,Dept,Service Cat Label,Expenditure CIPFA Sub Group Label,Purpose Of Spend,Supplier,Supplier Reference,Pay Date,Transaction Number,Net Amount,Grant to VCSE?,Charity Number,Card Transaction,Irrecoverable VAT
Pendle Borough Council,Financial Services,Supplies and Services,4705,Other Expenses,RIGHTMOVE.CO.UK,A0077496,01/12/2014,AAS0257576,274.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Costs,CD14,Capital : Payments,RIGHTMOVE.CO.UK,A0077496,01/12/2014,AAS0257576,535.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257512,53.78,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257513,63.2,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257514,11.93,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257515,33.7,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257516,29.4,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257517,40.49,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257518,11.56,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257519,30.05,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257521,93.21,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257522,57.57,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257523,12.25,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4705,Other Expenses,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257524,11.46,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257525,11.46,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257526,11.46,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257527,56.06,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257528,11.92,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257529,11.99,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257530,35.38,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257531,77.42,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257532,31.18,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257533,14.11,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257534,81.64,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257535,43.81,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257536,19.79,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257537,11.82,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257538,62.1,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257539,54.15,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0069538,02/12/2014,AAS0257540,173.09,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,159.96,N,N/A,N,N/A
