Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,19009858,"60,453.13"
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,19261122,"66,141.39"
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,19101302,"84,354.23"
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,19181421,"89,296.14"
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,Drugs,Pharmacy,ALCURA UK LTD,19261402,"26,762.64"
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,Drugs,Pharmacy,ALCURA UK LTD,19101631,"30,284.04"
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,Independent Sector,MRI,ALLIANCE MEDICAL LTD,19019580,"-34,450.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,Independent Sector,MRI,ALLIANCE MEDICAL LTD,19176221,"31,400.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,Independent Sector,MRI,ALLIANCE MEDICAL LTD,19176209,"34,450.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,Independent Sector,Radiology,ALLIANCE MEDICAL LTD,19176236,"40,350.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,Childcare,Human Resources,ALLSAVE,SSC DD/PLYMOUTH HOSPITALS,"40,793.39 "
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,Drugs,Pharmacy,BATH ASU,19101317,"27,384.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,Drugs,Pharmacy,BATH ASU,19181463,"27,405.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,Drugs,Pharmacy,BATH ASU,19181456,"29,070.96"
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,CAPD Fluids,CAPD Devon & Cornwall,BAXTER HEALTHCARE LTD,19071452,"33,623.91"
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,Med & Surg Equip General,Haemodialysis Unit,BAXTER HEALTHCARE LTD,19096000,"70,537.20"
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,Medical Gases,Pharmacy Central,BOC LTD,19100980,"31,200.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,Fixed assets,Balance Sheet,BOSTON SCIENTIFIC LTD,19179131,"32,886.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,Drugs,Pharmacy,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,19181554,"32,422.50"
Department of Health,Plymouth Hospitals NHS TRUST,30/06/2016,Drugs,Pharmacy,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,19181556,"32,422.50"
