UID,Client,Pro Class,Contract Title,Route to Market,Contract Type,Contract Start Date,Initial Contract Term (Months),Potential Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier,Supplier Type,Registered Number,Postcode,Council Directorate
24,Stockport Council,111100-Catering : Equipment & Utensils : ,Light Catering Equipment ,RFQ,Contract,12/11/2013,24,48,31/10/2015,Yes,31/10/2017,01/08/2016,"œ41,400.00","œ165,600.00",W V Howe,SME,507835,B30 3HP,Stockport- Services to Place
45,Stockport Council,271200-Information Communication Technology : Hardware : ,AGMA Framework: Audio Visual and Presentation Equipment ,Call Off (External),Contract,01/08/2013,36,48,31/07/2016,No,31/07/2016,01/01/2016,"œ3,333.33","œ13,333.33",GV / Millennium Business & Over Audio,SME,03722113,RG12 1RP,Stockport- Corporate & Support Services
92,Stockport Council,102100-Building Construction Materials : Paint & Finishing : ,Decorative paints and accessories ,OJEU,Framework Agreement,01/10/2013,24,48,30/09/2016,Yes,30/09/2017,01/08/2016,"œ15,616.91","œ62,467.62",Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Services to Place
92,Stockport Council,102100-Building Construction Materials : Paint & Finishing : ,Decorative paints and accessories ,OJEU,Framework Agreement,01/10/2013,24,48,30/09/2016,Yes,30/09/2017,01/08/2016,"œ15,616.91","œ62,467.62",Crown Paints,SME,6624576,BB3 0BG,
92,Stockport Council,102100-Building Construction Materials : Paint & Finishing : ,Decorative paints and accessories ,OJEU,Framework Agreement,01/10/2013,24,48,30/09/2016,Yes,30/09/2017,01/08/2016,"œ15,616.91","œ62,467.62",PPG Architectural Coatings Ltd,SME,436135,WF17 9XA,
92,Stockport Council,102100-Building Construction Materials : Paint & Finishing : ,Decorative paints and accessories ,OJEU,Framework Agreement,01/10/2013,24,48,30/09/2016,Yes,30/09/2017,01/08/2016,"œ15,616.91","œ62,467.62",ICI Paints ,SME,2881643,WA14 5PG,
176,Stockport Council,SOCIAL CARE SERVICES : Adult,Adult Placement,Tender,Contract,01/07/2011,36,72,31/05/2014,Yes,31/05/2017,31/05/2016,"œ1,400,000.00","œ8,400,000.00",Independent Options,SME,2560910,SK7 5PE,Stockport- Services to People
193,Stockport Council,321015-Social Community Care Supplies & Services - Adult : Sheltered Accommodation : ,Extra Care,OJEU,Contract,15/09/2013,36,72,01/09/2016,No,01/09/2019,31/08/2019,"œ2,523,822.00","œ15,142,932.00",Creative Support,Other,0027440IP,M1 2HF,Stockport- Services to People
199,Stockport Council,SOCIAL CARE SERVICES : Adult,Intermediate Care,OJEU,Contract,01/04/2012,24,48,31/03/2014,Yes,31/10/2016,01/08/2016,"œ500,622.00","œ2,002,488.00",Berrycroft Manor,SME,6969431,SK6 3AU,Stockport- Services to People
200,Stockport Council,SOCIAL CARE SERVICES : Adult,Intermediate Care,OJEU,Contract,01/04/2012,24,60,31/03/2014,Yes,31/03/2017,01/08/2016,"œ1,084,512.00","œ5,422,560.00",Borough Care,VCSE,0027788R,SK4 1AS,Stockport- Services to People
229,Stockport Council,SOCIAL CARE SERVICES : Adult,Family Care Support,RFQ,Contract,01/04/2012,36,60,31/03/2015,Yes,31/03/2017,31/03/2017,"œ61,200.00","œ306,000.00",Stroke Association,Other,61274,NG2 7QW,Stockport- Services to People
236,Stockport Council,321018-  ,Provision of Framework for Residential & Nursing Care for Older People,OJEU,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ25,000,000.00","œ100,000,000.00",United Response,VCSE,1133776,SW19 1NE,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ441,000.00","œ1,764,000.00",Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ638,092.00","œ2,552,368.00",Abacus Homecare,SME,,SK5 7BB,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ38,538.00","œ154,152.00",A-Best Nursing & Care,SME,06314762,SK1 3RU,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ703,040.00","œ2,812,160.00",Castlerock,Other,6357982,BB1 2QY,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ1,137,207.00","œ4,548,828.00",Assured Care (Stockport) Ltd,SME,07288112,SK1 3LG,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ528,523.00","œ2,114,092.00",Bridge Care Services Ltd,SME,03911926,SK6 7AD,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ513,645.00","œ2,054,580.00",Care Needs Ltd,SME,04125024,SK4 1AS,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ280,841.00","œ1,123,364.00",Absolute Care at Home LTd,SME,05583427,WA14 2PL,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ782,295.00","œ3,129,180.00",Bluebird Homecare,SME,7168078,SK2 6NW,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ202,252.00","œ809,008.00",Elite HomeCare,SME,,SK7 5DP,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ182,329.00","œ729,316.00",Equality Homecare Service Ltd,SME,06144289,M22 4US,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ704,562.00","œ2,818,248.00",HG Care Services Ltd,SME,04626258,SK4 3GN,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ82,000.00","œ328,000.00",Herbex Nursing & Care,SME,03112191,M41 9JN,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ265,674.00","œ1,062,696.00",Homecare4u,SME,07455354,SK2 6NG,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ256,445.00","œ1,025,780.00",The Human Support Group Ltd,Other,03513906,M20 3JG,
