OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Aug,ST2679422232413,Waste treatment,ENVIRONMENT & HOUSING,234-Recycling & Reuse Charges,,07/08/2015,,,,,"£78,243.46",,"SJB Recycling Limited, Mount View, Standard Way, NORTHALLERTON, DL6 2YD",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Aug,DA201J4224354627,Datacable quote for Barwick-in-Elm,CHILDRENS SERVICES,,,27/08/2015,,,,,"£40,870.60",,"DATACABLE LTD, Keighley Business Centre, South St, KEIGHLEY, BD21 1AG",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Aug,MO17504223611277712ITE,IT Temporary staff fees,CENTRAL & CORPORATE,8-Agency Staff,,20/08/2015,,,,,"£27,400.00",,"MODIS INTERNATIONAL LTD, Unit 3010 The Pavillions, The Crescent  Solihull Park Way, BIRMINGHAM, B37 7YE",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Aug,EX943942230HEX6000536496,Maintenance & Upgrade,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,14/08/2015,,,,,"£37,500.00",,"EXPERIAN LIMITED, Landmark House Experian Way, Ng2 Business Park, NOTTINGHAM, NG80 1ZZ",,e) Large,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Aug,SM92924223636608B,Playground equipment and work,ENVIRONMENT & HOUSING,203-Operational Furniture And Equipment,,20/08/2015,,,,,"£38,544.85",,"Hags-Smp Ltd, Waterfront Complex, Shipyard Ind Estate, SELBY, YO8 8AP",,e) Large,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Aug,TN297242237IN18PS15003692,Postage charges,CENTRAL & CORPORATE,212-Postages,,21/08/2015,,,,,"£16,032.33",,"Whistl North Limited, 1 Globeside Business Park, Fieldhouse Lane, MARLOW, SL7 1HY",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Aug,LE08304224424876188,Training and Support,CHILDRENS SERVICES,265-Other Hired And Contracted Services,,28/08/2015,,,,,"£35,750.00",,"Leeds Community Healthcare Nhs Trust, Ry6 Receivables C639 Shared Bus Services, Phoenix House Topcliffe Lane, WAKEFIELD, WF3 1WE",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Aug,RE223142243RNW846,FF support April - June,CHILDRENS SERVICES,505-Services Rendered By Voluntary Sector,,27/08/2015,,,,,"£26,000.00",,"Renew Leeds Ltd, 34 Regent Street, NULL, LEEDS, LS2 7QN",,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Aug,RO110242223SIMI079299,Residential care,CHILDRENS SERVICES,507-General External Residential Placements,,07/08/2015,,,,,"£28,504.50",,"Rosedale Childrens Services Ltd, 6th Floor Metropolitan House, 3 Darkes Lane, POTTERS BAR, EN6 1AG",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31-Aug,SH120442220154740,Secondment costs,CHILDRENS SERVICES,265-Other Hired And Contracted Services,,04/08/2015,,,,,"£24,764.60",,"Sheffield City Council (Resources), Resources, Town Hall, SHEFFIELD, S1 2HH",,Other/Not known,,,Waiver/DDN
