Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Seq No,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Thomson Classification,Thomson Desc.,Contract
,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/09/2016,CHILDYOU,4,Children's and Education Services,LIZ GODMAN EDUCATION CONSULTANCY LTD,Redacted,7525547,Not yet available,Not yet available,22/07/2016,23107837,1,1040,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,30/09/2016,CHILDYOU,4,Children's and Education Services,LIZ GODMAN EDUCATION CONSULTANCY LTD,Redacted,7525547,Not yet available,Not yet available,22/07/2016,23107797,1,1630,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,ALERT -IT CARE ALARMS,Redacted,Not yet available,Not yet available,Not yet available,07/07/2016,23091829,1,1143.26,Nil,Adaptations,Revenue,Adult Services,CAT04,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,22/09/2016,23144626,1,500,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,07/07/2016,23090680,1,520,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,08/07/2016,23089153,1,710,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,30/08/2016,23129768,1,910,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,CANARY CARE LIMITED,Redacted,8512931,Not yet available,Not yet available,22/09/2016,23147240,1,514.2,Nil,Adaptations,Revenue,Adult Services,CAT04,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,CANARY CARE LIMITED,Redacted,8512931,Not yet available,Not yet available,12/08/2016,23116560,1,584.2,Nil,Adaptations,Revenue,Adult Services,CAT04,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,CANARY CARE LIMITED,Redacted,8512931,Not yet available,Not yet available,22/09/2016,23147241,1,1020.7,Nil,Adaptations,Revenue,Adult Services,CAT04,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,20/07/2016,23092058,1,500,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,13/07/2016,23092060,1,700,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,09/08/2016,23113735,1,831.99,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,16/09/2016,23144435,1,585.2,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,07/07/2016,23090675,1,612,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,22/09/2016,23144109,1,626,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,19/09/2016,23132141,1,652.6,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,07/07/2016,23073708,1,671.2,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,27/09/2016,23144058,1,675.4,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,29/09/2016,23147019,1,751.2,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,05/07/2016,23077388,1,788.2,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,26/07/2016,23100267,1,1194.62,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,29/09/2016,23145964,1,1507.8,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/09/2016,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,26/09/2016,23149776,1,2602.4,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
