Organisation Name (A),Department (B),Service Cat Label ©,Purpose of Spend (D),Expenditure CIPFA Sub Group €,Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,FST CONSUMABLES LIMITED,A0000004, 06/10/2016,PCO0274667,60.97,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,FST CONSUMABLES LIMITED,A0000004, 06/10/2016,PCO0274667,39.00,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,ACEWELL ELECTRONICS LIMITED,A0000014, 06/10/2016,EST0274694,103.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,APSE,A0000021, 20/10/2016,PCO0274996,249.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 20/10/2016,PCO0274904,160.64,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 27/10/2016,PCO0275251,45.78,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 27/10/2016,PCO0275251,45.78,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 06/10/2016,PCO0274660,2880.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 20/10/2016,PCO0274904,7.05,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 20/10/2016,OPS0275023,41.49,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 20/10/2016,PCO0274974,8.48,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 20/10/2016,PCO0274974,22.32,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Other Expenses,4705,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 13/10/2016,HED0274814,116.14,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 06/10/2016,COR0274654,217.06,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD PARISH COUNCIL,A0000239, 06/10/2016,HED0274581,50.00,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 27/10/2016,REG0273758,30255.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BOC GASES LTD,A0000386, 06/10/2016,PCO0274681,10.90,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BRIGGS & DUXBURY LTD,A0000459, 20/10/2016,PCO0274975,60.00,N,N/A,N,N/A
