Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate
February,Economy,UK,UK,78.91,FLYBE BRITISH EUROPEAN,CRB
February,Economy,UK,UK,59.03,EASYJET,CRB
February,Economy,UK,UK,71.98,FLYBE BRITISH EUROPEAN,CRB
February,Economy,UK,UK,59.03,EASYJET,CRB
January,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,276.62,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,102.31,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,78.91,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,156.54,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,295.59,BMI,IPS
January,Economy,UK,UK,71.03,EASYJET,IPS
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,116.54,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,308.47,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,295.51,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,101.03,EASYJET,IPS
January,Economy,UK,UK,59.03,EASYJET,IPS
February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,79.03,EASYJET,IPS
January,Economy,UK,UK,76.01,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,44.74,EASYJET,IPS
January,Economy,UK,Non EEA,91.03,EASYJET,IPS
January,Economy,UK,UK,54.74,EASYJET,IPS
January,Economy,UK,UK,195.59,BMI,IPS
January,Economy,UK,UK,99.91,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,124.31,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,132.01,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,146.33,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,274.51,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,182.01,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,Non EEA,488.83,BRITISH AIRWAYS,IPS
January,Business Class,UK,UK,103.69,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,132.01,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,177.15,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,157.15,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,234.59,BMI,IPS
January,Economy,UK,UK,198.54,BRITISH AIRWAYS,IPS
January,Business Class,UK,UK,206.54,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,63.81,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,228.5,EASTERN AIRWAYS,IPS
January,Economy,UK,UK,276.62,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,290.59,BMI,IPS
January,Economy,UK,UK,132.01,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,91.6,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,91.6,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,158.51,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,109.96,BMI BABY,IPS
January,Business Class,UK,UK,122.85,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,308.47,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,66.51,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,48.74,EASYJET,IPS
January,Economy,UK,UK,149.8,MANX2,IPS
January,Economy,UK,UK,295.59,BMI,IPS
January,Economy,UK,UK,218.05,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,88.69,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,87.01,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,151.01,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,130.2,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,91.31,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,53.74,EASYJET,IPS
February,Economy,UK,UK,78.91,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,Non EEA,389.1,KLM-ROYAL DUTCH AIRLINES,IPS
January,Economy,UK,EEA,271.37,LOT-POLISH AIRLINES,IPS
January,Economy,UK,UK,35.97,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,254.51,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,75.03,EASYJET,IPS
February,Economy,UK,UK,146.62,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,156.59,BMI,IPS
March,Economy,UK,UK,126,AIR SOUTHWEST,IPS
January,Economy,UK,UK,91.6,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,161.59,BMI,IPS
January,Economy,UK,UK,276.62,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,198.54,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,253.59,BMI,IPS
January,Economy,UK,UK,44.74,EASYJET,IPS
February,Economy,UK,UK,66.91,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,111.03,EASYJET,IPS
January,Economy,UK,UK,211.62,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,Non EEA,491.03,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,9.6,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,146.62,BRITISH AIRWAYS,IPS
February,Economy,UK,Non EEA,772.1,QATAR AIRWAYS,IPS
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,42.85,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,169.8,MANX2,IPS
January,Economy,UK,UK,87.03,EASYJET,IPS
January,Economy,UK,UK,255.31,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,83.81,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,48.74,EASYJET,IPS
January,Economy,UK,UK,81.6,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,132.03,EASYJET,IPS
January,Economy,UK,UK,95.59,BMI,IPS
January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,97.93,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,126.15,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,95.03,EASYJET,IPS
January,Economy,UK,UK,92.69,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,94.34,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,53.74,EASYJET,IPS
January,Business Class,UK,UK,258.54,BRITISH AIRWAYS,IPS
January,Business Class,UK,UK,206.54,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,35.6,BMI,IPS
February,Economy,UK,UK,68.73,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,30.5,BMI,IPS
February,Economy,UK,UK,86.54,BRITISH AIRWAYS,IPS
February,Economy,UK,EEA,113.98,RYANAIR,IPS
January,Economy,UK,UK,211.59,BMI,IPS
February,Economy,UK,EEA,113.98,RYANAIR,IPS
February,Economy,UK,UK,71,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,262.62,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,79,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,129.8,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,222.01,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,185.82,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,295.59,BMI,IPS
January,Economy,UK,UK,141.51,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,195.59,BMI,IPS
January,Economy,UK,UK,127.5,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,Non EEA,385.29,KLM-ROYAL DUTCH AIRLINES,IPS
February,Economy,UK,Non EEA,50,QATAR AIRWAYS,IPS
February,Economy,UK,Non EEA,772.1,QATAR AIRWAYS,IPS
February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,Non EEA,50,QATAR AIRWAYS,IPS
February,Economy,UK,UK,57.85,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,57.74,EASYJET,IPS
February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS
January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,Non EEA,616.67,QANTAS AIRWAYS,IPS
February,Economy,UK,UK,86.54,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,151.54,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,104.62,BRITISH AIRWAYS,IPS
February,Business Class,UK,UK,161.8,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,114.62,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,62.85,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,160.51,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,136.51,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,142.59,BMI,IPS
February,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,136.51,FLYBE BRITISH EUROPEAN,IPS
February,Business Class,UK,UK,161.69,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,101.03,EASYJET,IPS
February,Economy,UK,UK,101.5,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,87.5,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,290.9,BMI,IPS
February,Economy,UK,UK,65.6,FLYBE BRITISH EUROPEAN,IPS
February,Business Class,UK,UK,154.5,BRITISH AIRWAYS,IPS
February,Economy,UK,UK,123.91,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,211.59,BMI,IPS
February,Economy,UK,UK,48.01,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,184.34,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,234.59,BMI,IPS
February,Economy,UK,UK,48.5,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,126.51,FLYBE BRITISH EUROPEAN,IPS
