OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,25/04/2016,CE0115424032316084,Temporary Staff,CHILDRENS SERVICES,,,03/02/2016,,,,,26215.5,,"CELSIAN GROUP LIMITED, 800 The Boulevard, Capability Green, LUTON, LU1 3BA",,d) Medium,,Barbara Newton,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,25/04/2016,GR372742424SI/0000000028,Various Groundworks,CITY DEVELOPMENT,,,24/02/2016,,,,,56856,,"GROUNDWORK LEEDS, Environmental & Business Services, Merlyn-Rees Avenue, MORLEY  LEEDS, LS27 9SL",,d) Medium,,Edwige Moutault,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,25/04/2016,MA578442405130580,Security and Alarm maintenance,ENVIRONMENT & HOUSING,,,05/02/2016,,,,,46674.07,,"MAYFAIR SECURITY, Adelaide House, Vivars Way  Selby, NORTH YORKSHIRE, YO8 8BE",,d) Medium,,Adam Crampton,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,25/04/2016,AL1113424110400008845,Community Based Respite Service,ADULT SOCIAL CARE,,,11/02/2016,,,,,24530.04,,"ALLIED HEALTHCARE, Credit Ctrl Depart Cavendish House, Lakhpur Crt Staffordshire Tech Park, STAFFORD, ST18 0FX",,e) Large,,Sinead Cregan,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,25/04/2016,BR252242404INV183963,Supply of Bins,ENVIRONMENT & HOUSING,,,04/02/2016,,,,,14200,,"BROXAP LTD, Rowhurst Industrial Estate, Chesterton, NEWCASTLE UNDER LYME, ST5 6BD",,e) Large,,Graham Hollings,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,25/04/2016,CA2495424126729/00146,Community Based Respite Service,ADULT SOCIAL CARE,,,12/02/2016,,,,,22474,,"MEARS HOMECARE LTD, Crown House  Stephenson Road, Colchester Business Park, COLCHESTER, CO4 9QR",,e) Large,,Sinead Cregan,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,25/04/2016,CA772042410037980,Calibration and consultancy,CIVIC ENTERPRISE LEEDS,,,10/02/2016,,,,,19227,,"CALIBRATION & CONSULTANCY SERVICES, Unit 1  Hurstwood Court, Meadowcroft Way, LEIGH, WN7 3XZ",,c) Small,,Graham Hinchcliffe,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,25/04/2016,LE08304242424876917,Healthcare services,ADULT SOCIAL CARE,,,24/02/2016,,,,,30860.02,,"LEEDS COMMUNITY HEALTHCARE NHS TRUST, Ry6 Receivables C639 Shared Bus Services, Phoenix House Topcliffe Lane, WAKEFIELD, WF3 1WE",,Other/Not known,,Richard Allen,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,25/04/2016,ME008042429010,Final settlement for dilapidations and rent,CITIZENS AND COMMUNITIES,,,29/02/2016,,,,,24388.36,,"MECHANICS INSTITUTE ROTHWELL, C/O R Shooter Treasurer Walshan Cottage, Sanderson Lane Oulton, LEEDS, LS26 8HB",,Other/Not known,,Sarn Warbis,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,25/04/2016,NH0348424267015600417,Healthcare services,CENTRAL & CORPORATE,,,26/02/2016,,,,,25113,,"NHS LEEDS SOUTH AND EAST CCG, 03g Receivables L539 Shared Busi Service, Phoenix House Topcliffe Lane, WAKEFIELD, WF3 1WE",,Other/Not known,,Lynne Hellewell,Waiver/DDN
