Department Family,Entity,Date,Expense Type,Expense area,Supplier,Transaction Number,Amount
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,ENERGY - GAS,Corporate - ETS,CORONA ENERGY,11679749,"�8,501.25"
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,ENERGY - GAS,Corporate - ETS,CORONA ENERGY,11679749,"�74,390.63"
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,ENERGY - GAS,Corporate - ETS,CORONA ENERGY,11679749,�425.06
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,ENERGY - GAS,Corporate - ETS,CORONA ENERGY,11679749,"�14,878.13"
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,LAB EQUIP-ANALYSERS,Clinical Support,BECKMAN COULTER,1368466,"�44,039.11"
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,DRUGS,Clinical Support,BAYER PLC,187441988,"�26,220.00"
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,DRUGS,Clinical Support,BAYER PLC,187441988,"�5,244.00"
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,ETS UNITARY CHARGE,ALLDIR (Top of Directorates),SALISBURY HEALTHCARE FACILITIES LTD,344,"�292,017.19"
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,HEALTHCARE - NHS TRUSTS,Medicine,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,7290885,"�59,548.00"
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,DRUGS,Clinical Support,NOVARTIS PHARMACEUTICALS UK LTD,91741402,"�26,153.34"
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,DRUGS,Clinical Support,NOVARTIS PHARMACEUTICALS UK LTD,91741402,"�5,230.67"
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,NETWORKING COSTS,Capital,SOFTCAT LIMITED,INV01491306,"�6,046.56"
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,NETWORKING COSTS,Capital,SOFTCAT LIMITED,INV01491306,"�2,724.28"
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,NETWORKING COSTS,Capital,SOFTCAT LIMITED,INV01491306,"�1,954.16"
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,NETWORKING COSTS,Capital,SOFTCAT LIMITED,INV01491306,"�14,709.24"
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,NETWORKING COSTS,Capital,SOFTCAT LIMITED,INV01491306,�846.56
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,NETWORKING COSTS,Capital,SOFTCAT LIMITED,INV01491306,"�2,928.12"
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,NETWORKING COSTS,Capital,SOFTCAT LIMITED,INV01491306,"�1,209.31"
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,NETWORKING COSTS,Capital,SOFTCAT LIMITED,INV01491306,�544.86
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,NETWORKING COSTS,Capital,SOFTCAT LIMITED,INV01491306,�390.83
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,NETWORKING COSTS,Capital,SOFTCAT LIMITED,INV01491306,"�2,941.85"
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,NETWORKING COSTS,Capital,SOFTCAT LIMITED,INV01491306,�169.31
Department of Health,Salisbury NHS Foundation Trust,06-Jan-17,NETWORKING COSTS,Capital,SOFTCAT LIMITED,INV01491306,�585.62
Department of Health,Salisbury NHS Foundation Trust,13-Jan-17,OTHER MEDICAL SUPPLIES,Surgery,NHS LOGISTICS,1017168380,�64.52
Department of Health,Salisbury NHS Foundation Trust,13-Jan-17,MEDSURGCONS-OTHER,Surgery,NHS LOGISTICS,1017168380,�47.08
Department of Health,Salisbury NHS Foundation Trust,13-Jan-17,ADULTS HEARING AIDS,Surgery,NHS LOGISTICS,1017168380,�77.00
Department of Health,Salisbury NHS Foundation Trust,13-Jan-17,ADULTS HEARING AIDS,Surgery,NHS LOGISTICS,1017168380,�77.00
Department of Health,Salisbury NHS Foundation Trust,13-Jan-17,ELECTRICAL EQUIPMENT,Facilities,NHS LOGISTICS,1017168380,�5.00
Department of Health,Salisbury NHS Foundation Trust,13-Jan-17,PATIENT APPLIANCES,Surgery,NHS LOGISTICS,1017168380,�33.17
Department of Health,Salisbury NHS Foundation Trust,13-Jan-17,PATIENT APPLIANCES,Surgery,NHS LOGISTICS,1017168380,�66.33
Department of Health,Salisbury NHS Foundation Trust,13-Jan-17,PATIENT APPLIANCES,Surgery,NHS LOGISTICS,1017168380,�33.17
Department of Health,Salisbury NHS Foundation Trust,13-Jan-17,PATIENT APPLIANCES,Surgery,NHS LOGISTICS,1017168380,�33.17
Department of Health,Salisbury NHS Foundation Trust,13-Jan-17,MEDSURGCONS-OTHER,Clinical Support,NHS LOGISTICS,1017168380,�76.10
Department of Health,Salisbury NHS Foundation Trust,13-Jan-17,MEDSURGCONS-OTHER,Clinical Support,NHS LOGISTICS,1017168380,�57.07
Department of Health,Salisbury NHS Foundation Trust,13-Jan-17,MEDSURGCONS-OTHER,Clinical Support,NHS LOGISTICS,1017168380,�38.05
Department of Health,Salisbury NHS Foundation Trust,13-Jan-17,DRESSINGS - PRE STERILE,Medicine,NHS LOGISTICS,1017168380,�7.64
Department of Health,Salisbury NHS Foundation Trust,13-Jan-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1017168380,�3.70
Department of Health,Salisbury NHS Foundation Trust,13-Jan-17,OTHER MEDICAL SUPPLIES,Medicine,NHS LOGISTICS,1017168380,�5.58
Department of Health,Salisbury NHS Foundation Trust,13-Jan-17,OTHER MEDICAL SUPPLIES,Medicine,NHS LOGISTICS,1017168380,�4.76
Department of Health,Salisbury NHS Foundation Trust,13-Jan-17,PATIENT APPLIANCES,Medicine,NHS LOGISTICS,1017168380,�6.70
Department of Health,Salisbury NHS Foundation Trust,13-Jan-17,PATIENT APPLIANCES,Medicine,NHS LOGISTICS,1017168380,�10.05
Department of Health,Salisbury NHS Foundation Trust,13-Jan-17,PATIENT APPLIANCES,Medicine,NHS LOGISTICS,1017168380,�10.05
