year,type,area,Surname,Forename,Party name,Votes,SpoiltPapers,Elected,Electorate
2014,LOCAL,Adel and Wharfedale,Flynn,Billy,The Conservative Party Candidate,3018,,ELECTED,15589
2014,LOCAL,Adel and Wharfedale,Henley,Mark,Labour Party Candidate,1312,,,15589
2014,LOCAL,Adel and Wharfedale,Kebede,Cheryl Lee,Liberal Democrats,1154,,,15589
2014,LOCAL,Adel and Wharfedale,Marchant,Paul Richard,Green Party,336,,,15589
2014,LOCAL,Adel and Wharfedale,Steele,Mal,UK Independence Party (UKIP),966,,,15589
2014,LOCAL,Alwoodley,Harrand,Peter Mervyn,The Conservative Party Candidate,3227,,ELECTED,17530
2014,LOCAL,Alwoodley,Hendon,Warren,UK Independence Party (UKIP),891,,,17530
2014,LOCAL,Alwoodley,Jackson,Brian,Alliance For Green Socialism - Save NHS,67,,,17530
2014,LOCAL,Alwoodley,Knights,Sue,Liberal Democrats,309,,,17530
2014,LOCAL,Alwoodley,Moss,Miriam Leontine,Green Party,290,,,17530
2014,LOCAL,Alwoodley,White,Keith Michael,Labour Party Candidate,1910,,,17530
2014,LOCAL,Ardsley and Robin Hood,Atkin,Tim,The Conservative Party Candidate,929,,,17255
2014,LOCAL,Ardsley and Robin Hood,Daniel,David,UK Independence Party (UKIP),1593,,,17255
2014,LOCAL,Ardsley and Robin Hood,James,Carl,Green Party,176,,,17255
2014,LOCAL,Ardsley and Robin Hood,Kidger,Wyn,Independent,482,,,17255
2014,LOCAL,Ardsley and Robin Hood,Mulherin,Lisa,Labour Party Candidate,1865,,ELECTED,17255
2014,LOCAL,Ardsley and Robin Hood,Ward,Benjamin Lloyd,Liberal Democrats,139,,,17255
2014,LOCAL,Armley,Clarke,Yvonne,Green Party,669,,,17039
2014,LOCAL,Armley,Dalton,Iain Alaistair,Trade Unionists and Socialists Against Cuts,65,,,17039
2014,LOCAL,Armley,Glover,Christine Amy,Liberal Democrats,236,,,17039
2014,LOCAL,Armley,Rahman,Mohammed Abdul,The Conservative Party Candidate,392,,,17039
2014,LOCAL,Armley,Smart,Alice,Labour Party Candidate,2269,,ELECTED,17039
2014,LOCAL,Armley,Withill,John,UK Independence Party (UKIP),1548,,,17039
