Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,19889541,"26,244.62"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,19851058,"26,263.72"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,20012411,"37,481.33"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,19814037,"42,914.89"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,19714253,"49,625.13"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,19977166,"63,493.56"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,ALCURA UK LTD,19814156,"25,354.08"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,ALCURA UK LTD,20012561,"25,706.22"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,ALCURA UK LTD,19768665,"32,418.57"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,ALCURA UK LTD,19768664,"80,537.32"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Blood Products,Clinical Haematology,ALLOGA UK LTD,19906887,"52,388.70"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Childcare,Human Resources,ALLSAVE,SSC DD/PLYMOUTH HOSPITALS,"35,986.74"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,BATH ASU,19768787,"31,154.51"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,BATH ASU,19977174,"41,040.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,BATH ASU,20012423,"41,040.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,BATH ASU,19977175,"41,064.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,CAPD Fluids,CAPD Devon & Cornwall,BAXTER HEALTHCARE LTD,20029876,"31,446.48"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,CAPD Fluids,CAPD Devon & Cornwall,BAXTER HEALTHCARE LTD,20029899,"33,336.02"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,CAPD Fluids,CAPD Devon & Cornwall,BAXTER HEALTHCARE LTD,20029883,"35,576.40"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Med & Surg Equip General,Haemodialysis Unit,BAXTER HEALTHCARE LTD,20029892,"45,308.64"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Med & Surg Equip General,Haemodialysis Unit,BAXTER HEALTHCARE LTD,20053981,"74,009.76"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Med & Surg Equip General,Haemodialysis Unit,BAXTER HEALTHCARE LTD,20053972,"75,404.16"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Med & Surg Equip General,Haemodialysis Unit,BAXTER HEALTHCARE LTD,19993472,"76,655.52"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Medical Gases,Pharmacy Central,BOC LTD,19865614,"31,200.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Med & Surg Equip General,EPS/Ablations,BOSTON SCIENTIFIC LTD,19950338,"92,802.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Equip Maint Contracts,Radiotherapy Physics,BRAINLAB LTD,19706501,"67,126.80"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Accountancy services,Central Financial Acct,BROOKSON HEALTHCARE SERVICES LLP,19890396,"36,356.77"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Independent Sector,Ear Nose & Throat,CARE UK CLINICAL SERVICES LTD,19804022,"25,772.12"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Independent Sector,Ear Nose & Throat,CARE UK CLINICAL SERVICES LTD,19804023,"29,996.89"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Other Clinical Costs,Upper GI Medical Staff,CARE UK CLINICAL SERVICES LTD,19907071,"38,647.52"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Other Clinical Costs,Upper GI Medical Staff,CARE UK CLINICAL SERVICES LTD,19804024,"46,904.10"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Independent Sector,Ortho Management & Admin,CARE UK CLINICAL SERVICES LTD,19853571,"90,048.56"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Other Clinical Costs,Orthopaedics,CARE UK CLINICAL SERVICES LTD,19993252,"97,599.32"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Independent Sector,Ortho Management & Admin,CARE UK CLINICAL SERVICES LTD,19853563,"99,153.15"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Fixed assets,Balance Sheet,CDW LTD,19950288,"30,406.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Fixed assets,Balance Sheet,CDW LTD,19725670,"62,670.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,CELGENE LTD,19925538,"97,675.20"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Fixed assets,Balance Sheet,COCHRAN LTD,19727458,"58,239.12"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Lease Rents,MSCP Car Park,COLLIERS INTERNATIONAL,19976394,"38,512.22"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Lease Rents,MSCP Car Park,COLLIERS INTERNATIONAL,19976282,"377,450.52"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Gas,Energy And Utilities,CORONA ENERGY RETAIL 4 LTD,19974233,"-69,939.70"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Gas,Energy And Utilities,CORONA ENERGY RETAIL 4 LTD,19974229,"-66,833.10"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Gas,Energy And Utilities,CORONA ENERGY RETAIL 4 LTD,20054379,"-65,797.57"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Gas,Energy And Utilities,CORONA ENERGY RETAIL 4 LTD,20054377,"65,797.57"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Staff costs,Human Resources,DEFENCE BUSINESS SERVICES,20017117,"124,121.50"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Junior doctors,Central Other,DEVON DOCTORS LTD,20029918,"117,824.91"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Heart Valves,Catheter Lab,EDWARDS LIFESCIENCES LTD,19853555,"-64,920.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Heart Valves,Catheter Lab,EDWARDS LIFESCIENCES LTD,19727168,"44,400.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Heart Valves,Catheter Lab,EDWARDS LIFESCIENCES LTD,20020236,"44,400.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Heart Valves,Catheter Lab,EDWARDS LIFESCIENCES LTD,19825616,"66,600.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,GENZYME THERAPEUTICS,19768683,"84,540.00"
