Property Reference,Account Holder 1,Account Holder 2,Liability Start Date,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Post Code,Billing Address 1,Billing Address 2,Billing Address 3,Billing Address 4, Charged Amount ,Rateable Value,Property Description,Charity Relief,Discretionary,Rural Relief,Discretionary ,Mandatory,Small Business Rate Relief,Exemption,Empty Relief
10034698214612,MMA NORTHWEST LTD               ,                                ,01.09.2014               ,                                ,                                ,UNIT 3 CLAY COURT BUILDINGS        ,CRAWFORD STREET                    ,ROCHDALE                        ,                                ,OL16 5RS,UNIT 3 CLAY COURT BUILDINGS        ,CRAWFORD STREET                    ,ROCHDALE                        ,                                ," �1,290.67 ",8000,Workshop and Premises                                       ,      ,0,      ,0,0,Y     ,      ,      
1003708165442A     ,ROYAL MAIL GROUP PLC            ,                                ,01.04.2005               ,PROGRESS HOUSE                  ,                                ,AINSWORTH STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1AA,C/O CUSHMAN AND WAKEFIELD          ,ST PAULS HOUSE                     ,23 PARK SQUARE SOUTH            ,LEEDS                           ," �53,179.00 ",107000,WAREHOUSE AND PREMISES                                      ,      ,0,      ,0,0,      ,      ,      
10037099153853,SHOE DIRECTORY LTD              ,                                ,01.07.2014               ,C C G WINDSCREENS LTD           ,                                ,AINSWORTH STREET                   ,ROCHDALE                           ,LANCS                           ,                                ,OL16 5QX,8 SHOTTWOOD FOLD                   ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ," �8,228.00 ",17000,WAREHOUSE AND PREMISES                                      ,      ,0,      ,0,0,      ,      ,      
10055592589632,INPOST UK LIMITED               ,                                ,03.10.2014               ,                                ,                                ,INPOST PARCEL LOCKER UKROC16346    ,ALBERT ROYDS STREET                ,ROCHDALE                        ,                                ,OL16 5AA,SUITE 655                          ,MILTON KEYNES BUSINESS CENTRE      ,FOXHUNTER DRIVE                 ,"LINFORD WOOD, MILTON KEYNES     ", �363.00 ,750,SITE OF ELECTRONIC DELIVERY LOCKERS & PREMISES              ,      ,0,      ,0,0,      ,      ,      
10055593003729,FABTRAD LTD                     ,                                ,27.03.2015               ,H YEARSLEY LTD                  ,                                ,ALBERT ROYDS STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5AA,BELFIELD HALL FARM                 ,336 ALBERT ROYDS STREET            ,ROCHDALE                        ,                                ," �39,760.00 ",80000,COLD STORE AND PREMISES                                     ,      ,0,      ,0,0,      ,      ,Y     
10055594929043,CO-OPERATIVE GROUP LTD          ,                                ,01.04.2010               ,                                ,                                ,UNIT 1 MAYFIELD PARADE             ,ALBERT ROYDS STREET                ,ROCHDALE                        ,                                ,OL16 2UE,C/O RATE ACCOUNT MANAGEMENT        ,COLLIERS INTERNATIONAL RATING UKLLP,"12TH FLR, ELEVEN BRINDLEYPLACE  ","2 BRUNSWICK SQUARE, BIRMINGHAM  "," �21,992.25 ",44250,Shop and Premises                                           ,      ,0,      ,0,0,      ,      ,      
10055595030154,CO-OPERATIVE GROUP LTD          ,                                ,01.04.2010               ,                                ,                                ,ATM SITE AT                        ,UNIT 1 MAYFIELD PARADE             ,ALBERT ROYDS STREET             ,ROCHDALE                        ,OL16 2UE,C/O RATE ACCOUNT MANAGEMENT        ,COLLIERS INTERNATIONAL RATING UKLLP,"12TH FLR, ELEVEN BRINDLEYPLACE  ","2 BRUNSWICK SQUARE, BIRMINGHAM  "," �2,855.60 ",5900,Site of ATM                                                 ,      ,0,      ,0,0,      ,      ,      
10055595691394,THE ST VINCENT DE PAUL SOCIETY  ,(ENGLAND AND WALES)             ,01.11.2013               ,UNIT 5 MAYFIELD PARADE          ,                                ,ALBERT ROYDS STREET                ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2UE,PO 280                             ,LEEDS                              ,                                ,                                ," �1,689.80 ",17000,SHOP AND PREMISES                                           ,Y     ,0,      ,0,0,      ,      ,      
10055596411316,GLAMORGAN RETAIL LIMITED        ,                                ,30.08.2012               ,UNIT 3 MAYFIELD PARADE          ,                                ,ALBERT ROYDS STREET                ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2UE,STUDIO 3 1ST FLR                   ,BANK HOUSE STUDIOS                 ,WARWICK STREET                  ,PRESTWICH                       ," �8,946.00 ",18000,SHOP AND PREMISES                                           ,      ,0,      ,0,0,      ,      ,      
10055596415123,TOTE BOOKMAKERS LTD             ,                                ,01.12.2006               ,UNIT 2 MAYFIELD PARADE          ,                                ,ALBERT ROYDS STREET                ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2UE,BETFRED                            ,THE SPECTRUM                       ,BIRCHWOOD                       ,WARRINGTON                      ," �7,865.00 ",16250,SHOP AND PREMISES                                           ,      ,0,      ,0,0,      ,      ,      
