"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Central Top Level Budget","182746","B1","56436","72185","Other","2.00","Other"
"Ministry of Defence","Ministry of Defence","Land Forces","1167535","OF5","81310","89408","Commissioned Officer","8.00","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","00094113","B1","56436","72185","Police","1.00","Law"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000001","C1","35648","44268","Secretariat & Private Office","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OR5-6","30013","36929","Driver","1.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162138","C2","29258","36333","Secretariat & Private Office","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026667","B2","47942","59535","Estate Advice","1.00","Property and Asset Management"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV01001","4","20837","33829","Team Member","2.81","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Central Top Level Budget","105516","B1","56436","72185","Other","3.00","Other"
"Ministry of Defence","Ministry of Defence","Land Forces","1167535","OF4","67032","77617","Commissioned Officer","26.00","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","00094113","B1","56436","72185","Senior policy adviser","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OF2","37916","45090","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026667","C1","35648","44268","Decision Support","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","C1","35648","44268","Secretariat & Private Office","3.00","Communications"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","B1","56436","72185","Secretariat & Private Office","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV01001","5","29387","41774","Team Leader","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Land Forces","1167535","OF3","47760","57200","Commissioned Officer","37.00","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","00094113","B2","47942","59535","Police","1.00","Law"
"Ministry of Defence","Ministry of Defence","Central Top Level Budget","105517","B1","56436","72185","Other","2.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OF3","47760","57200","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026667","C1","35648","44268","Estate Advice","1.00","Property and Asset Management"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","C2","29258","36333","Secretariat & Private Office","2.00","Communications"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","C1","35648","44268","Business Management","2.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV01001","5","29387","41774","Team Member","11.48","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Land Forces","1167535","OF2","37916","45090","Commissioned Officer","22.00","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","00094113","B2","47942","59535","Senior Finance Manager","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OF4","67032","77617","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026667","C1","35648","44268","Estate Planning","1.00","Property and Asset Management"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","D","23427","29092","Internal Communications","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","C1","35648","44268","Reporting and Controls","2.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV01001","5","29387","41774","Operational Manager","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Central Top Level Budget","183178","B1","56436","72185","Other","4.00","Other"
"Ministry of Defence","Ministry of Defence","Land Forces","1167535","OR9","38600","46753","Enlisted Soldier","5.00","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","00094113","B2","47942","59535","Senior Project Manager","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OF5","81310","89408","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Central Top Level Budget","1058715","B1","56436","72185","Other","1.00","Other"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026667","C1","35648","44268","Project Management","2.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","C1","35648","44268","Secretariat & Private Office","3.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV01001","6","37977","51084","Team Leader","3.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000178","B2","47942","59535","Secretariat & Private Office","3.00","Communications"
"Ministry of Defence","Ministry of Defence","Land Forces","1167535","OR7-8","33223","43252","Enlisted Soldier","11.00","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","00094113","C1","35648","44268","Commercial","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OR1-3","17265","28940","House Manager","1.00","Military"
"Ministry of Defence","Ministry of Defence","Central Top Level Budget","1058725","B1","56436","72185","Other","1.00","Other"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026667","C1","35648","44268","Secretariat & Private Office","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","C1","35648","44268","Administrative Support","2.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV01001","6","37977","51084","Team Member","1.81","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000178","C1","35648","44268","Secretariat & Private Office","4.00","Communications"
"Ministry of Defence","Ministry of Defence","Central Top Level Budget","1058158","B1","56436","72185","Other","1.00","Other"
"Ministry of Defence","Ministry of Defence","Land Forces","1167535","OR7-8","33223","43252","Enlisted Soldier","2.00","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","00094113","C1","35648","44268","Police","2.00","Law"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OR4","26405","33182","Steward","2.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026667","C2","29258","36333","Business Management and Improvement","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","C2","29258","36333","Business Management","7.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV01001","7","47472","60830","Group Leader","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000178","C2","29258","36333","Secretariat & Private Office","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000188","C1","35648","44268","Secretariat & Private Office","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Central Top Level Budget","1058719","B2","47942","59535","Other","1.00","Other"
"Ministry of Defence","Ministry of Defence","Land Forces","1167535","OR5-6","30013","36929","Enlisted Soldier","11.00","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","00094113","C1","35648","44268","Policy Adviser","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","C2","29258","36333","Keeper and Curator","1.00","Other"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026667","C2","29258","36333","Estate Planning","2.00","Property and Asset Management"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","C2","29258","36333","Reporting and Controls","4.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV01001","7","47472","60830","Team Leader","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Central Top Level Budget","182746","B2","47942","59535","Other","5.00","Other"
"Ministry of Defence","Ministry of Defence","Land Forces","1167535","OR4","26405","33182","Enlisted Soldier","24.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00001781","C1","35648","44268","Communication and Media","2.00","Communications"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","00094113","C1","35648","44268","Senior Finance Manager","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","D","23427","29092","Events & Visitor Services Management","2.00","Other"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026667","C2","29258","36333","Programme Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","C2","29258","36333","Secretariat & Private Office","6.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV01001","7","47472","60830","Team Member","2.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Central Top Level Budget","105516","B2","47942","59535","Other","10.00","Other"
"Ministry of Defence","Ministry of Defence","Land Forces","1167535","OR1-3","17265","28940","Enlisted Soldier","2.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00001781","C1","35648","44268","Digital and Social Media","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","00094113","C1","35648","44268","Senior HR Manager","1.00","Human resources"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","E1","18370","22124","HMS Victory Guide","22.00","Other"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026667","D","23427","29092","Secretarial","2.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","C2","29258","36333","Civilian HR Partner","1.00","Human resources"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV01001","8","56529","70663","Specialist Advisors","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Land Forces","1167535","B2","47942","59535","Business Management and Improvement","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00001781","C2","29258","36333","Secretariat & Private Office","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","00094113","C1","35648","44268","Senior Press Officer","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","Skill Zone 1","15083","16482","General Hand","6.00","Military"
"Ministry of Defence","Ministry of Defence","Central Top Level Budget","105517","B2","47942","59535","Other","5.00","Other"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00136627","B1","56436","72185","Business Management and Improvement","2.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","D","23427","29092","Administrative Support","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV01001","8","56529","70663","Head of Function","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Land Forces","1167535","B2","47942","59535","Internal Communications","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002332","C1","35648","44268","Secretariat & Private Office","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","00094113","C1","35648","44268","Senior Tax Officer","1.00","Tax Professionals"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","Skill Zone 3","18010","22150","General Hand","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00136627","B1","56436","72185","Decision Support","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","D","23427","29092","Business Management","2.00","Operational delivery"
