Organisation Name,Dept,Service Cat Label,Service Cat Label Description,Expenditure CIPFA Sub Group Label,Supplier,Date,Transaction No.,Net Amount,Grant to VCSE?,Card Transaction
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,3204,ATS EUROMASTER LTD, 20/11/2014,PCO0257061,£149.66,No, 
Pendle Borough Council,Financial Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,ACEWELL ELECTRONICS LIMITED, 13/11/2014,AAS0257032,£250.00,No, 
Pendle Borough Council,Property Services,Supplies and Services,EFM : Other Equipment,4003,ACEWELL ELECTRONICS LIMITED, 13/11/2014,EST0257029,£675.00,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARNES JB LIMITED, 13/11/2014,PCO0256846,£179.27,No, 
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED, 27/11/2014,PCO0257245,£11.19,No, 
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,4004,BARNES JB LIMITED, 13/11/2014,ENV0256933,£57.79,No, 
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,J H BLAKEY & SONS (SECURITY) LTD, 27/11/2014,OPS0257285,£15.68,No, 
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,J H BLAKEY & SONS (SECURITY) LTD, 20/11/2014,COR0257175,£103.86,No, 
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,CB EXCAVATORS LTD, 06/11/2014,HED0256814,"£41,670.11",No, 
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,GEORGE BOOCOCK DECORATORS LTD, 13/11/2014,EST0257027,"£1,843.00",No, 
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK SERV LT, 27/11/2014,EST0257280,£74.84,No, 
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,BARROWFORD SAFE & LOCK & BB LOCKSMITHS, 27/11/2014,PCO0257236,£15.00,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS, 27/11/2014,PCO0257236,£330.71,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARROWFORD SAFE & LOCK & BB LOCKSMITHS, 27/11/2014,PCO0257236,£32.92,No, 
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARROWFORD SAFE & LOCK & BB LOCKSMITHS, 27/11/2014,PCO0257236,£2.50,No, 
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,4705,BARROWFORD SAFE & LOCK & BB LOCKSMITHS, 27/11/2014,ENV0257319,£67.50,No, 
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM : Other Equipment,4003,R J CLOUGH & SON LTD, 20/11/2014,ENV0257158,£60.00,No, 
Pendle Borough Council,Environmental Health Services,Premises Related Expense,Bldgs : R & M : Abnormal,2002,MARTIN COLLINS JOINERY & GLAZING, 20/11/2014,ENV0257156,£248.00,No, 
Pendle Borough Council,Planning & Building Control,Supplies and Services,Other Expenses,4705,MARTIN COLLINS JOINERY & GLAZING, 06/11/2014,PBC0256681,£75.00,No, 
