Department Family,Entity,Date,Expenses Type,Expense Area,Supplier,Transaction Number, Total 
Department of Health,The Christie NHS Foundation Trust,01/06/2017,Drugs,Drugs,ALCURA UK LIMITED,553641,"61,972.95"
Department of Health,The Christie NHS Foundation Trust,01/06/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,552626,"248,977.69"
Department of Health,The Christie NHS Foundation Trust,01/06/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,553642,"336,207.60"
Department of Health,The Christie NHS Foundation Trust,01/06/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,556236,"336,207.60"
Department of Health,The Christie NHS Foundation Trust,01/06/2017,Drugs,Cancer Networked Services,EAST CHESHIRE NHS TRUST,550043,"42,802.08"
Department of Health,The Christie NHS Foundation Trust,01/06/2017,Drugs,Drugs,EVOLUTION HOMECARE SERVICES LTD,553705,"52,183.00"
Department of Health,The Christie NHS Foundation Trust,01/06/2017,Drugs,Drugs,EVOLUTION HOMECARE SERVICES LTD,553706,"30,849.00"
Department of Health,The Christie NHS Foundation Trust,01/06/2017,Drugs,Cancer Networked Services,MID CHESHIRE HOSPITALS NHS FT,552537,"45,630.25"
Department of Health,The Christie NHS Foundation Trust,01/06/2017,Stock for all Wards & Departments,All Wards and Departments,NHS SUPPLY CHAIN,553830,"38,358.98"
Department of Health,The Christie NHS Foundation Trust,01/06/2017,Research Project,Research & Development,UNIVERSITY OF MANCHESTER,552489,"37,704.41"
Department of Health,The Christie NHS Foundation Trust,07/06/2017,Rates 17/18,Estates & Facilities,M/CR CITY COUNCIL (RATES) DD,556242,"71,296.00"
Department of Health,The Christie NHS Foundation Trust,08/06/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,553913,"364,171.02"
Department of Health,The Christie NHS Foundation Trust,08/06/2017,Annual Maintenance Cover,Cancer Centre Services,CARESTREAM HEALTH UK LTD,553247,"39,444.00"
Department of Health,The Christie NHS Foundation Trust,08/06/2017,Medical Equipment Maintenance Contract,Cancer Centre Services,CPP FACILITIES LLP,553176,"207,428.12"
Department of Health,The Christie NHS Foundation Trust,08/06/2017,Building Works,Capital,MEDWAY HEATING BOLTON LTD,552748,"55,115.33"
Department of Health,The Christie NHS Foundation Trust,08/06/2017,Audit Services,Finance & Business Development,PRICE WATERHOUSE COOPERS LLP,553938,"34,801.80"
Department of Health,The Christie NHS Foundation Trust,15/06/2017,PET Scans - Mar 17,Christie Medical Physics,ALLIANCE MEDICAL RADIOPHARMACY LIMITED,551701,"41,704.92"
