account_id,account_holder             ,postcode,property_reference,property_description                     ,liable_from,current_rateable_value,Location
71181848,THE CARPHONE WAREHOUSE LTD      ,OX2 7PP ,11026036400,SHOP AND PREMISES                                           ,06/04/2001,21000,"364 BANBURY ROAD OXFORD OX2 7PP
(51.781616, -1.266467)"
70693491,TOYS 'R' US LIMITED             ,OX2 0HW ,11057521903,RETAIL WAREHOUSE AND PREMISES                               ,09/01/1993,825000,"219 BOTLEY ROAD OXFORD OX2 0HW
(51.753154, -1.286167)"
71185513,GO OUTDOORS LTD                 ,OX1 4XG ,11002042605,SHOWROOM AND PREMISES                                       ,01/06/2006,115000,"428 ABINGDON ROAD OXFORD OX1 4XG
(51.73138, -1.250556)"
71188196,GILES SERVICE CENTRE LTD        ,OX4 6TU ,11017800105,WORKSHOP AND PREMISES                                       ,06/11/2010,31000,"UNIT 6 ASHVILLE WAY OXFORD OX4 6TU
(51.726592, -1.198036)"
71192871,MC NOMINEES LTD                 ,OX4 6TU ,1101780010D        ,WAREHOUSE AND PREMISES                                      ,04/01/2017,53000,"UNIT 5 ASHVILLE WAY OXFORD OX4 6TU
(51.726592, -1.198036)"
71190442,UBYK LTD                        ,OX1 4TA ,11002027201,SHOP AND PREMISES                                           ,04/01/2013,19250,"272 ABINGDON ROAD OXFORD OX1 4TA
(51.736667, -1.251874)"
71190442,UBYK LTD                        ,OX1 4TA ,11002027201,SHOP AND PREMISES                                           ,04/01/2013,19250,"272 ABINGDON ROAD OXFORD OX1 4TA
(51.736667, -1.251874)"
71185512,GO OUTDOORS LTD                 ,OX1 4TQ ,11002042601,CAMPING SITE AND PREMISES                                   ,01/06/2006,34725,"R/O 426 ABINGDON ROAD OXFORD OX1 4TQ
(51.733842, -1.250284)"
71189833,AKIPORT LIMITED                 ,OX1 4RA ,11002019201,SHOP AND PREMISES                                           ,04/04/2010,5600,"192 ABINGDON ROAD OXFORD OX1 4RA
(51.739862, -1.253892)"
71186742,ABILITY MATTERS LTD             ,OX1 4TQ ,11002033200,SHOWROOM AND PREMISES                                       ,,17500,"332 ABINGDON ROAD OXFORD OX1 4TQ
(51.733842, -1.250284)"
71186742,ABILITY MATTERS LTD             ,OX1 4TQ ,11002033200,SHOWROOM AND PREMISES                                       ,,17500,"332 ABINGDON ROAD OXFORD OX1 4TQ
(51.733842, -1.250284)"
71193027,CALA MANAGEMENT LIMITED         ,OX2 0AD ,11001700100,STORE AND PREMISES                                          ,09/09/2016,29500,"1 ABBEY ROAD OXFORD OX2 0AD
(51.754451, -1.271833)"
71193027,CALA MANAGEMENT LIMITED         ,OX2 0AD ,11001700100,STORE AND PREMISES                                          ,09/09/2016,29500,"1 ABBEY ROAD OXFORD OX2 0AD
(51.754451, -1.271833)"
71193028,CALA MANAGEMENT LIMITED         ,OX2 0AD ,11001700101,STORE AND PREMISES                                          ,09/09/2016,22250,"1 ABBEY ROAD OXFORD OX2 0AD
(51.754451, -1.271833)"
71193028,CALA MANAGEMENT LIMITED         ,OX2 0AD ,11001700101,STORE AND PREMISES                                          ,09/09/2016,22250,"1 ABBEY ROAD OXFORD OX2 0AD
(51.754451, -1.271833)"
70852991,SPIRES (OXFORD) LTD             ,OX1 4PX ,11002009000,GUEST HOUSE AND PREMISES                                    ,,24250,"88-90 ABINGDON ROAD OXFORD OX1 4PX
(51.741948, -1.255291)"
70852991,SPIRES (OXFORD) LTD             ,OX1 4PX ,11002009000,GUEST HOUSE AND PREMISES                                    ,,24250,"88-90 ABINGDON ROAD OXFORD OX1 4PX
(51.741948, -1.255291)"
71188887,VODAFONE LTD                    ,OX3 0BP ,11001805997,COMMUNICATION STATION AND PREMISES                          ,04/01/2005,13750,"VODAFONE SITE REF (CS5997) ABERCROMBIE BLOCK OXFORD BROOKES UNIVERSITY GIPSEY LANE HEADINGTON OX3 0BP
(51.754382, -1.223201)"
71185513,GO OUTDOORS LTD                 ,OX1 4XG ,11002042605,SHOWROOM AND PREMISES                                       ,01/06/2006,115000,"428 ABINGDON ROAD OXFORD OX1 4XG
(51.73138, -1.250556)"
71188887,VODAFONE LTD                    ,OX3 0BP ,11001805997,Communication Station and Premises                          ,04/01/2005,13750,"VODAFONE SITE REF (CS5997) ABERCROMBIE BLOCK OXFORD BROOKES UNIVERSITY GIPSEY LANE HEADINGTON OX3 0BP
(51.754382, -1.223201)"
70677351,DAIRY CREST LTD                 ,OX1 4XP ,11002000004,STORE AND PREMISES                                          ,,109000,"DEPOT TOWLES MILL ABINGDON ROAD OXFORD OX1 4XP
AT
(51.730988, -1.25246)"
70677351,DAIRY CREST LTD                 ,OX1 4XP ,11002000004,STORE AND PREMISES                                          ,,109000,"DEPOT TOWLES MILL ABINGDON ROAD OXFORD OX1 4XP
AT
(51.730988, -1.25246)"
71188733,MOBILE BROADBAND NETWORK LTD    ,OX1 4RA ,11002000012,COMMUNICATION STATION AND PREMISES                          ,04/01/2010,4900,"HUTCHINSON (OX0012) STREETWORKS ABINGDON ROAD OXFORD OX1 4RA
(51.739862, -1.253892)"
71188733,MOBILE BROADBAND NETWORK LTD    ,OX1 4RA ,11002000012,Communication Station and Premises                          ,04/01/2010,4900,"HUTCHINSON (OX0012) STREETWORKS ABINGDON ROAD OXFORD OX1 4RA
(51.739862, -1.253892)"
71192411,TRAVELODGE HOTELS LTD           ,OX1 4XJ ,11002000111,HOTEL AND PREMISES                                          ,12/07/2015,162000,
71192411,TRAVELODGE HOTELS LTD           ,OX1 4XJ ,11002000111,Hotel and Premises                                          ,12/07/2015,162000,
71185965,FOUR PILLARS HOTELS LTD         ,OX1 4PR ,11002008503,HOTEL AND PREMISES                                          ,,890000,"OXFORD SPIRES FOUR PILLARS HOTEL 85 ABINGDON ROAD OXFORD OX1 4PR
(51.742703, -1.255236)"
71185965,FOUR PILLARS HOTELS LTD         ,OX1 4PR ,11002008503,HOTEL AND PREMISES                                          ,,890000,"OXFORD SPIRES FOUR PILLARS HOTEL 85 ABINGDON ROAD OXFORD OX1 4PR
(51.742703, -1.255236)"
71189833,AKIPORT LIMITED                 ,OX1 4RA ,11002019201,SHOP AND PREMISES                                           ,04/04/2010,5600,"192 ABINGDON ROAD OXFORD OX1 4RA
(51.739862, -1.253892)"
71192791,ARCDALE LTD                     ,OX1 4RA ,11002020000,PUBLIC HOUSE AND PREMISES                                   ,01/11/2017,12250,"THE BERKSHIRE 200 ABINGDON ROAD OXFORD OX1 4RA
(51.739862, -1.253892)"
71182210,A&C SERVICES (OXFORD) LTD       ,OX1 4TE ,11002028201,SHOP AND PREMISES                                           ,,9700,"282A ABINGDON ROAD OXFORD OX1 4TE
(51.73571, -1.251325)"
71182210,A&C SERVICES (OXFORD) LTD       ,OX1 4TE ,11002028201,SHOP AND PREMISES                                           ,,9700,"282A ABINGDON ROAD OXFORD OX1 4TE
(51.73571, -1.251325)"
71191972,ISIS CREATIVE FRAMING LTD       ,OX1 4TE ,11002029202,WORKSHOP AND PREMISES                                       ,04/01/2015,15750,"R/O 292 ABINGDON ROAD OXFORD OX1 4TE
(51.73571, -1.251325)"
71191972,ISIS CREATIVE FRAMING LTD       ,OX1 4TE ,11002029202,WORKSHOP AND PREMISES                                       ,04/01/2015,15750,"R/O 292 ABINGDON ROAD OXFORD OX1 4TE
(51.73571, -1.251325)"
71192301,S.D. TIMMO CAR SALES LIMITED    ,OX1 4TE ,11002030000,SHOWROOM AND PREMISES                                       ,08/01/2015,36500,"300 ABINGDON ROAD OXFORD OX1 4TE
(51.73571, -1.251325)"
71192301,S.D. TIMMO CAR SALES LIMITED    ,OX1 4TE ,11002030000,SHOWROOM AND PREMISES                                       ,08/01/2015,36500,"300 ABINGDON ROAD OXFORD OX1 4TE
(51.73571, -1.251325)"
71185781,OXFORD DIVE CENTRE LTD          ,OX1 4TE ,11002030203,SALES AREA STORES AND PREMISES                              ,04/01/2005,11250,"1ST FLR 302 ABINGDON ROAD OXFORD OX1 4TE
(51.73571, -1.251325)"
70958181,CLEAR CHANNEL UK LTD            ,OX1 4TQ ,11002033000,ADVERTISING RIGHT                                           ,,600,"ADSHEL (4102/0019) 330 ABINGDON ROAD OXFORD OX1 4TQ
(51.733842, -1.250284)"
70958181,CLEAR CHANNEL UK LTD            ,OX1 4TQ ,11002033000,ADVERTISING RIGHT                                           ,,600,"ADSHEL (4102/0019) 330 ABINGDON ROAD OXFORD OX1 4TQ
(51.733842, -1.250284)"
71191104,TOP TACKLE LIMITED              ,OX1 4TQ ,11002033401,SHOP AND PREMISES                                           ,03/03/2014,13000,"SHOP 334-336 ABINGDON ROAD OXFORD OX1 4TQ
(51.733842, -1.250284)"
71191104,TOP TACKLE LIMITED              ,OX1 4TQ ,11002033401,SHOP AND PREMISES                                           ,03/03/2014,13000,"SHOP 334-336 ABINGDON ROAD OXFORD OX1 4TQ
(51.733842, -1.250284)"
