Organisation Name,Dept,Service Cat Label,Expenditure CIPFA Sub Group Label,Purpose of Spend,Supplier,Supplier Reference,Pay Date,Net Amount,Transaction Number,Grant to VCSE?,Charity Number,Card Transaction,Irrecoverable VAT
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 09/04/2015,�560.00,PCO0260535,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 09/04/2015,"�1,580.00",PCO0260535,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 09/04/2015,�960.00,PCO0260487,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 09/04/2015,�100.00,PCO0260487,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 09/04/2015,�250.00,PCO0260487,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 09/04/2015,�500.00,PCO0260487,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 09/04/2015,"�2,050.00",PCO0260487,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 09/04/2015,�450.00,HED0260455,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 09/04/2015,�100.00,PCO0260535,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 09/04/2015,�360.00,PCO0260535,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 09/04/2015,"�2,496.00",PCO0260535,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 09/04/2015,"�1,500.00",PCO0260487,N,N/A,N,N/A
