Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
Covea Insurance Plc,"Ferguson Street, Halifax, HX1 2EE",65076701,"Fa Mr Malcolm Nutton, Halifax House, Ferguson Street, Halifax, HX1 2PZ",211000,Offices and Premises,Awaiting occupation
Director Of Safer & Stronger Communities,"Adj 67 Rustic, Piece Hall, Halifax, HX1 1RE",68252724,"Leisure Services, Westgate House, Westgate, Halifax, HX1 1PS",4750,Shop and Premises,Listed Building
,"1 Stanley Street North, Ovenden, Halifax, HX2 9AH",68788001,,2050,Hairdressing Salon and Premises,Rateable Value below threshold
W A Shearings Ltd,"2 Market Street, Halifax, HX1 1RN",65736002,"C/O G L Hearn Management Ltd, P.O Box 1610, Southampton, Hants, SO15 3WX",19250,Shop and Premises,Listed Building
Halifax Wireform Co Ltd,"Calder Mill, Stubbing Holme, Hebden Bridge, HX7 6LQ",76524700,"Birch House, Scout Bottom Lane, Mytholmroyd, HX7 5JS",35250,Workshop And Premises,Flood Relief Application 2015/16
,"Constitutional Club, 6 Albert Street, Hebden Bridge, HX7 8AH",76012712,,5100,Club and Premises,Flood Relief Application 2015/16
Monte Carlo Cafe,"1st 2nd & 3rd Floors, 19 Crossley Street, Halifax, HX1 1UG",64748705,"19 Crossley Street, Halifax, HX1 1UG",2475,Store And Premises,Listed Building
John David Group Plc,"10 Corn Market, Halifax, HX1 1TH",64688010,"Hollinsbrook Way, Pilsworth, Bury, Lancs., BL9 8RR",28500,Shop and Premises,Empty Relief - Post 01/04/2008
,"Exley Gardens, Halifax, HX3 9EE",65048700,,1175,Shop and Premises,Rateable Value below threshold
Calderdale Mbc,"48 Arcade, Piece Hall, Halifax, HX1 1RE",68252771,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2475,Shop and Premises,Listed Building
Calderdale Mbc Community Services,"57 Arcade, Piece Hall, Halifax, HX1 1RE",68252764,"C/O Michael Devereux, Piece Hall Admin Office, The Piece Hall, Halifax, HX1 1RE",1000,Store And Premises,Listed Building
Heathleigh Ltd,"Unit 7A Woodman Works, South Lane, Elland, HX5 0PA",56220770,"Unit 2, Woodman Works, South Lane, Elland, HX5 0PA",335,Workshop And Premises,Rateable Value below threshold
J Speak & Co Ltd,"Unit 3, North Dean Mills, Stainland Road, Greetland           HX4 8LS",68772724,"North Dean Mills, Stainland Road, Greetland, Halifax, HX4 8LS",4300,Workshop And Premises,Empty Relief - Post 01/04/2008
Everything Everywhere Ltd,"Telecommunication Mast, Ref WYK70402 Ainley Bottom, Huddersfield Road, Elland               HX5 9JP",56132836,"C/O Bilfinger Gva, Po Box 6079, Wolverhampton, WV1 9RA",2800,Communication Station and Premises,Unoccupied Land
Enduring Enterprises Ltd,"10 Bradford Road, Brighouse, HD6 1RW",29080010,"C/O Jones Lang Lasalle, Fao David Griffin Esq, 25 Bank Street, London, E14 5EG",11500,Offices and Premises,Listed Building
Dean Clough Ltd,"Office Suite D101/103, Dean Clough Mills, Halifax, HX3 5AX",64788839,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",6500,Offices and Premises,Listed Building
Bizspace Ltd,"Unit 1A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628730,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",4650,Offices and Premises,Empty Relief - Post 01/04/2008
Fiona Cooper Audio Visual Ltd,"60 West Street, Sowerby Bridge, HX6 3AP",77648060,"The Cotton Mill, Saddleworth Road, Elland, HX5 0SA",6800,Shop and Premises,Empty Relief - Post 01/04/2008
,"5 Town Hall Buildings, Elland, HX5 9AJ",56236005,,2375,Shop and Premises,Listed Building
Dean Clough Ltd,"Office Suite D110, Clough Mills, Halifax, HX3 5AX",64784855,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",2350,Office,Listed Building
J Speak & Co Ltd,"Unit 6, North Dean Mills, Stainland Road, Greetland           HX4 8LS",68772727,"North Dean Mills, Stainland Road, Greetland, Halifax, HX4 8LS",5200,Workshop And Premises,Empty Relief - Post 01/04/2008
,"21 Hanson Lane, Halifax, HX1 5NX",65264021,,1525,Shop and Premises,Rateable Value below threshold
,"Quality Works, Rochdale Road, Todmorden, OL14 7NA",78400786,,610,Store And Premises,Rateable Value below threshold
Pennine Housing 2000,"Unit 3, Range Court, Halifax, HX3 6DJ",68332701,"Bull Green House, Bull Green, Halifax, HX1 2EB",7000,Garage And Premises,Empty Relief - Post 01/04/2008
Due West Ltd,"Offices (1st Floor ), 26 Horton Street, Halifax, HX1 1QE",65388704,"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",3900,Offices and Premises,Listed Building
Asda Stores Ltd,"69a Huddersfield Road, Elland, HX5 9AA",56132764,"G L Hearn Management Ltd, Po Box 1610, Southampton, SO15 3WX",3150,Workshop And Premises,Empty Relief - Post 01/04/2008
Dr. Kuldip S Hunjan & Associates,"Second Floor Offices, Warwick Chambers, 37 Southgate, Halifax              HX1 1DL",68652704,"Ground 1st & 2nd Floors, 3 Westgate, Halifax, HX1 1DJ",2950,Offices and Premises,Empty Relief - Post 01/04/2008
