ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,PAID DATE,NET AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,HANDSALE LTD,03/06/2016,-547.28,NURSING LONG TERM,V000997934
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,HANDSALE LTD,03/06/2016,-547.28,NURSING LONG TERM,V000997935
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,HANDSALE LTD,03/06/2016,-547.28,NURSING LONG TERM,V000997936
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,HANDSALE LTD,03/06/2016,-547.28,NURSING LONG TERM,V000997937
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,HANDSALE LTD,03/06/2016,-547.28,NURSING LONG TERM,V000997938
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,HANDSALE LTD,03/06/2016,-547.28,NURSING LONG TERM,V000997939
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,HANDSALE LTD,03/06/2016,1415.90,NURSING LONG TERM,V000997940
ROCHDALE BOROUGH COUNCIL,17/06/2016,CHILDREN’S SOCIAL CARE,POSSABILITIES CIC TRADING,17/06/2016,760.00,FOSTER PARENTS BASIC ALLOWANCE,V001002151
ROCHDALE BOROUGH COUNCIL,09/06/2016,PUBLIC HEALTH,SOLUTIONS4HEALTH LTD,09/06/2016,1000.00,EQUIPMENT - GENERAL,V001003123
ROCHDALE BOROUGH COUNCIL,01/06/2016,FINANCE SERVICES,POSTURITE UK LTD,01/06/2016,-1107.90,EQUIPMENT - GENERAL,V001004449
ROCHDALE BOROUGH COUNCIL,01/06/2016,EARLY HELP AND SCHOOLS,DIOCESE OF SALFORD,01/06/2016,83984.32,IMPROVEMENTS-MODERNISATION,V001004565
ROCHDALE BOROUGH COUNCIL,01/06/2016,EARLY HELP AND SCHOOLS,GUARDIAN NEWS & MEDIA LTD,01/06/2016,1400.00,ADVERTISING,V001004593
ROCHDALE BOROUGH COUNCIL,03/06/2016,PUBLIC HEALTH,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,03/06/2016,15750.00,SERVICE LEVEL AGREEMENTS,V001006102
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,03/06/2016,818.40,PERSONAL BUDGETS - MANAGED,V001006550
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,03/06/2016,762.00,PERSONAL BUDGETS - MANAGED,V001006693
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,HANDSALE LTD,03/06/2016,1410.40,NURSING LONG TERM,V001007022
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,03/06/2016,-589.29,PERSONAL BUDGETS - MANAGED,V001007525
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,03/06/2016,-3300.00,PERSONAL BUDGETS - MANAGED,V001007526
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,03/06/2016,-3300.00,PERSONAL BUDGETS - MANAGED,V001007527
ROCHDALE BOROUGH COUNCIL,03/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,CIVICA UK LIMITED,03/06/2016,1800.00,SOFTWARE,V001007828
ROCHDALE BOROUGH COUNCIL,02/06/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,02/06/2016,2224.40,CONSULTANT FEES,V001007830
ROCHDALE BOROUGH COUNCIL,03/06/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,03/06/2016,36331.86,ENGINEERS FEES,V001007835
ROCHDALE BOROUGH COUNCIL,03/06/2016,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,03/06/2016,1335.48,FOSTER PARENTS BASIC ALLOWANCE,V001007892
ROCHDALE BOROUGH COUNCIL,03/06/2016,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,03/06/2016,1903.06,FOSTER PARENTS BASIC ALLOWANCE,V001007893
ROCHDALE BOROUGH COUNCIL,03/06/2016,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,03/06/2016,2785.16,FOSTER PARENTS BASIC ALLOWANCE,V001007894
ROCHDALE BOROUGH COUNCIL,03/06/2016,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,03/06/2016,2871.30,FOSTER PARENTS BASIC ALLOWANCE,V001007896
ROCHDALE BOROUGH COUNCIL,03/06/2016,CHILDREN’S SOCIAL CARE,CARE TODAY CHILDRENS SERVICES,03/06/2016,12000.00,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001007906
