Organisation name,Organisation code,Effective date,Contract Reference Number,Open Contracting ID,Title of agreement,Contract type,Directorate/service responsible,Service category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: Proclass label,Procurement classification: CPV code,Contract Start Date,End Date,Review date,Last extension date,Contract value,Fixed cost/estimated cost,Irrecoverable VAT,Supplier Name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,529297,,Grant to RC Diocese St. Martha's expansion to 420,,Children's Services,,,Grant to RC Diocese St. Martha's expansion to 420,GRANTS.CAPITAL GRANTS TO OUTSIDE ORGANISATIONS,,,,,,,1183157.58,,0,ROMAN CATHOLIC DIOCESE OF EAST ANGLIA,,,75423,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,525071,,Salary costs between the 12th of September 2016 - 16th of June 2017,,Finance & Property,,,Salary costs between the 12th of September 2016 - 16th of June 2017,HR-INTERIM & TEMPORARY STAFF.INTERIM EXECUTIVES,,,,,,,143000,,0,CAPITA RESOURCING LTD T/AS VEREDUS,,,1205786,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,527841,,Grant payment to RC Diocese for St. Augustines expansion to 315,,Children's Services,,,Grant payment to RC Diocese for St. Augustines expansion to 315,GRANTS.CAPITAL GRANTS TO OUTSIDE ORGANISATIONS,,,,,,,140636.92,,0,ROMAN CATHOLIC DIOCESE OF EAST ANGLIA,,,75423,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,531208,,Independence Matters - Support costs Caretakers,,Adult Social Care,,,Independence Matters - Support costs Caretakers,ADULT CARE-DAY/COMMUNITY/WORK SUPPORT,,,,,,,130000,,0,INDEPENDENCE MATTERS CIC,,,1212771,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,494134,,Sustainable Drainage PV 0018  Project Code YP0099 44810,,Community and Environmental Services,,,Sustainable Drainage PV 0018  Project Code YP0099 44810,RESEARCH AND EVALUATION,,,,,,,50000,,0,AECOM INFRASTRUCTURE & ENVIRONMENT UK LTD,,,1937844,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,525075,,Carerite Quality improvement - Market Development Fund - Quality Improvement - Grant commenced on the 1st of September 2016,,Adult Social Care,,,Carerite Quality improvement - Market Development Fund - Quality Improvement - Grant commenced on the 1st of September 2016,GRANTS.GRANTS TO BUSINESSES,,,,,,,50000,,0,NORFOLK CARE AWARDS LTD,,,2172968,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,531120,,Contribution to Breckland District Council for the implementation of changes to Council Tax.,,Finance & Property,,,Contribution to Breckland District Council for the implementation of changes to Council Tax.,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,50000,,0,BRECKLAND DISTRICT COUNCIL,,,81095,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,527764,,Enforcement Agent Access Agreement - NBH AA10 J6105 N0NBC,,Finance & Property,,,Enforcement Agent Access Agreement - NBH AA10 J6105 N0NBC,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,48917.4,,0,NORTHAMPTONSHIRE COUNTY COUNCIL,,,96366,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,527660,,Last payment for build completion/customer acceptance ref PO452787 ,,Community and Environmental Services,,,Last payment for build completion/customer acceptance ref PO452787 ,VEHICLE & PLANT PURCHASE.PURCHASE OF VEHICLES OVER �20K,,,,,,,48660,,0,EMERGENCY ONE (U.K.) LIMITED,,,68708,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,528818,,Grant payment ,,Children's Services,,,Grant payment ,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,45000,,0,SOUTH NORFOLK DISTRICT COUNCIL,,,86765,,,,,,
