ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,13/02/2018,NEIGHBOURHOODS AND ENVIRONMENT,ENTERPRISE MANCHESTER PARTNERSHIP LTD,13/02/2018,£974.00,REFUSE DISPOSAL,V001149382
ROCHDALE BOROUGH COUNCIL,23/02/2018,EARLY HELP AND SCHOOLS,ROSS CARE,23/02/2018,"£7,850.00",EQUIPMENT - GENERAL,V001175807
ROCHDALE BOROUGH COUNCIL,13/02/2018,NEIGHBOURHOODS AND ENVIRONMENT,ENTERPRISE MANCHESTER PARTNERSHIP LTD,13/02/2018,£932.00,REFUSE DISPOSAL,V001180852
ROCHDALE BOROUGH COUNCIL,16/02/2018,ECONOMY DIRECTORATE,GTM ELECTRICAL SERVICES LIMITED,16/02/2018,£900.00,REWIRING AND ELECTRICAL UPGRADES,V001188766
ROCHDALE BOROUGH COUNCIL,07/02/2018,CHILDREN’S SOCIAL CARE,CAMBIAN CHILDCARE LIMITED,07/02/2018,"-£3,428.55",EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001197965
ROCHDALE BOROUGH COUNCIL,02/02/2018,NEIGHBOURHOODS AND ENVIRONMENT,LANES GROUP PLC,02/02/2018,"£1,237.90",EQUIPMENT - GENERAL,V001198191
ROCHDALE BOROUGH COUNCIL,05/02/2018,NEIGHBOURHOODS AND ENVIRONMENT,RIPON FARM SERVICES,05/02/2018,-£781.00,VEHICLE MAINTENANCE,V001199795
ROCHDALE BOROUGH COUNCIL,05/02/2018,EARLY HELP AND SCHOOLS,HALTON BOROUGH COUNCIL,05/02/2018,£675.00,TRAINING-QUALIFICATION,V001202798
ROCHDALE BOROUGH COUNCIL,06/02/2018,ECONOMY DIRECTORATE,MOTT MACDONALD LIMITED,06/02/2018,"£2,581.25",BRIDGES STRUCTURAL WORK,V001203393
ROCHDALE BOROUGH COUNCIL,23/02/2018,PROPERTY AND HIGHWAYS,GROUNDWORK LANDSCAPES LIMITED,23/02/2018,"£12,169.00",TRANSACTIONS-EXPENDITURE,V001205019
