OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,610496,ICT Agency Staff,CENTRAL & CORPORATE,8-Agency Staff,,23/02/2015,,,,,"£57,474.97",,Rullion IT Plus Limited Po Box 47 Trafalgar House ALTRINCHAM  CHESHIRE WA14 1FG,,e) Large,,Steven Bedford,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,123099,Building Security,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,06/02/2015,,,,,"£36,387.51",,MAYFAIR SECURITY Adelaide House Vivars Way  Selby NORTH YORKSHIRE YO8 8BE,,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,HM/2015/0163/5063/0/,Plan and surfacing contract,CITY DEVELOPMENT,,,20/02/2015,,,,,"£477,047.66",,Lafarge Tarmac Trading Limited Po Box 16766 Portland House Bickenhill Lane BIRMINGHAM B37 9DE,,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,HM/2014/0149/1,Speed camera partnership payments,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,05/02/2015,,,,,"£125,022.63",,Kirklees Council Lic Finance Business Support Unit P O Box A4  Civic Centre One HUDDERSFIELD HD1 2NF,,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,610213,Works to Tropical World Aquarium,ENVIRONMENT & HOUSING,,,09/02/2015,,,,,"£21,310.28",,Sustainable Sources Limited Windy Harbour Green Lane Heptonstall HEDBEN BRIDGE HX7 7PD,,Other/Not known,,Michael Kinnaird,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,INV24868,Building works Queens view,STRATEGIC LANDLORD,265-Other Hired And Contracted Services,,03/02/2015,,,,,"£36,300.00",,ARMSTRONG PRIESTLEY LTD 77 Holbeck Lane Holbeck LEEDS LS11 9UL,,d) Medium,,Simon Jarman,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,180,To provide a Warm Homes Service,ENVIRONMENT & HOUSING,293-Grants To Voluntary Organisations,,12/02/2015,,,,,"£10,000.00",,Care & Repair Leeds 323 Roundhay Road NULL LEEDS LS8 4HT,,c) Small,,Tom Knowland,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,428,Theming work at Tropical World,ENVIRONMENT & HOUSING,,,02/02/2015,,,,,"£25,200.00",,DCR Theming 4 Dalmorton Road Chorlton-Cum-Hardy MANCHESTER M21 OYQ,,Other/Not known,,Sean Flesher,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,30079874,Lighting,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,20/02/2015,,,,,"£15,062.16",,ERCO LIGHTING LIMITED 38 Dover Street NULL LONDON W1S 4NL,,c) Small,,Catherine Hall,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,413087,Medical Equipment,LEEDS COMMUNITY EQUIP STORE POOLED BUDGT,203-Operational Furniture And Equipment,,27/02/2015,,,,,"£32,183.30",,FRONTIER THERAPEUTICS LIMITED Newbridge Road Industrial Estate Blackwood SOUTH WALES NP12 2YN,,c) Small,,Gillian Eastwood,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,F00863657,Overseas Tuition Fees,CHILDRENS SERVICES,565-Education Fees/Bursary,,18/02/2015,,,,,"£15,500.00",,LEEDS BECKETT UNIVERSITY Cashiers Office  Room Pd313 City Campus LEEDS LS1 3HE,,Other/Not known,,ROBERT MURRAY,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,20150129/LCC/PL,Metalwork Engineering,CITY DEVELOPMENT,101-Maintenance Of Buildings,,27/02/2015,,,,,"£44,957.65",,G & S PINPLATES AND ENGINEERING LTD City Works Melbourne Street MORLEY    LEEDS LS27 8BG,,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,767,Recruitment Campaign,ADULT SOCIAL CARE,80-Recruitment Advertising,,04/02/2015,,,,,"£14,659.90",,Proventure Consulting Ltd Blackfriars House Parsonage MANCHESTER M3 2JA,,Other/Not known,,Alison Ward,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,2010,Waste Sweeping,ENVIRONMENT & HOUSING,234-Recycling & Reuse Charges,,25/02/2015,,,,,"£19,658.80",,SJB Recycling Limited Mount View Standard Way NORTHALLERTON DL6 2YD,,c) Small,,Ravinder Sambhi,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,8765,Annual music service fee for Rawdon Crematorium.,ENVIRONMENT & HOUSING,205-Operational Materials,,27/02/2015,,,,,"£26,546.97",,The Yaboo Company Ltd 20-22 Station Road NULL KETTERING NN15 7HH,,c) Small,,Andrew Haley,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,5681,"Provision of rink lighting, heating",CITY DEVELOPMENT,203-Operational Furniture And Equipment,,04/02/2015,,,,,"£11,300.00",,ACORN EVENT SOLUTIONS LTD Moor Lane Trading Estate Moxon Way SHERBURN IN ELMET LS25 6ES,,Other/Not known,,Matthew Sims,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,3003268289,Software Maintenance,CENTRAL & CORPORATE,259-Consultancy Services,,19/02/2015,,,,,"£5,700.00",,ACCENTURE (UK) LTD 30 Fenchurch Street NULL LONDON EC3M 3BD,,d) Medium,,Suzanne Hopes,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,FAO JULIE SHELDON,Purchase of property,CITY DEVELOPMENT,,,13/02/2015,,,,,"£36,000.00",,Advantage Property Lawyers Hurley House 1 Dewsbury Road LEEDS LS11 5DQ,,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,9140202,"Learning Resourse Pack
New Rory Resource Pack (with USB",CHILDRENS SERVICES,202-Teaching Materials,,10/02/2015,,,,,"£10,057.83",,Alcohol Focus Scotland 166 Buchanan Street NULL GLASGOW G1 2LW,,Other/Not known,,Carol Nightingale,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,20150115/LCC/PL,Building Works,CENTRAL & CORPORATE,101-Maintenance Of Buildings,,13/02/2015,,,,,"£6,800.00",,Alfred Bagnall & Sons (Leeds) Ltd 6 Manor Lane Shipley BRADFORD BD18 3RD,,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,200062099,Extra Care Provision,ADULT SOCIAL CARE,561-Payments To Voluntary Organisations,,19/02/2015,,,,,"£9,167.48",,ANCHOR TRUST Burnbank House  Balliol Business Park Benton Lane  Longbenton NEWCASTLE UPON TYNE NE12 8EW,,e) Large,,Michelle Atkinson,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,PF00110,Installation of Screens,CITY DEVELOPMENT,108-Maintenance Of Traffic Signals,,13/02/2015,,,,,"£13,677.43",,Ng Bailey Facilities Services Limited Denton Hall NULL ILKLEY LS29 0HH,,e) Large,,RICHARD TALLANT,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,103107331,Supported Lodgings,CHILDRENS SERVICES,505-Services Rendered By Voluntary Sector,,16/02/2015,,,,,"£7,500.00",,BARNARDOS FUTURES Finance Department   Barnardos Four Gables  Clarence Road HORSFORTH  LEEDS LS18 4LB,,e) Large,,Sarah Johal,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,203103811,Supported Lodgings,CHILDRENS SERVICES,505-Services Rendered By Voluntary Sector,,06/02/2015,,,,,"£18,833.33",,BARNARDO SERVICES LTD 'Four Gables' Clarence Road Horsforth LEEDS LS18 4LB,,e) Large,,Helen Thomas,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,1340819,Audit fee for ALMO's,STRATEGIC LANDLORD,261-External Audit Fees,,06/02/2015,,,,,"£10,500.00",,"Bdo Llp Central Finance Team, 2 City Place Beehive Ring Road GATWICK RH6 0PA",,e) Large,,Cliff Allsopp,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,203,Snowtubing Slope ,CITY DEVELOPMENT,203-Operational Furniture And Equipment,,04/02/2015,,,,,"£19,950.00",,Bennet Enterprises Ltd Unit 7 Ball Mill Top Business Park Hallow WORCESTER WR2 6LS,,b) Micro,,Matthew Sims,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,L11908,Decorating,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,23/02/2015,,,,,"£7,429.20",,BELL GROUP UK Bell Business Park Rochsolloch Road AIRDRIE ML6 9BG,,e) Large,,,Other
