ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,06/11/2017,NEIGHBOURHOODS AND ENVIRONMENT,WARRINGTON TRUCK PARTS LTD,06/11/2017,£967.59,VEHICLE MAINTENANCE,V001114150
ROCHDALE BOROUGH COUNCIL,17/11/2017,PHYSICAL DIS & OLDER PEOPLE,JENKINSON OFFICE SUPPLIES,17/11/2017,"£3,027.02",PURCHASE OF FURNITURE AND EQUIPMENT,V001124005
ROCHDALE BOROUGH COUNCIL,20/11/2017,NEIGHBOURHOODS AND ENVIRONMENT,INTEGRATED DESIGN LTD,20/11/2017,"£2,269.67",PROPERTY - WORKS ELEMENT,V001155224
ROCHDALE BOROUGH COUNCIL,29/11/2017,PUBLIC HEALTH,BOLTON NHS FOUNDATION TRUST,29/11/2017,£736.00,PH OTHER CONTRACTS,V001161405
ROCHDALE BOROUGH COUNCIL,03/11/2017,ECONOMY DIRECTORATE,CRAGG MANAGEMENT SERVICES LTD,03/11/2017,"£9,800.00",CONDITION SURVEYS,V001164271
ROCHDALE BOROUGH COUNCIL,01/11/2017,NEIGHBOURHOODS AND ENVIRONMENT,WLG LTD,01/11/2017,"£2,467.84",CATERING - GENERAL,V001166062
ROCHDALE BOROUGH COUNCIL,01/11/2017,NEIGHBOURHOODS AND ENVIRONMENT,WLG LTD,01/11/2017,"£1,262.39",CATERING - GENERAL,V001166066
ROCHDALE BOROUGH COUNCIL,01/11/2017,NEIGHBOURHOODS AND ENVIRONMENT,WLG LTD,01/11/2017,"£2,059.42",CATERING - GENERAL,V001166067
ROCHDALE BOROUGH COUNCIL,13/11/2017,PHYSICAL DIS & OLDER PEOPLE,THE PENNINE ACUTE HOSPITALS NHS TRUST,13/11/2017,"£4,966.55",AGENCY STAFF,V001166695
ROCHDALE BOROUGH COUNCIL,17/11/2017,NEIGHBOURHOODS AND ENVIRONMENT,DENNIS EAGLE LTD,17/11/2017,"£151,148.99",PURCHASE OF VEHICLES,V001169234
ROCHDALE BOROUGH COUNCIL,17/11/2017,NEIGHBOURHOODS AND ENVIRONMENT,DENNIS EAGLE LTD,17/11/2017,£505.01,EQUIPMENT - GENERAL,V001169234
ROCHDALE BOROUGH COUNCIL,30/11/2017,NEIGHBOURHOODS AND ENVIRONMENT,STAR TRAQ,30/11/2017,"£2,150.00",EQUIPMENT - GENERAL,V001169836
ROCHDALE BOROUGH COUNCIL,01/11/2017,ECONOMY DIRECTORATE,BLOOM PROCUREMENT SERVICES LTD,01/11/2017,"£69,133.00",CONSULTANT FEES,V001173029
ROCHDALE BOROUGH COUNCIL,03/11/2017,EARLY HELP AND SCHOOLS,NEWMARK CARE LTD,03/11/2017,£528.00,HOME CARE - CHILDRENS SERVICES,V001173135
ROCHDALE BOROUGH COUNCIL,01/11/2017,NEIGHBOURHOODS AND ENVIRONMENT,CORPS,01/11/2017,£839.20,SECURITY,V001173291
ROCHDALE BOROUGH COUNCIL,10/11/2017,RESOURCES,MANCHESTER CITY COUNCIL,10/11/2017,"£372,967.59",PROFESSIONAL FEES,V001174818
ROCHDALE BOROUGH COUNCIL,10/11/2017,RESOURCES,MANCHESTER CITY COUNCIL,10/11/2017,"£1,264.91",WAGES OVERTIME,V001174818
ROCHDALE BOROUGH COUNCIL,03/11/2017,EARLY HELP AND SCHOOLS,WIGAN BOROUGH COUNCIL,03/11/2017,£540.48,OTHER EST - SEN PROVISION,V001175783
ROCHDALE BOROUGH COUNCIL,09/11/2017,PHYSICAL DIS & OLDER PEOPLE,ROSS CARE,09/11/2017,"£2,500.00",STREET LIGHTING,V001176338
ROCHDALE BOROUGH COUNCIL,01/11/2017,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,01/11/2017,"£3,189.42",EQUIPMENT - GENERAL,V001176672
ROCHDALE BOROUGH COUNCIL,06/11/2017,PUBLIC HEALTH,PENNINE CARE NHS,06/11/2017,"£327,779.00",PH PENNINE CARE CONTRACT,V001177754
ROCHDALE BOROUGH COUNCIL,29/11/2017,NEIGHBOURHOODS AND ENVIRONMENT,BALMERS GM LTD,29/11/2017,£636.00,EQUIPMENT - GENERAL,V001177786
ROCHDALE BOROUGH COUNCIL,02/11/2017,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,02/11/2017,"£4,376.83",HEALTH AUTH - SERVICE LEVEL AGREEMENT,V001177840
ROCHDALE BOROUGH COUNCIL,02/11/2017,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,02/11/2017,£720.75,TEACHERS - BASIC,V001177846
ROCHDALE BOROUGH COUNCIL,02/11/2017,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,02/11/2017,"£2,978.00",TEACHERS - BASIC,V001177854
ROCHDALE BOROUGH COUNCIL,01/11/2017,EARLY HELP AND SCHOOLS,DEEPLISH ACADEMY,01/11/2017,"£4,268.00",RENTS,V001177855
ROCHDALE BOROUGH COUNCIL,03/11/2017,BETTER CARE FUND POOLED BUDGET,THE STROKE ASSOCIATION,03/11/2017,"£2,258.08",VOLUNTARY ASSOCIATIONS,V001177856
ROCHDALE BOROUGH COUNCIL,01/11/2017,PROPERTY AND HIGHWAYS,TRANSPORT FOR GREATER MANCHESTER,01/11/2017,"£1,000.00",SUPPLIES,V001177951
ROCHDALE BOROUGH COUNCIL,01/11/2017,EARLY HELP AND SCHOOLS,DEEPLISH ACADEMY,01/11/2017,£582.75,REPAIRS & ALTS OF BUILDINGS,V001177987
ROCHDALE BOROUGH COUNCIL,07/11/2017,EARLY HELP AND SCHOOLS,OLDHAM COUNCIL,07/11/2017,"£9,718.00",OTHER EST - SEN PROVISION,V001177990
ROCHDALE BOROUGH COUNCIL,07/11/2017,EARLY HELP AND SCHOOLS,OLDHAM COUNCIL,07/11/2017,"£20,920.00",OTHER EST - SEN PROVISION,V001177991
ROCHDALE BOROUGH COUNCIL,06/11/2017,PUBLIC HEALTH,UNIVERSITY OF BIRMINGHAM,06/11/2017,£650.00,TRAINING-NON QUALIFICATION,V001178121
ROCHDALE BOROUGH COUNCIL,07/11/2017,EARLY HELP AND SCHOOLS,HOPWOOD HALL COLLEGE,07/11/2017,"£1,666.00",TRAINING-QUALIFICATION,V001178127
ROCHDALE BOROUGH COUNCIL,07/11/2017,EARLY HELP AND SCHOOLS,HOPWOOD HALL COLLEGE,07/11/2017,"£3,330.00",TRAINING-QUALIFICATION,V001178128
ROCHDALE BOROUGH COUNCIL,07/11/2017,EARLY HELP AND SCHOOLS,HOPWOOD HALL COLLEGE,07/11/2017,"£1,666.00",TRAINING-QUALIFICATION,V001178130
ROCHDALE BOROUGH COUNCIL,07/11/2017,EARLY HELP AND SCHOOLS,HOPWOOD HALL COLLEGE,07/11/2017,"£1,666.00",TRAINING-QUALIFICATION,V001178141
ROCHDALE BOROUGH COUNCIL,10/11/2017,PROPERTY AND HIGHWAYS,DDH FABRICATIONS LTD,10/11/2017,£720.00,TRANSACTIONS-EXPENDITURE,V001178295
ROCHDALE BOROUGH COUNCIL,03/11/2017,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,03/11/2017,"£12,630.63",OTHER LA`S - SEN PROVISION,V001178505
ROCHDALE BOROUGH COUNCIL,08/11/2017,RESOURCES,CAPITA BUSINESS SERVICES LIMITED,08/11/2017,"£11,500.00",SOFTWARE,V001178506
ROCHDALE BOROUGH COUNCIL,03/11/2017,RESOURCES,ROYAL MAIL GROUP PLC,03/11/2017,"£1,924.78",POSTAGE,V001178510
ROCHDALE BOROUGH COUNCIL,03/11/2017,NEIGHBOURHOODS AND ENVIRONMENT,VODAFONE LTD,03/11/2017,"£2,348.69",TELEPHONE EXPENDITURE,V001178516
