Ratepayer Name,Property Address,PROPREF,RV
,"5 Waterloo Road, Brighouse, HD6 2AN",29008002,3650
Eclipse Specialist Cars Ltd,"Armytage Road, Brighouse, HD6 1PT",29020705,10500
,"Armytage Road, Brighouse, HD6 1UQ",29020714,1525
,"Beckside Works, Armytage Road, Brighouse, HD6 1PH",29020720,2550
,"Arthur Street, Brighouse, HD6 1PY",29028701,2950
Rapid Fire Extinguishers Ltd,"2 Atlas Mill Road, Brighouse, HD6 1ES",29032002,3350
,"4 Atlas Mill Road, Brighouse, HD6 1ES",29032005,3800
,"Atlas Mill Road, Brighouse, HD6 1ES",29032702,4000
C F S (Brighouse) Ltd,"Atlas Mill Road, Brighouse, HD6 1ES",29032704,1900
,"Atlas Mill Road, Brighouse, HD6 1ES",29032712,4900
,"Unit 6 Atlas Mill, Atlas Mill Road, Brighouse, HD6 1ES",29032721,1825
,"Unit 1, Atlas Mill Road, Brighouse, HD6 1ES",29032724,3000
,"Unit 7 Atlas Mill, Atlas Mill Road, Brighouse, HD6 1ES",29032725,4900
,"Unit 5 Atlas Mill, Atlas Mill Road, Brighouse, HD6 1ES",29032731,5500
,"Unit J, Atlas Mill Road, Brighouse, HD6 1ES",29032734,2250
Food 4 Thought Catering Ltd,"Unit 1, Atlas Mill Road, Brighouse, HD6 1ES",29032739,6400
,"Unit 1A, Atlas Mill Road, Brighouse, HD6 1ES",29032740,5800
,"Adj 8 Austin Avenue, Brighouse, HD6 2EY",29036700,2350
,"7 Bethel Street, Brighouse, HD6 1JR",29048007,7900
Pear Trees Food Services Limited,"9 Bethel Street, Brighouse, HD6 1JR",29048009,6800
Simply Sweets (Brighouse) Ltd,"11 Bethel Street, Brighouse, HD6 1JR",29048011,5700
,"14 Bethel Street, Brighouse, HD6 1JN",29048014,4650
,"18 Bethel Street, Brighouse, HD6 1JN",29048016,5700
,"Part Fairway House, 20 Bethel Street, Brighouse, HD6 1JN",29048020,6100
,"21 Bethel Street, Brighouse, HD6 1JR",29048021,7600
J.R.C Trading Ltd,"24 Bethel Street, Brighouse, HD6 1JN",29048024,10000
Ryecorn Wholefoods Ltd,"33 Bethel Street, Brighouse, HD6 1JR",29048033,8100
,"39 Bethel Street, Brighouse, HD6 1JR",29048039,4150
,"41 Bethel Street, Brighouse, HD6 1JR",29048041,4150
,"43 Bethel Street, Brighouse, HD6 1JR",29048043,8600
,"51 Bethel Street, Brighouse, HD6 1JR",29048051,5200
,"53 Bethel Street, Brighouse, HD6 1JR",29048053,8500
,"57 Bethel Street, Brighouse, HD6 1JR",29048057,6600
,"10 Bethel Street, Brighouse, HD6 1JN",29048702,7800
,"31 Bethel Street, Brighouse, HD6 1JR",29048704,6100
,"Rooms 1 & 2, 47 Bethel Street, Brighouse, HD6 1JR",29048710,3400
,"Rooms 6 & 6A, 47 Bethel Street, Brighouse, HD6 1JR",29048711,2750
,"Adj 27 Bethel Street, Brighouse, HD6 1JR",29048715,4150
,"16 Bethel Street, Brighouse, HD6 1JN",29048723,4900
,"Fairway House, 20 Bethel Street, Brighouse, HD6 1JN",29048728,9700
,"Rooms 3 & 4, 37 Bethel Street, Brighouse, HD6 1JR",29048737,2275
,"7 Birds Royd Lane, Brighouse, HD6 1LQ",29052007,4050
,"45 Birds Royd Lane, Brighouse, HD6 1NG",29052045,4450
,"95 Birds Royd Lane, Brighouse, HD6 1NG",29052095,3550
R H & G Travis & Sons Ltd,"1a Birds Royd Lane, Brighouse, HD6 1LQ",29052713,5000
Pentaplex Ltd,"Part Ground Floor, Royds House, Birds Royd Lane, Brighouse           HD6 1LQ",29052722,2025
,"Princess Works, Birds Royd Lane, Brighouse, HD6 1LH",29052730,3100
Hepworth International Ltd,"Princess Works, Birds Royd Lane, Brighouse, HD6 1LH",29052733,5600
,"Office 2 Ground Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH",29052736,2950
Trinity Property Maintenance Ltd,"3C Heywoods Industrial Park, Birds Royd Lane, Brighouse, HD6 1LQ",29052743,7500
Little Pie Company Ltd,"3B Heywoods Industrial Park, Birds Royd Lane, Brighouse, HD6 1LQ",29052744,8700
,"Office 1 Ground Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH",29052748,920
Impetus Technologies Ltd,"Unit 3A, Heywoods Industrial Park, Birds Royd Lane, Brighouse            HD6 1NA",29052755,11000
,"Unit 3D, Heywoods Industrial Park, Birds Royd Lane, Brighouse            HD6 1NA",29052756,4700
Parking Ventilation Equipment Ltd,"Unit 5, Prince Of Wales Mill, Birds Royd Lane, Brighouse            HD6 1LQ",29052760,9600
Bailiff Bridge Bowling Club,"Bailiff Bridge Bowling Club, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4EN",29056728,710
B D Smith & Co,"25 Bonegate Road, Brighouse, HD6 1TQ",29064025,3400
Nature Cameras Ltd,"3b Bonegate Road, Brighouse, HD6 1TQ",29064702,5800
,"3A Bonegate Road, Brighouse, HD6 1TQ",29064704,3150
,"2 Bracken Road, Brighouse, HD6 2HW",29078002,470
,"11 Bradford Road, Brighouse, HD6 1RW",29080011,11000
,"15 Bradford Road, Brighouse, HD6 1RW",29080013,9900
H.Marsden (Brighouse) Ltd,"17 Bradford Road, Brighouse, HD6 1RW",29080017,8200
,"19 Bradford Road, Brighouse, HD6 1RW",29080019,11000
,"21 Bradford Road, Brighouse, HD6 1RW",29080021,11000
,"23 Bradford Road, Brighouse, HD6 1RW",29080023,2100
,"27 Bradford Road, Brighouse, HD6 1RW",29080027,4950
,"30 Bradford Road, Brighouse, HD6 1RW",29080030,9000
,"32 Bradford Road, Brighouse, HD6 1RW",29080032,6600
,"36 Bradford Road, Brighouse, HD6 1RW",29080036,8700
Yibp Uk Ltd,"1ST Floor, 46 Bradford Road, Brighouse, HD6 1RY",29080046,7900
,"78 Bradford Road, Brighouse, HD6 4AA",29080078,3550
Angel Wings Homecare Ltd,"128 Bradford Road, Brighouse, HD6 4AU",29080128,2550
,"141/143 Bradford Road, Brighouse, HD6 4AD",29080141,7100
,"145 Bradford Road, Brighouse, HD6 4AD",29080145,2400
,"147 Bradford Road, Brighouse, HD6 4AS",29080147,3250
,"159 Bradford Road, Brighouse, HD6 4AS",29080159,3700
,"229 Bradford Road, Brighouse, HD6 4BN",29080229,4950
,"255 Bradford Road, Brighouse, HD6 4BN",29080255,8300
Bailiff Bridge Cafe Ltd,"611 Bradford Road, Brighouse, HD6 4DN",29080611,6300
,"613 Bradford Road, Brighouse, HD6 4DN",29080613,4200
,"Bradford Road, Brighouse, HD6 1RY",29080700,7200
George Olivia Pub Co Ltd,"The Beck, 157 Bradford Road, Brighouse, HD6 4AS",29080720,10400
,"63 Bradford Road, Brighouse, HD6 1RS",29080771,4500
