Department Family,Entity,Date,Expenses Type,Expense Area,Supplier,Transaction Number, Total ,
Department of Health,The Christie NHS Foundation Trust,23/11/2017,Drugs,011 Drugs,ALCURA UK LIMITED,0000568132," £95,358.22 ",
Department of Health,The Christie NHS Foundation Trust,23/11/2017,Drugs,011 Drugs,ALCURA UK LIMITED,0000566824," £63,762.92 ",
Department of Health,The Christie NHS Foundation Trust,23/11/2017,Drugs,011 Drugs,ALCURA UK LIMITED,0000567038," £465,003.46 ",
Department of Health,The Christie NHS Foundation Trust,30/11/2017,Drugs,011 Drugs,ALCURA UK LIMITED,0000568159,"-£596,362.52 ",
Department of Health,The Christie NHS Foundation Trust,30/11/2017,Drugs,011 Drugs,ALCURA UK LIMITED,0000566823," £2,830,471.34 ",
Department of Health,The Christie NHS Foundation Trust,16/11/2017,PET Scans - Sep 17,14 Christie Medical Physics,ALLIANCE MEDICAL LTD,0000565045," £170,040.00 ",
Department of Health,The Christie NHS Foundation Trust,09/11/2017,Drugs,14 Christie Medical Physics,ALLIANCE MEDICAL RADIOPHARMACY LIMITED,0000566411," £40,577.76 ",
Department of Health,The Christie NHS Foundation Trust,30/11/2017,Drugs,14 Christie Medical Physics,ALLIANCE MEDICAL RADIOPHARMACY LIMITED,0000567429," £27,615.42 ",
Department of Health,The Christie NHS Foundation Trust,02/11/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,0000564930," £398,782.68 ",
Department of Health,The Christie NHS Foundation Trust,09/11/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,0000566014," £28,914.48 ",
Department of Health,The Christie NHS Foundation Trust,09/11/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,0000566015," £28,686.00 ",
Department of Health,The Christie NHS Foundation Trust,09/11/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,0000566032," £395,698.62 ",
Department of Health,The Christie NHS Foundation Trust,16/11/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,0000566009," £417,935.41 ",
Department of Health,The Christie NHS Foundation Trust,23/11/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,0000566688," £402,658.03 ",
Department of Health,The Christie NHS Foundation Trust,30/11/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,0000568188," £379,132.57 ",
Department of Health,The Christie NHS Foundation Trust,30/11/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,0000568194," £461,997.88 ",
Department of Health,The Christie NHS Foundation Trust,30/11/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,0000568196,"-£27,341.86 ",
Department of Health,The Christie NHS Foundation Trust,30/11/2017,Drugs,011 Drugs,BAXTER HEALTHCARE LTD,0000569021," £336,207.60 ",
Department of Health,The Christie NHS Foundation Trust,09/11/2017,PET Scans - Sep 17,14 Christie Medical Physics,CENTRAL MCR  UNIV HOSP NHS FOUNDATION TR,0000566165," £105,708.00 ",
Department of Health,The Christie NHS Foundation Trust,16/11/2017,Software Licences,06 Finance & Business Development,COOLSPIRIT LTD,0000566691," £29,404.69 ",
Department of Health,The Christie NHS Foundation Trust,16/11/2017,Medical Equipment Maintenance Contract,01 Cancer Centre Services,CPP FACILITIES LLP,0000566235," £218,870.86 ",
Department of Health,The Christie NHS Foundation Trust,16/11/2017,Medical Equipment Maintenance Contract,01 Cancer Centre Services,CPP FACILITIES LLP,0000566238,"-£207,428.12 ",
Department of Health,The Christie NHS Foundation Trust,16/11/2017,Medical Equipment Maintenance Contract,01 Cancer Centre Services,CPP FACILITIES LLP,0000566233," £231,264.49 ",
Department of Health,The Christie NHS Foundation Trust,16/11/2017,Medical Equipment Maintenance Contract,01 Cancer Centre Services,CPP FACILITIES LLP,0000566234," £237,572.32 ",
Department of Health,The Christie NHS Foundation Trust,16/11/2017,Medical Equipment Maintenance Contract,01 Cancer Centre Services,CPP FACILITIES LLP,0000566237,"-£207,428.12 ",
