Body Name,Body,Service Label    ,Service Code,Service Division Label,Service Division Code,Organisational Unit,Expenditure Category,Expenditure Code,CIPFA Detailed Expenditure Type,CIPFA Detailed Expenditure Code,Date,Transaction Number,Net Amount, Capital and Revenue,Supplier Name,Supplier_ID
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Corp and Dem,1A7,Corporate Management,1701,Resources and Enabling,Supplies and Services,1701/34003,Audit Fee,34003,11/04/2017,inv0038408,10456.50,General Fund,KPMG LLP,26988
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Corp and Dem,1A7,Corporate Management,1701,Resources and Enabling,Supplies and Services,1701/34002,Consultants,34002,11/04/2017,inv0038416,1295.00,General Fund,L G Futures,18555
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Corp and Dem,1A7,Democratic Rep and Management,1702,Environment,Supplies and Services,1711/30203,Furniture/Office Equipment-Rentals,30203,11/04/2017,inv0038239,13.16,General Fund,Telefonica O2 UK Limited,17265
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Non Distrib,1A8,Non Distributed Costs,1802,Resources and Enabling,Employees,1802/05021,Pensions-Early Retirement strain on fund,05021,11/04/2017,inv0038423,46726.45,General Fund,North Yorkshire County Council,17406
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038299,1000.00,General Fund,Acklam Parish Meeting,17228
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038300,1200.00,General Fund,Aislaby Middleton & Wrelton Parish Counl,17231
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038301,2250.00,General Fund,Allerston & Wilton PC,17544
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038302,2350.00,General Fund,Amotherby Parish Council,17233
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038303,8000.00,General Fund,Ampleforth Parish Council,17235
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038304,510.00,General Fund,Appleton-Le-Moors Parish Council,17237
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038306,575.00,General Fund,Barton Le Willows Parish Council,17248
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038308,1120.00,General Fund,Beadlam Parish Council,17252
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038310,750.00,General Fund,Broughton Parish Meeting,18705
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038311,884.50,General Fund,Bulmer Parish Council,17267
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038312,850.00,General Fund,Burythorpe Parish Council,17268
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038315,2394.50,General Fund,Claxton & Sand Hutton P C,17281
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038317,3000.00,General Fund,Ebberston with Yedingham PC,17301
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038319,1520.50,General Fund,Flaxton Parish Council,17309
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038320,1250.00,General Fund,Foston & Thornton-le-Clay Parish Counci,17687
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038321,1620.00,General Fund,Foxholes with Butterwick Parish Council,17312
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038322,1000.00,General Fund,Ganton with Potter Brompton P Council,17315
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038323,950.00,General Fund,Gate & Upper Helmsley PC,17317
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038325,900.00,General Fund,Gilling East P C,17321
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038327,3000.00,General Fund,Harome Parish Council,17329
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038329,42500.00,General Fund,Helmsley Town Council,17337
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038330,1744.00,General Fund,Heslerton Parish Council,17338
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038331,3008.50,General Fund,Hovingham With Scackleton P Council,17347
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038332,2453.00,General Fund,Hutton Le Hole P C,17350
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038333,1400.00,General Fund,Huttons Ambo P C,17351
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Other Oprtng,1B9,Central Services  Other Oprtng,1901,Corporate Management,Agency and Contracted Services,1901/47002,Precept,47002,11/04/2017,inv0038334,750.00,General Fund,Kirby Grindalythe P C,17370
