Year,Ward code,Borough,Ward,Candidate rank,Name/Elected,Party,Votes,Elected
2010,00ABFX,Barking and Dagenham,Abbey,1,"Butt, Laila",Lab,"3,412",Elected
2010,00ABFX,Barking and Dagenham,Abbey,2,"Hussain, Manzoor",Lab,"3,139",Elected
2010,00ABFX,Barking and Dagenham,Abbey,3,"Saeed, Tariq",Lab,"3,122",Elected
2010,00ABFX,Barking and Dagenham,Abbey,4,"Taylor, John W.",Cons,671,
2010,00ABFX,Barking and Dagenham,Abbey,5,"Iqbal, Mohammed C.",Cons,650,
2010,00ABFX,Barking and Dagenham,Abbey,6,"Gomes, Anthony",Lib Dem,603,
2010,00ABFX,Barking and Dagenham,Abbey,7,"Rahman, Shahidur",Cons,546,
2010,00ABFX,Barking and Dagenham,Abbey,8,"Tunney, Brian J.",BNP,326,
2010,00ABFX,Barking and Dagenham,Abbey,9,"Parvaj, Zakir",Ind,72,
2010,00ABFY,Barking and Dagenham,Alibon,1,"Rodwell, Darren",Lab,"2,245",Elected
2010,00ABFY,Barking and Dagenham,Alibon,2,"Davis, John",Lab,"2,135",Elected
2010,00ABFY,Barking and Dagenham,Alibon,3,"Alasia, Sanchia",Lab,"1,995",Elected
2010,00ABFY,Barking and Dagenham,Alibon,4,"Bailey, Robert W.",BNP,"1,209",
2010,00ABFY,Barking and Dagenham,Alibon,5,"Cardy, Gavin",BNP,"1,111",
2010,00ABFY,Barking and Dagenham,Alibon,6,"De Santis, Guiseppe",BNP,977,
2010,00ABFY,Barking and Dagenham,Alibon,7,"Patten, Vivian",Cons,687,
2010,00ABFY,Barking and Dagenham,Alibon,8,"Ryder, Richard D.",Lib Dem,529,
2010,00ABFZ,Barking and Dagenham,Becontree,1,"Carpenter, Evelyn",Lab,"2,444",Elected
2010,00ABFZ,Barking and Dagenham,Becontree,2,"Douglas, Rob",Lab,"2,387",Elected
2010,00ABFZ,Barking and Dagenham,Becontree,3,"Ogungbose, James",Lab,"2,171",Elected
2010,00ABFZ,Barking and Dagenham,Becontree,4,"Matthews, Terence",BNP,"1,038",
2010,00ABFZ,Barking and Dagenham,Becontree,5,"King, Patrice",Cons,759,
2010,00ABFZ,Barking and Dagenham,Becontree,6,"Arawwawala, Roshan",Cons,614,
2010,00ABFZ,Barking and Dagenham,Becontree,7,"Watson, Chris",Lib Dem,584,
2010,00ABFZ,Barking and Dagenham,Becontree,8,"Agrawal, Alok",Ind,375,
2010,00ABFZ,Barking and Dagenham,Becontree,9,"Lowe, Corinne A.",Ind,268,
2010,00ABFZ,Barking and Dagenham,Becontree,10,"Lowe, Rick",Ind,252,
2010,00ABFZ,Barking and Dagenham,Becontree,11,"Watson, Paula D.",CP,192,
2010,00ABFZ,Barking and Dagenham,Becontree,12,"Ralph, Robert",CP,191,
2010,00ABFZ,Barking and Dagenham,Becontree,13,"Conway, Benjamin D.",CP,179,
2010,00ABGA,Barking and Dagenham,Chadwell Heath,1,"Mckenzie, Milton",Lab,"1,984",Elected
2010,00ABGA,Barking and Dagenham,Chadwell Heath,2,"Wade, Jeff",Lab,"1,818",Elected
2010,00ABGA,Barking and Dagenham,Chadwell Heath,3,"Tarry, Sam",Lab,"1,785",Elected
2010,00ABGA,Barking and Dagenham,Chadwell Heath,4,"Justice, Terry",Cons,"1,411",
2010,00ABGA,Barking and Dagenham,Chadwell Heath,5,"Justice, Maire",Cons,"1,306",
2010,00ABGA,Barking and Dagenham,Chadwell Heath,6,"Gough, Cathal",Cons,"1,121",
