Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/06/2017,BTN42984,,"Homeless Hostel, or other temp accommodation for Single Homeless with Support Needs",,COMMUNITIES,,,"Homeless Hostel, or other temp accommodation for Single Homeless with Support Needs",HOUSING-RELATED & FLOATING SUPPORT,,,,,19/07/2010,31/12/2017,,31/12/2017,504485,Estimated,,ACCESS COMMUNITY TRUST,7140266,,1122760,,Y,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/06/2017,BPN48538,,Sheltered housing for Older people with support needs,,COMMUNITIES,,,Sheltered housing for Older people with support needs,HOUSING-RELATED & FLOATING SUPPORT,,,,,04/01/2016,31/12/2019,,31/12/2019,86577,Estimated,,Anchor Trust,,,66100,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/06/2017,BPN43949,,Sheltered housing for Older people with support needs,,COMMUNITIES,,,Sheltered housing for Older people with support needs,HOUSING-RELATED & FLOATING SUPPORT,,,,,01/05/2016,31/03/2018,,31/03/2018,458880,Estimated,,British Red Cross,,,81145,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/06/2017,BTN42986,,Supported housing for Young People at Risk & Teenage parents,,COMMUNITIES,,,Supported housing for Young People at Risk & Teenage parents,HOUSING-RELATED & FLOATING SUPPORT,,,,,01/09/2012,31/08/2017,,31/08/2017,1700560,Estimated,,BRITISH RED CROSS,,,81145,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/06/2017,BPN48539,,Sheltered housing for Older people with support needs,,COMMUNITIES,,,Sheltered housing for Older people with support needs,HOUSING-RELATED & FLOATING SUPPORT,,,,,04/01/2016,31/12/2019,,31/12/2019,245224,Estimated,,Broadland Housing Association,IP16274R,,66871,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/06/2017,BPN48540,,Sheltered housing for Older people with support needs,,COMMUNITIES,,,Sheltered housing for Older people with support needs,HOUSING-RELATED & FLOATING SUPPORT,,,,,04/01/2016,28/02/2018,,28/02/2018,388538,Estimated,,Circle Support,,,1038761,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/06/2017,BPN48541,,Sheltered housing for Older people with support needs,,COMMUNITIES,,,Sheltered housing for Older people with support needs,HOUSING-RELATED & FLOATING SUPPORT,,,,,04/01/2016,28/02/2018,,28/02/2018,384784,Estimated,,Circle Support,,,1038761,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/06/2017,BTN42990,,Sheltered housing for Older people with support needs,,COMMUNITIES,,,Sheltered housing for Older people with support needs,HOUSING-RELATED & FLOATING SUPPORT,,,,,04/01/2016,31/12/2019,,31/12/2019,170489,Estimated,,COTMAN HOUSING ASSOCIATION LIMITED,IP19473R,,67734,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/06/2017,BTN42991,,Floating/ outreach support for Older people with support needs,,COMMUNITIES,,,Floating/ outreach support for Older people with support needs,HOUSING-RELATED & FLOATING SUPPORT,,,,,09/07/2012,31/08/2017,,31/08/2017,668351,Estimated,,COTMAN HOUSING ASSOCIATION LIMITED,IP19473R,,67734,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/06/2017,BPN48989,,Supported housing for Young People at Risk,,COMMUNITIES,,,Supported housing for Young People at Risk,HOUSING-RELATED & FLOATING SUPPORT,,,,,01/04/2016,31/12/2017,,31/12/2017,365893,Estimated,,Empanda Care and Support Ltd C.I.C.,,,2113943,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
