Reference Number,Titile of Agreement,Department Responsible,Description of Goods and/or Services,Supplier,Total Contract Value,Start Date,End Date,End Date (including extension),Review Date,Award Method,SME?
700379,SWIFT Catalyst Residential/Nursing And Day Care,Adults and Communities,Residential & Nursing Care,Catalyst,"£8,563,191.85",01/04/2001,31/03/2026,,30/06/2025,ITT,N/A
5000000040,Leisure Partnership,Adults and Communities,Provision of leisure services in the borough - Service Contract,Greenwich Leisure Limited (GLL),"£15,000,000.00",01/01/2003,31/12/2017,,31/03/2017,ITT,N/A
5000001591,Stonegrove Legal Advice,Re,Legal advice on PDA and CPO,Nabbarro,"£152,036.00",20/01/2003,31/03/2018,,30/06/2017,ITT,N/A
701036,Development Agreement,Adults and Communities,Development Agreement,Notting Hill Housing,"£322,120.26",31/03/2003,31/03/2016,,30/06/2015,Other,N/A
5000000693,PFI Street Lighting,Street Scene,Provision and maintenance of borough street lighting,Barnet Lighting Services,"£62,500,000.00",01/09/2004,29/04/2031,,29/07/2030,ITT,N/A
5000000732,Brent Cross/Cricklewood Valuation Advice,Re,Advice for  Principal Development Negotiations- Brent Cross ,CBRE,"£125,000.00",31/07/2007,30/06/2027,,30/09/2026,ITT,N/A
5000004323,T&H Legal Support For The Pscip Programme,CSG,Legal services for the PSCIP programme,Trowers & Hamlins Llp,"£165,000.00",01/08/2007,07/11/2016,,07/02/2016,ITT,N/A
5000002228,Library Rfid Systems,CSG,Libraries RFID system and maintenance,SCC,"£72,000.00",18/12/2007,03/04/2014,,03/07/2013,ITT,N/A
700355,SWIFT Goodwin Court,Adults and Communities,Extra Care,Sanctuary Housing Association,"£481,365.16",01/06/2008,31/05/2018,,31/08/2017,ITT,N/A
5000000152,Non-Life Insurance - Property And Pecuniary Risks,Commissioning Group,Property (incl Leasehold Property Household Buildings) and Miscellaneous Insurance ,Zurich Municipal,"£1,283,000.00",01/10/2008,31/03/2015,,30/06/2014,ITT,N/A
5000000696,Directorate Vehicle Fleet,Street Scene,Directorate Vehicle Fleet,Go Plant Ltd ,"£35,000,000.00",04/10/2008,03/10/2018,,03/01/2018,ITT,N/A
700341,SWIFT Wood Court,Adults and Communities,Extra Care ,Metropolitan Support Trust,"£321,824.06",07/10/2008,05/10/2014,,05/01/2014,ITT,N/A
5000000806,Vubis,CSG,Prime Library management software to include subscription to Aquabrowser etc.,Infor Library And Information Solutions,"£360,500.00",28/11/2008,27/11/2015,,27/02/2015,ITT,N/A
5000002217,"Supply, Delivery And Installation Of Office Furniture",CSG,Provision of space planning and furniture supply for the Accommodation Project,Wagstaff Interiors Group,"£800,000.00",16/01/2009,31/03/2014,,30/06/2013,ITT,N/A
