Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Purchase Invoice Number
Department of Health,Portsmouth Hospitals Trust,05/05/2016 17:09,Limbs,LIMBS,HUGH STEEPER LTD,18435473,118259.07,SIN1603PR029473
Department of Health,Portsmouth Hospitals Trust,05/05/2016 17:09,Limbs,LIMBS,HUGH STEEPER LTD,18593302,104191.25,SIN1604PR038716
Department of Health,Portsmouth Hospitals Trust,03/05/2016 17:11,Computer Software/License,ICT OPERATIONS,GB GROUP PLC,18647523,53000,183941
Department of Health,Portsmouth Hospitals Trust,03/05/2016 19:43,Equip Maint Contracts,BREAST SCREENING,NHS SUPPLY CHAIN,18654315,75226.83,2017000711
Department of Health,Portsmouth Hospitals Trust,04/05/2016 19:35,Independent Sector,Urgent Care Centre,SOUTH EAST HAMPSHIRE ALLIANCE LTD,18685680,32965,190
Department of Health,Portsmouth Hospitals Trust,04/05/2016 19:35,Independent Sector,Urgent Care Centre,SOUTH EAST HAMPSHIRE ALLIANCE LTD,18685683,35890,191
Department of Health,Portsmouth Hospitals Trust,04/05/2016 19:35,Legal / Prof Fees,DIRECTOR OF NURSING,CARE QUALITY COMMISSION,18685712,195519,42002964
Department of Health,Portsmouth Hospitals Trust,05/05/2016 19:45,Blood Products,BLOOD TRANSFUSION SERVICE,NHS BLOOD & TRANSPLANT,18695462,191562.58,851740
Department of Health,Portsmouth Hospitals Trust,05/05/2016 19:45,Lease Rents,MITCHELL WAY PREMISES,SAVILLS (UK) LTD,18695510,44046,A530359
Department of Health,Portsmouth Hospitals Trust,06/05/2016 17:09,Computer Software/License,ICT OPERATIONS,LEARNING CLINIC LTD,18703129,64222,128
Department of Health,Portsmouth Hospitals Trust,06/05/2016 17:09,Computer Software/License,ICT OPERATIONS,LEARNING CLINIC LTD,18703132,59722,129
Department of Health,Portsmouth Hospitals Trust,09/05/2016 19:33,Drugs,SENIOR NURSING TEAM,POLAR SPEED DISTRIBUTION LTD,18737192,26342.36,266028
Department of Health,Portsmouth Hospitals Trust,09/05/2016 19:33,Laboratory Reagents,BLOOD SCIENCES,PERKINELMER LAS (UK) LTD,18740598,38631.6,3100739847
Department of Health,Portsmouth Hospitals Trust,10/05/2016 19:17,CAPD Fluids,RENAL PD UNIT,BAXTER HEALTHCARE LTD,18743869,72990.7,15130287
Department of Health,Portsmouth Hospitals Trust,10/05/2016 19:17,Minor Works,DOH PROJECT,ACE (SOUTHERN) LTD,18751474,27420,10592
Department of Health,Portsmouth Hospitals Trust,12/05/2016 17:09,Computer Software/License,ICT OPERATIONS,LEARNING CLINIC LTD,18759779,59722,17395
Department of Health,Portsmouth Hospitals Trust,12/05/2016 17:09,Computer Software/License,ICT OPERATIONS,LEARNING CLINIC LTD,18759782,59721.5,17489
Department of Health,Portsmouth Hospitals Trust,12/05/2016 19:20,Rent,COMMUNITY HOSPITALS - SMH,NHS PROPERTY SERVICES LTD,18786019,47693.46,48379353
Department of Health,Portsmouth Hospitals Trust,12/05/2016 19:20,Rent,COMMUNITY HOSPITALS - SMH,NHS PROPERTY SERVICES LTD,18786023,59703.93,48382856
Department of Health,Portsmouth Hospitals Trust,12/05/2016 19:20,Rent,COMMUNITY HOSPITALS - SMH,NHS PROPERTY SERVICES LTD,18786027,42921.66,48387455
Department of Health,Portsmouth Hospitals Trust,12/05/2016 19:20,Rent,COMMUNITY HOSPITALS - SMH,SOLENT NHS TRUST,18786044,162312,54145556
