Publisher Label,Publisher URI,Organisationname,OrganisationCode,Effectivedate,ContractReferencenumber,OpenContractingID,TitleoftheAgreement,Contracttype,Serviceresponsible,ServiceCategorylabel,ServicecategoryURI,Descriptionofgoodsandservices,Procurementclassification,CPVlabel,CPVcode,Proclasslabel,Proclasscode,Contractstartdate,Enddate,Reviewdate,Lastextensiondate,Contractvalue,Fixedorestimatedcost,IrrecoverableVAT,SupplierName,Supplierregisteredcompanynumber,Supplierregisteredcharitynumber,OthersupplierID,SMEsupplier,VCSEsupplier,VCSEsuppliertype,Nominatedcontactpointname,Nominatedcontactpointemail,NominatedcontactpointURL
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe,http://opendatacommunities.org/id/district-council/wycombe,15/02/2016,22,,Data Room for Waste CD,,Environment,,,Data Room for Waste CD,,,,,,01/10/2015,30/09/2016,29/07/2016,0,2800,,N/A,EU supplies,,,,,,,,steve.middleton@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe,http://opendatacommunities.org/id/district-council/wycombe,15/02/2016,25,,Joint Waste Legal Advice,,Democratic Legal & Policy,,,Joint Waste Legal Advice,,,,,,01/12/2010,31/12/2015,31/12/2015,0,74000,,N/A,Bevan Brittan,,,,,,,,julie.openshaw@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe,http://opendatacommunities.org/id/district-council/wycombe,15/02/2016,39,,Housing Removals Contract,,Environment,,,Housing Removals Contract,,,,,,01/10/2014,30/09/2018,04/01/2016,0,40000,,N/A,Doree Bonner,,,,,,,,nick.lamport@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe,http://opendatacommunities.org/id/district-council/wycombe,15/02/2016,45,,Public Convenience Cleaning,,Human Resources ICT/CSC & Shared Support Services,,,Public Convenience Cleaning,,,,,,05/07/2010,31/03/2016,01/02/2016,0,597000,,N/A,Wettons,,,,,,,,paul.bryan@wycombe.govuk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe,http://opendatacommunities.org/id/district-council/wycombe,15/02/2016,51,,Non Life Insurance Services:,,Human Resources ICT/CSC & Shared Support Services,,,Non Life Insurance Services:,,,,,,01/04/2012,31/03/2017,25/04/2016,0,1050000,,N/A,Zurich,,,,,,,,ryan.savage@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe,http://opendatacommunities.org/id/district-council/wycombe,15/02/2016,54,,Provision of temporary agency staff,,Human Resources ICT/CSC & Shared Support Services,,,Provision of temporary agency staff,,,,,,01/05/2015,30/04/2017,09/01/2017,30/04/2019,1100000,,N/A,Adecco UK ltd,,,,,,,,jo.whiteley@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe,http://opendatacommunities.org/id/district-council/wycombe,15/02/2016,55,,Private Medical Insurance,,Human Resources ICT/CSC & Shared Support Services,,,Private Medical Insurance,,,,,,01/04/2015,31/03/2016,29/02/2016,0,54000,,N/A,AXA PPP,,,,,,,,jo.whiteley@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe,http://opendatacommunities.org/id/district-council/wycombe,15/02/2016,65,,Treasury Management Services. (Market intelligence and advice).,,Finance & Commercial,,,Treasury Management Services. (Market intelligence and advice).,,,,,,01/04/2015,31/03/2017,30/09/2016,0,15000,,N/A,Capita Treasury  Management  Services,,,,,,,,steve.richardson@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe,http://opendatacommunities.org/id/district-council/wycombe,15/02/2016,70,,Death in Service Insurance service,,Finance & Commercial,,,Death in Service Insurance service,,,,,,01/04/2015,31/03/2016,29/02/2016,0,26000,,N/A,Canada Life,,,,,,,,ryan.savage@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe,http://opendatacommunities.org/id/district-council/wycombe,15/02/2016,76,,Commercial Vehicles Lease,,Finance & Commercial,,,Commercial Vehicles Lease,,,,,,29/09/2014,28/09/2017,01/10/2016,0,21000,,N/A,Lex Autolease Ltd,,,,,,,,simon.blackett@wycombe.gov.uk,
