Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Purchase Invoice Number
Department of Health,Portsmouth Hospitals Trust,28/06/2016 17:09,Med & Surg Equip General,Cardiac Cath Lab,ST JUDE MEDICAL UK LTD,13298367,29400,7500175848
Department of Health,Portsmouth Hospitals Trust,28/06/2016 17:09,Stents,Cardiac Cath Lab,ST JUDE MEDICAL UK LTD,13298367,-4900,7500175848
Department of Health,Portsmouth Hospitals Trust,02/06/2016 17:11,Miscellaneous Expenditure,FINANCIAL MANAGEMENT,DRAEGER MEDICAL UK LTD,18808031,27396.75,918276986
Department of Health,Portsmouth Hospitals Trust,01/06/2016 19:09,Equip Maint Contracts,BREAST SCREENING,NHS SUPPLY CHAIN,18843158,51746.94,2017000979
Department of Health,Portsmouth Hospitals Trust,01/06/2016 19:09,Blood Products,BLOOD TRANSFUSION SERVICE,NHS BLOOD & TRANSPLANT,19019209,191562.58,852478
Department of Health,Portsmouth Hospitals Trust,01/06/2016 19:09,Computer Maintenance,PACs/CRIS Consortium,HEALTHCARE SOFTWARE SOLUTIONS LTD,19019213,167046.2,1099
Department of Health,Portsmouth Hospitals Trust,03/06/2016 18:45,Agency Nursing: Band 5,TRUST CENTRAL EXPENSES,NHS PROFESSIONALS LTD,19045032,466666.67,13992538
Department of Health,Portsmouth Hospitals Trust,03/06/2016 18:45,Agency Nursing: Band 5,TRUST CENTRAL EXPENSES,NHS PROFESSIONALS LTD,19045037,24217.78,13993293
Department of Health,Portsmouth Hospitals Trust,03/06/2016 18:45,Agency Nursing: Band 5,TRUST CENTRAL EXPENSES,NHS PROFESSIONALS LTD,19045045,-629500.48,13993304
Department of Health,Portsmouth Hospitals Trust,03/06/2016 18:45,Commercial Sector,B`STOKE DIALYSIS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,19045135,72555.91,1050456826
Department of Health,Portsmouth Hospitals Trust,03/06/2016 18:45,SrvcsRecd-FoundationTrust,ENT CENTRAL STATEMENT,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19045223,711,WSH1500019292
Department of Health,Portsmouth Hospitals Trust,03/06/2016 18:45,SrvcsRecd-FoundationTrust,OCCY HEALTH WEST SUSSEX,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19045223,918,WSH1500019292
Department of Health,Portsmouth Hospitals Trust,03/06/2016 18:45,SrvcsRecd-FoundationTrust,Onc/Haem OPD B Level,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19045223,117999,WSH1500019292
Department of Health,Portsmouth Hospitals Trust,06/06/2016 19:06,Rent,PHARMACY DIST UNIT 18,HEATHCROFT PROPERTIES LTD,19071330,6261.75,10019138
