Organisation Name (A),Dept (B),Service Cat Label (C),Purpose of Spend (D),Expenditure CIPFA (E),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,FST CONSUMABLES LIMITED,A0000004, 25/02/2016,PCO0269115,68.17,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,ARCO,A0000176, 11/02/2016,PCO0268694,25.58,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,ARCO,A0000176, 18/02/2016,PCO0268862,33.97,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,ARCO,A0000176, 25/02/2016,PCO0269031,62.35,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,ARCO,A0000176, 25/02/2016,PCO0269031,169.56,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,ARCO,A0000176, 04/02/2016,PCO0268515,225.63,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,ARCO,A0000176, 25/02/2016,PCO0269031,325.9,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 11/02/2016,PCO0268671,5.72,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 11/02/2016,PCO0268671,11.76,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 11/02/2016,PCO0268671,14.32,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 11/02/2016,PCO0268671,25.1,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 25/02/2016,PCO0269028,80.62,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 11/02/2016,PCO0268671,148.4,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Capital Costs,Capital : Payments,CD,BALMERS GM LIMITED,A0000198, 11/02/2016,PCO0268670,28,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Capital Costs,Capital : Payments,CD,BALMERS GM LIMITED,A0000198, 11/02/2016,PCO0268670,175,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Capital Costs,Capital : Payments,CD,BALMERS GM LIMITED,A0000198, 11/02/2016,PCO0268670,318,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Capital Costs,Capital : Payments,CD,BALMERS GM LIMITED,A0000198, 11/02/2016,PCO0268670,425,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Capital Costs,Capital : Payments,CD,BALMERS GM LIMITED,A0000198, 11/02/2016,PCO0268670,610,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Capital Costs,Capital : Payments,CD,BALMERS GM LIMITED,A0000198, 11/02/2016,PCO0268670,1790,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Agency Wages,10,BARNES JB LIMITED,A0000202, 11/02/2016,PCO0268519,10.92,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,BARNES JB LIMITED,A0000202, 25/02/2016,PCO0269024,18.38,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,BARNES JB LIMITED,A0000202, 11/02/2016,PCO0268675,5,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BARNES JB LIMITED,A0000202, 18/02/2016,PCO0268867,0.69,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BARNES JB LIMITED,A0000202, 18/02/2016,PCO0268867,8.95,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BARNES JB LIMITED,A0000202, 18/02/2016,PCO0268868,18.17,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BARNES JB LIMITED,A0000202, 18/02/2016,PCO0268867,36.73,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 25/02/2016,PCO0269025,0.92,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 11/02/2016,PCO0268674,2.24,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 11/02/2016,PCO0268519,2.59,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 25/02/2016,PCO0269025,3.54,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 11/02/2016,PCO0268519,3.76,N,N/A,N,N/A
