Organisation Name (A),Department (B),Service Cat Label (C ),Purpose of Spend (D),Expenditure CIPFA Sub Group (E ),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,A  ROLLINSON & SON (BUILDERS) LTD,A0002297, 16/11/2017,HMR0284181,4611.61,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,A BINNS & CO,A0057121, 02/11/2017,PCO0283879,500,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,A BINNS & CO,A0057121, 02/11/2017,PCO0283879,320,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,A BINNS & CO,A0057121, 02/11/2017,PCO0283879,250,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,A BINNS & CO,A0057121, 02/11/2017,PCO0283879,500,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,A BINNS & CO,A0057121, 02/11/2017,PCO0283879,1500,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,A BINNS & CO,A0057121, 02/11/2017,PCO0283879,665,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Indirect Employee Expenses,Emp : Training : General,1217,ABC AWARDS,A0017706, 02/11/2017,REG0283836,200,Y,1086947,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Miscellaneous : Other,4707,REDACTED - PERSONAL DATA,A0091173, 16/11/2017,HMR0284219,210,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ALD AUTOMOTIVES,A0025555, 24/11/2017,AAS0284651,193.24,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 09/11/2017,AAS0284083,10.12,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 09/11/2017,AAS0284086,23.19,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 09/11/2017,AAS0284089,44.08,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 09/11/2017,AAS0284093,130.91,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 09/11/2017,AAS0284095,2427.13,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,4004,ANDREW TIPPING,A0091064, 23/11/2017,REG0284367,60,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/11/2017,AAS0284350,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/11/2017,AAS0284350,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/11/2017,AAS0284350,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/11/2017,AAS0284350,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/11/2017,AAS0284349,223.88,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/11/2017,AAS0284349,224.87,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/11/2017,AAS0284350,144.48,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,4705,ASPEN VALLEY KENNELS & CATTERY,A0022106, 23/11/2017,OPS0284423,1062.5,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Gds Maint ,2103,ASSIST MANAGED SERVICES LIMITED,A0072100, 23/11/2017,PCO0284472,3737.42,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Gds Maint ,2103,ASSIST MANAGED SERVICES LIMITED,A0072100, 23/11/2017,PCO0284473,4391.31,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,ATM CONSTRUCTION LTD,A0066308, 09/11/2017,HMR0283989,27834,N,N/A,N,640
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,4401,AURORA ACCOUNTING SERVICES,A0089134, 16/11/2017,AAS0284279,900,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,AUTO SMART,A0016358, 02/11/2017,PCO0283884,32.94,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,AUTO SMART,A0016358, 02/11/2017,PCO0283884,33.87,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,AUTO SMART,A0016358, 02/11/2017,PCO0283891,49.92,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,AUTO SMART,A0016358, 02/11/2017,PCO0283892,132.01,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Consultants Fees,4401,AXIS PED LIMITED,A0090327, 30/11/2017,HMR0284521,320,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Subscriptions & Donations,4706,B & J TRAVEL LTD,A0048659, 02/11/2017,DAL0283858,225,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Seminars etc All Costs,4601,REDACTED - PERSONAL DATA,A0040311, 30/11/2017,DAL0284592,1.83,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Seminars etc All Costs,4601,REDACTED - PERSONAL DATA,A0040311, 30/11/2017,DAL0284592,4.66,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,BARCHAM TREES PLC,A0007884, 02/11/2017,PCO0283889,66.6,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARCHAM TREES PLC,A0007884, 30/11/2017,PCO0284534,121,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARCHAM TREES PLC,A0007884, 02/11/2017,PCO0283888,137.6,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARCHAM TREES PLC,A0007884, 02/11/2017,PCO0283890,137.6,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Indirect Employee Expenses,Emp : Practising Certificates,1201,BARCLAYCARD COMMERCIAL,A0045954, 22/11/2017,AAS0284499,318,N,N/A,Y,N/A
Pendle Borough Council,Financial Services,Indirect Employee Expenses,Emp : Practising Certificates,1201,BARCLAYCARD COMMERCIAL,A0045954, 22/11/2017,AAS0284500,318,N,N/A,Y,N/A
Pendle Borough Council,Financial Services,Indirect Employee Expenses,Emp : Practising Certificates,1201,BARCLAYCARD COMMERCIAL,A0045954, 22/11/2017,AAS0284500,318,N,N/A,Y,N/A
Pendle Borough Council,Financial Services,Support Services,Bank Charges,7201,BARCLAYCARD COMMERCIAL,A0045954, 22/11/2017,AAS0284500,18.49,N,N/A,Y,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,BARNES JB LIMITED,A0000202, 30/11/2017,PCO0284539,3.33,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,BARNES JB LIMITED,A0000202, 02/11/2017,PCO0283874,3.58,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,BARNES JB LIMITED,A0000202, 09/11/2017,PCO0284054,3.65,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,BARNES JB LIMITED,A0000202, 16/11/2017,PCO0284117,3.65,N,N/A,N,N/A
